quant_rank,code,stock_name,industry,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
86,002123,梦网科技,I 信息技术,2026-07-07,8.14,0.1064,0.096,13.6872,7.69,8.87,10.25,11.89,0.0716,-1.6462,WEAK,0.4,2.1716,-28.6959,162935375.1,59.8595,PRIORITY_RESEARCH,,,
87,002100,天康生物,C 制造业,2026-07-07,6.6,0.1816,0.256,13.2075,6.26,7.01,7.14,7.09,0.9275,-1.1747,WEAK,0.28,2.0366,-23.9146,145647418.35,59.781,PRIORITY_RESEARCH,,,
88,000800,一汽解放,C 制造业,2026-07-07,6.22,0.0264,0.132,6.3248,6.1,6.4,6.6,6.84,0.3787,-0.6312,WEAK,0.21,1.4623,-16.4098,116986885.4,59.4344,PRIORITY_RESEARCH,,,
90,000848,承德露露,C 制造业,2026-07-07,8.06,0.1632,0.152,10.2599,7.71,8.25,8.29,8.55,-0.149,-0.0545,WEAK,0.23,1.1407,-8.1729,93282874.6,59.1863,PRIORITY_RESEARCH,,,
92,000521,长虹美菱,C 制造业,2026-07-07,5.65,0.4032,0.112,13.2265,5.63,5.64,6.04,6.6,1.1858,-0.1004,MEDIUM,0.35,0.002,-11.1755,151753906.8,58.9495,PRIORITY_RESEARCH,,,
93,000756,新华制药,C 制造业,2026-07-07,13.88,0.2168,0.096,16.1506,13.21,13.82,14.72,15.57,3.174,-0.267,WEAK,1.0,8.4927,-16.1957,249621489.05,58.7642,PRIORITY_RESEARCH,,,
94,000301,东方盛虹,C 制造业,2026-07-07,12.43,0.5768,0.812,49.759,12.03,12.26,12.04,10.69,1.6861,0.9471,MEDIUM,0.74,6.0236,0.1373,398743681.8,58.7597,PRIORITY_RESEARCH,,,
95,002935,天奥电子,C 制造业,2026-07-07,21.73,0.6312,0.824,46.0349,21.5,20.87,20.88,18.92,4.6156,1.8345,MEDIUM,1.19,15.6298,8.1556,265313884.35,58.4226,PRIORITY_RESEARCH,,,
97,000728,国元证券,J 金融业,2026-07-07,7.41,0.5472,0.168,9.9407,7.33,7.33,7.73,8.2,2.0475,-0.0818,MEDIUM,0.31,6.8901,-13.0549,443573550.35,58.0836,PRIORITY_RESEARCH,,,
98,002601,龙佰集团,C 制造业,2026-07-07,16.15,0.0664,0.096,15.9368,16.21,16.41,18.3,18.24,4.306,-0.3219,NONE,0.95,12.2213,-18.5996,867078711.65,57.9622,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
99,002563,森马服饰,C 制造业,2026-07-07,5.65,0.3688,0.752,12.1032,5.35,5.52,5.48,5.52,0.2812,0.1422,MEDIUM,0.18,3.08,-3.9854,97857756.4,57.9156,SECONDARY_RESEARCH,,,
