actionability_rank,quant_rank,proximity_rank,code,stock_name,industry,classification,tomorrow_status,tier,actionability_score,latest_trade_date,latest_close,price_percentile_5y,pullback_entry_low,pullback_entry_high,pullback_stop_price,pullback_logic_invalidation_price,pullback_target_1,pullback_target_2,pullback_real_reward_risk,pullback_status,breakout_trigger_price,breakout_required_volume,breakout_max_chase_price,breakout_stop_price,breakout_logic_invalidation_price,breakout_target_1,breakout_target_2,breakout_real_reward_risk,breakout_status,theoretical_target_1,theoretical_target_2,real_resistance_target_1,real_resistance_target_2,real_reward_risk_ratio,preferred_plan,pullback_initial_position_pct,pullback_max_position_pct,breakout_initial_position_pct,breakout_max_position_pct,max_loss_pct_of_risk_capital,industry_evidence_status,company_evidence_status,exit_profile_status,hard_logic_level,main_logic,top_risks,missing_conditions,upgrade_conditions,cancel_conditions,evidence_urls,data_warnings,disclaimer
1,7,2,000818,航锦科技,UNRESOLVED,DEEP_WATCH,WATCH_ONLY,TIER_C,62.9362,2026-07-07,15.56,0.06028075970272502,15.06,15.56,14.54,14.2,16.72,16.95,1.14,REAL_RR_BELOW_1_8,17.07,477075.0,17.32,15.68,15.68,18.69,19.54,1.17,REAL_RR_BELOW_1_8,19.14,20.53,18.69,19.54,1.17,breakout,0.0,0.0,0.0,0.0,0.0,MISSING,PARTIALLY_VERIFIED,NOT_AVAILABLE,WEAK,TIER_C：5年价格分位约 0.0603，趋势 MEDIUM，硬逻辑 WEAK，行业证据 MISSING，公司证据 PARTIALLY_VERIFIED。仅作为人工复核研究对象。,balanced_exit_profile_not_available;industry_evidence_missing;below_ma250_deep_risk,industry_evidence_medium;hard_logic_medium;exit_profile_passed,补齐非过期且无冲突的行业证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,高开超过最高追价；低开跌破对应止损；新增重大负面公告；行业或公司证据被证伪；停牌或流动性异常；价格数据不一致,http://static.cninfo.com.cn/finalpage/2026-04-29/1225240204.PDF,,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
2,3,1,000567,海德股份,UNRESOLVED,DEEP_WATCH,WATCH_ONLY,TIER_C,60.7226,2026-07-07,6.0,0.18001651527663087,5.93,6.0,5.81,5.73,6.11,6.33,0.57,REAL_RR_BELOW_1_8,6.36,304460.0,6.45,6.04,6.04,6.6,6.84,0.76,REAL_RR_BELOW_1_8,6.84,7.16,6.6,6.84,0.76,breakout,0.0,0.0,0.0,0.0,0.0,MISSING,PARTIALLY_VERIFIED,NOT_AVAILABLE,WEAK,TIER_C：5年价格分位约 0.18，趋势 MEDIUM，硬逻辑 WEAK，行业证据 MISSING，公司证据 PARTIALLY_VERIFIED。仅作为人工复核研究对象。,balanced_exit_profile_not_available;industry_evidence_missing;industry_and_company_evidence_required,industry_evidence_medium;hard_logic_medium;exit_profile_passed,补齐非过期且无冲突的行业证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,高开超过最高追价；低开跌破对应止损；新增重大负面公告；行业或公司证据被证伪；停牌或流动性异常；价格数据不一致,http://static.cninfo.com.cn/finalpage/2026-04-29/1225249165.PDF,,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
3,51,8,000963,华东医药,UNRESOLVED,DEEP_WATCH,WATCH_ONLY,TIER_C,57.6901,2026-07-07,29.23,0.0685383980181668,28.45,29.18,27.78,27.34,30.05,31.06,0.62,REAL_RR_BELOW_1_8,31.28,262136.0,31.75,29.51,29.51,33.73,35.23,1.39,REAL_RR_BELOW_1_8,33.92,35.69,33.73,35.23,1.39,breakout,0.0,0.0,0.0,0.0,0.0,MISSING,PARTIALLY_VERIFIED,NOT_AVAILABLE,WEAK,TIER_C：5年价格分位约 0.0685，趋势 WEAK，硬逻辑 WEAK，行业证据 MISSING，公司证据 PARTIALLY_VERIFIED。仅作为人工复核研究对象。,balanced_exit_profile_not_available;industry_evidence_missing;below_ma250_deep_risk,trend_medium;industry_evidence_medium;hard_logic_medium;exit_profile_passed,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,高开超过最高追价；低开跌破对应止损；新增重大负面公告；行业或公司证据被证伪；停牌或流动性异常；价格数据不一致,http://static.cninfo.com.cn/finalpage/2026-04-24/1225168701.PDF,,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
4,146,17,000779,甘咨询,UNRESOLVED,DEEP_WATCH,WATCH_ONLY,TIER_C,57.034,2026-07-07,8.74,0.314616019818332,8.58,8.73,8.44,8.35,8.78,8.9,0.16,REAL_RR_BELOW_1_8,8.93,132683.0,9.06,8.57,8.57,9.07,9.37,0.38,REAL_RR_BELOW_1_8,9.48,9.84,9.07,9.37,0.38,breakout,0.0,0.0,0.0,0.0,0.0,MISSING,PARTIALLY_VERIFIED,NOT_AVAILABLE,WEAK,TIER_C：5年价格分位约 0.3146，趋势 STRONG，硬逻辑 WEAK，行业证据 MISSING，公司证据 PARTIALLY_VERIFIED。仅作为人工复核研究对象。,valuation_failed;balanced_exit_profile_not_available;industry_evidence_missing,industry_evidence_medium;hard_logic_medium;valuation_not_failed;financial_passed;exit_profile_passed,补齐非过期且无冲突的行业证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,高开超过最高追价；低开跌破对应止损；新增重大负面公告；行业或公司证据被证伪；停牌或流动性异常；价格数据不一致,http://static.cninfo.com.cn/finalpage/2026-04-24/1225165042.PDF,,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
