a_condition_fail_count,a_condition_failed,a_condition_pass_count,actionability_rank,actionability_score,as_of_date,atr14,avg_turnover_20d,balanced_exit_historical_profile,breakout_initial_position_pct,breakout_logic_invalidation_price,breakout_max_chase_price,breakout_max_position_pct,breakout_real_reward_risk,breakout_required_volume,breakout_status,breakout_stop_price,breakout_target_1,breakout_target_2,breakout_trigger_price,cancel_conditions,classification,close,code,company_evidence_confidence,company_evidence_items,company_evidence_negative_count,company_evidence_neutral_count,company_evidence_positive_count,company_evidence_score,company_evidence_source_type,company_evidence_stale_count,company_evidence_status,company_evidence_summary,company_evidence_warning_flags,deterioration_flags,disclaimer,distance_from_10y_high_pct,distance_from_10y_low_pct,distance_from_52w_low_pct,distance_from_5y_high_pct,distance_from_5y_low_pct,distance_to_ma250_pct,downgrade_conditions,downtrend_exhaustion_score,dynamic_stop_loss,entry_date,entry_mode,entry_price,evidence_items,evidence_urls,execution_risk_quality,execution_risk_score,exit_profile_status,explanation,financial_safety_score,hard_blockers,hard_logic_level,hard_logic_reason,hard_logic_score,hard_reject_blockers,history_sufficiency_quality,history_sufficiency_score,improvement_flags,industry,industry_cycle_phase,industry_cycle_quality,industry_cycle_score,industry_evidence_confidence,industry_evidence_items,industry_evidence_missing_fields,industry_evidence_negative_count,industry_evidence_neutral_count,industry_evidence_positive_count,industry_evidence_quality,industry_evidence_score,industry_evidence_source_type,industry_evidence_stale_count,industry_evidence_status,industry_evidence_summary,industry_evidence_warning_flags,invalidation_level,invalidation_reason,latest_close,latest_price_date,latest_trade_date,long_term_position_risk_score,ma120,ma20,ma20_slope_pct,ma250,ma250_slope_pct,ma60,ma60_slope_pct,main_logic,market_environment_score,market_environment_state,max_loss_pct_of_risk_capital,max_position_pct,missing_conditions,missing_evidence,missing_fields,next_evidence_needed,next_review_trigger,no_falling_knife_filter,normalized_industry,opportunity_logic,opportunity_proximity_rank,opportunity_quality_rank,opportunity_quality_score,preferred_plan,price_percentile_10y,price_percentile_1y,price_percentile_3y,price_percentile_5y,price_percentile_score,price_position_score,proximity_rank,pullback_entry_high,pullback_entry_low,pullback_initial_position_pct,pullback_logic_invalidation_price,pullback_max_position_pct,pullback_real_reward_risk,pullback_status,pullback_stop_price,pullback_target_1,pullback_target_2,quant_rank,quant_reason,quant_score,quant_screen_status,quant_status,raw_industry,real_resistance_target_1,real_resistance_target_2,real_reward_risk_ratio,reclaim_ma_score,rejection_reasons,relative_strength_20d,relative_strength_60d,research_label,risk_flags,second_low_confirmation,signal_type,soft_blockers,stabilization_days,stock_name,stop_loss,stop_loss_distance_pct,take_profit,theoretical_target_1,theoretical_target_2,tier,tomorrow_status,top_risks,total_score,trend_confirmation_level,trend_stabilization_score,upgrade_conditions,valuation_repair_signal,valuation_score,value_trap_flag,value_trap_score
,,,,,,2.33,708400360.1,,,,,,,,,,,,,,,,002805,,,,,,,,,,,,,,,,107.9779,,,,,,,,,,,,,,,,,,,,,,,,,C 制造业,,,,,,,,,,,,,,,,,,,26.33,,2026-07-07,,19.85,25.77,6.9987,17.4,,22.7,4.0021,,,,,,,,,,,,,,,,,,,0.952,,0.6672,,,,,,,,,,,,,,41,,66.1,,PRIORITY_RESEARCH,,,,,,,30.5912,45.555,,,,,,,丰元股份,,,,,,,,,,STRONG,,,,,,
,,,,,,13.06,1661401621.25,,,,,,,,,,,,,,,,002821,,,,,,,,,,,,,,,,85.239,,,,,,,,,,,,,,,,,,,,,,,,,C 制造业,,,,,,,,,,,,,,,,,,,153.1,,2026-07-07,,114.05,137.48,8.6969,107.19,,126.01,2.5799,,,,,,,,,,,,,,,,,,,0.976,,0.7016,,,,,,,,,,,,,,42,,66.1,,PRIORITY_RESEARCH,,,,,,,33.2911,20.5372,,,,,,,凯莱英,,,,,,,,,,STRONG,,,,,,
,,,,,,1.87,215811407.85,,,,,,,,,,,,,,,,002841,,,,,,,,,,,,,,,,33.8304,,,,,,,,,,,,,,,,,,,,,,,,,C 制造业,,,,,,,,,,,,,,,,,,,43.08,,2026-07-07,,37.0,35.17,2.0263,37.66,,36.47,1.314,,,,,,,,,,,,,,,,,,,0.988,,0.4816,,,,,,,,,,,,,,50,,65.9251,,PRIORITY_RESEARCH,,,,,,,21.7115,19.5261,,,,,,,视源股份,,,,,,,,,,MEDIUM,,,,,,
,,,,,,1.47,629619417.75,,,,,,,,,,,,,,,,000963,,,,,,,,,,,,,,,,10.6778,,,,,,,,,,,,,,,,,,,,,,,,,F 批发零售,,,,,,,,,,,,,,,,,,,29.23,,2026-07-07,,33.67,28.7,1.3438,37.98,,30.95,-1.7421,,,,,,,,,,,,,,,,,,,0.108,,0.0664,,,,,,,,,,,,,,51,,65.9049,,PRIORITY_RESEARCH,,,,,,,2.8363,-27.7872,,,,,,,华东医药,,,,,,,,,,WEAK,,,,,,
,,,,,,0.51,380549007.2,,,,,,,,,,,,,,,,002458,,,,,,,,,,,,,,,,11.583,,,,,,,,,,,,,,,,,,,,,,,,,A 农林牧渔,,,,,,,,,,,,,,,,,,,8.67,,2026-07-07,,9.37,8.31,3.0316,9.04,,9.28,-0.2811,,,,,,,,,,,,,,,,,,,0.38,,0.1792,,,,,,,,,,,,,,55,,65.6712,,PRIORITY_RESEARCH,,,,,,,6.0576,-17.3502,,,,,,,益生股份,,,,,,,,,,WEAK,,,,,,
,,,,,,0.64,2260604452.8,,,,,,,,,,,,,,,,002617,,,,,,,,,,,,,,,,36.0449,,,,,,,,,,,,,,,,,,,,,,,,,C 制造业,,,,,,,,,,,,,,,,,,,9.7,,2026-07-07,,8.62,9.23,2.3975,8.46,,8.74,2.1593,,,,,,,,,,,,,,,,,,,0.94,,0.7112,,,,,,,,,,,,,,62,,65.0179,,PRIORITY_RESEARCH,,,,,,,17.9215,21.2575,,,,,,,露笑科技,,,,,,,,,,STRONG,,,,,,
,,,,,,0.26,246250206.4,,,,,,,,,,,,,,,,002120,,,,,,,,,,,,,,,,10.789,,,,,,,,,,,,,,,,,,,,,,,,,G 运输仓储,,,,,,,,,,,,,,,,,,,6.88,,2026-07-07,,6.94,6.53,0.6469,7.2,,7.01,0.2,,,,,,,,,,,,,,,,,,,0.316,,0.1168,,,,,,,,,,,,,,64,,64.1013,,PRIORITY_RESEARCH,,,,,,,2.1528,-6.7968,,,,,,,韵达股份,,,,,,,,,,WEAK,,,,,,
,,,,,,1.38,1900627137.65,,,,,,,,,,,,,,,,000519,,,,,,,,,,,,,,,,30.2741,,,,,,,,,,,,,,,,,,,,,,,,,C 制造业,,,,,,,,,,,,,,,,,,,20.44,,2026-07-07,,18.74,20.32,1.1928,19.14,,18.85,1.6058,,,,,,,,,,,,,,,,,,,0.796,,0.712,,,,,,,,,,,,,,74,,63.0374,,PRIORITY_RESEARCH,,,,,,,7.7015,11.6724,,,,,,,中兵红箭,,,,,,,,,,STRONG,,,,,,
3,industry_evidence_medium;hard_logic_medium;exit_profile_passed,9,1,62.9362,2026-07-07,,,NOT_AVAILABLE,0.0,15.68,17.32,0.0,1.17,477075.0,REAL_RR_BELOW_1_8,15.68,18.69,19.54,17.07,高开超过最高追价；低开跌破对应止损；新增重大负面公告；行业或公司证据被证伪；停牌或流动性异常；价格数据不一致,DEEP_WATCH,15.56,000818,MEDIUM,"[{""evidence_name"": ""定期报告原文数值"", ""evidence_value"": ""营业收入（元） 4,123,169,805.59 4,171,725,794.86 -1.16% 3,668,428,992.89"", ""evidence_direction"": ""NEUTRAL"", ""evidence_date"": ""2026-04-28"", ""source"": ""http://static.cninfo.com.cn/finalpage/2026-04-29/1225240204.PDF"", ""source_type"": ""EXCHANGE_DISCLOSURE"", ""freshness_days"": 70, ""weight"": 1.08, ""note"": """"}]",0,1,0,50.0,EXCHANGE_DISCLOSURE,0,PARTIALLY_VERIFIED,公司证据分 50.0，正/负/中性证据 0/0/1，置信度 MEDIUM。,,,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。,-63.7803,106.0927,,-63.7803,27.1242,-23.2004,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,85.0,14.37,,next_open,,"{""industry"": [], ""company"": [{""evidence_name"": ""定期报告原文数值"", ""evidence_value"": ""营业收入（元） 4,123,169,805.59 4,171,725,794.86 -1.16% 3,668,428,992.89"", ""evidence_direction"": ""NEUTRAL"", ""evidence_date"": ""2026-04-28"", ""source"": ""http://static.cninfo.com.cn/finalpage/2026-04-29/1225240204.PDF"", ""source_type"": ""EXCHANGE_DISCLOSURE"", ""freshness_days"": 70, ""weight"": 1.08, ""note"": """"}]}",http://static.cninfo.com.cn/finalpage/2026-04-29/1225240204.PDF,good,0.0,NOT_AVAILABLE,5年价格分位约 6.0%，技术止跌分 88.0，财务安全分 70.0，行业周期分 50.0，估值陷阱分 33.0，长周期位置风险分 22.0，历史样本质量 deep，总分 75.4，信号为 WATCH；趋势确认等级 MEDIUM。行业周期数据不足。行业证据 MISSING/LOW，硬逻辑 WEAK。,70.0,,WEAK,行业和公司证据未同时具备，硬逻辑最多为 WEAK。,50.0,,deep,100.0,,UNRESOLVED,,missing,50.0,LOW,[],industry_evidence,0,0,0,MISSING,50.0,MISSING,0,MISSING,UNRESOLVED 缺少截至 2026-07-07 的行业证据，按中性低置信度处理。,missing_industry_evidence,14.37,收盘价重新跌破 MA20 且三日无法收回；跌破 MA60 或低位平台下沿；跌破动态失效位 14.37 且无法收回,15.56,2026-07-07,2026-07-07,22.0,,,,,-3.2999,,,TIER_C：5年价格分位约 0.0603，趋势 MEDIUM，硬逻辑 WEAK，行业证据 MISSING，公司证据 PARTIALLY_VERIFIED。仅作为人工复核研究对象。,35.0,weak,0.0,0.0,industry_evidence_medium;hard_logic_medium;exit_profile_passed,industry:MISSING,industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;pe;ps;roe,industry_cycle_evidence,补充历史退出画像验证，未通过前不得进入 A 类。,True,UNRESOLVED,TIER_C：5年价格分位约 0.0603，趋势 MEDIUM，硬逻辑 WEAK，行业证据 MISSING，公司证据 PARTIALLY_VERIFIED。仅作为人工复核研究对象。,2,3,64.2232,breakout,0.2475,,0.1006896551724138,0.06028075970272502,90.0,90.0,2,15.56,15.06,0.0,14.2,0.0,1.14,REAL_RR_BELOW_1_8,14.54,16.72,16.95,7,5年价格分位 0.0603；趋势确认 MEDIUM；估值 PASSED；财务 PASSED,83.4361,PRIORITY_RESEARCH,,C 制造业,18.69,19.54,1.17,95.0,,17.7081,-8.8058,证据不完整研究对象,below_ma250_deep_risk;industry_and_company_evidence_required;missing_industry_evidence;missing_second_low_confirmation,False,WATCH,balanced_exit_profile_not_available;industry_evidence_missing,6,航锦科技,,7.6478,,19.14,20.53,TIER_C,WATCH_ONLY,balanced_exit_profile_not_available;industry_evidence_missing;below_ma250_deep_risk,75.42,MEDIUM,88.0,补齐非过期且无冲突的行业证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,False,84.0,False,33.0
,,,,,,0.96,300222953.6,,,,,,,,,,,,,,,,002223,,,,,,,,,,,,,,,,5.1375,,,,,,,,,,,,,,,,,,,,,,,,,C 制造业,,,,,,,,,,,,,,,,,,,25.99,,2026-07-07,,33.03,25.7,0.1676,34.83,,28.18,-2.08,,,,,,,,,,,,,,,,,,,0.064,,0.056,,,,,,,,,,,,,,75,,62.5199,,PRIORITY_RESEARCH,,,,,,,0.002,-30.5607,,,,,,,鱼跃医疗,,,,,,,,,,WEAK,,,,,,
