date,BUYHOLD_rare_earth
2018-01-02,0.999
2018-01-03,0.9919828267761558
2018-01-04,1.012681081459178
2018-01-05,0.9835149157231002
2018-01-08,1.0154397441807763
2018-01-09,1.0498596849200943
2018-01-10,1.045167115759556
2018-01-11,1.0345067380548139
2018-01-12,1.0148730843862126
2018-01-15,0.9464210564776202
2018-01-16,0.9577875479335949
2018-01-17,0.9431611076277978
2018-01-18,0.9563779285158724
2018-01-19,0.9537640931812179
2018-01-22,0.9728138906334263
2018-01-23,0.9877902249228423
2018-01-24,0.96524392113432
2018-01-25,0.9654486084899386
2018-01-26,0.9346179093501774
2018-01-29,0.9217652594490063
2018-01-30,0.9214553864877177
2018-01-31,0.8762449853159258
2018-02-01,0.8406533446568977
2018-02-02,0.8660569921457817
2018-02-05,0.8514053030332219
2018-02-06,0.7688967107423527
2018-02-07,0.7726943028630265
2018-02-08,0.7963494269306395
2018-02-09,0.7473317726382547
2018-02-12,0.7728165431591365
2018-02-13,0.7663747398093971
2018-02-14,0.7714873363074553
2018-02-22,0.8239615827912503
2018-02-23,0.820500538436169
2018-02-26,0.840296640345975
2018-02-27,0.8257070887315442
2018-02-28,0.8610480751626325
2018-03-01,0.8631513254263448
2018-03-02,0.8745332303049514
2018-03-05,0.8797895121203927
2018-03-06,0.9099331436251695
2018-03-07,0.8906205929554405
2018-03-08,0.8992410928530552
2018-03-09,0.8943921435715403
2018-03-12,0.913602206548058
2018-03-13,0.8932841314084727
2018-03-14,0.920012170271448
2018-03-15,0.9282918135203259
2018-03-16,0.8933005004762333
2018-03-19,0.8788612569850395
2018-03-20,0.8741149182634895
2018-03-21,0.8508691753809727
2018-03-22,0.8558048010146453
2018-03-23,0.7980822942425253
2018-03-26,0.8597101364613275
2018-03-27,0.8836615089208308
2018-03-28,0.8634480793924311
2018-03-29,0.8919542215939166
2018-03-30,0.8961365267718082
2018-04-02,0.9118669905789909
2018-04-03,0.8829032858152195
2018-04-04,0.8902798992936867
2018-04-09,0.953101219168448
2018-04-10,0.9454090876726491
2018-04-11,0.9575143016989268
2018-04-12,0.9265828311136738
2018-04-13,0.9016298935513978
2018-04-16,0.8858694280795867
2018-04-17,0.8888282108674028
2018-04-18,0.9005674691548551
2018-04-19,0.9437302553490746
2018-04-20,0.9094315435065904
2018-04-23,0.8743757333295061
2018-04-24,0.8856188174911838
2018-04-25,0.8718455572496393
2018-04-26,0.8449626031848446
2018-04-27,0.8554812851155337
2018-05-02,0.8512413635406333
2018-05-03,0.8489834916416624
2018-05-04,0.8590050007296692
2018-05-07,0.8762519282947279
2018-05-08,0.8817408668281045
2018-05-09,0.8774982281945852
2018-05-10,0.8714949508466086
2018-05-11,0.8872336655235595
2018-05-14,0.8922276821671964
2018-05-15,0.8808477210824106
2018-05-16,0.8510361112738994
2018-05-17,0.8473963763099335
2018-05-18,0.8556065712806191
2018-05-21,0.8602982701238665
2018-05-22,0.858765036701862
2018-05-23,0.8360620598501782
2018-05-24,0.8310840858112863
2018-05-25,0.8118455504605382
2018-05-28,0.8026009666695076
2018-05-29,0.8042827191270698
2018-05-30,0.8017859483592709
2018-05-31,0.8124890513272506
2018-06-01,0.8097076942598057
2018-06-04,0.7933696014824394
2018-06-05,0.8037057867240593
2018-06-06,0.806762306917211
2018-06-07,0.8077954800839028
2018-06-08,0.7875393133869765
2018-06-11,0.7867410754247123
2018-06-12,0.7977180939919142
2018-06-13,0.799217196900467
2018-06-14,0.8402427512996905
2018-06-15,0.8471868713799793
2018-06-19,0.810088389043185
2018-06-20,0.8042608667508314
2018-06-21,0.8169746468723526
2018-06-22,0.8240943754353398
2018-06-25,0.8082858618091507
2018-06-26,0.8248056704446111
2018-06-27,0.8487415811324589
2018-06-28,0.8211788465658345
2018-06-29,0.8397633962557384
2018-07-02,0.8239172587771328
2018-07-03,0.7985065124996945
2018-07-04,0.7969830140410151
2018-07-05,0.7442927286382292
2018-07-06,0.7435241223153362
2018-07-09,0.7546085136608589
2018-07-10,0.7655013677054834
2018-07-11,0.7385430628640137
2018-07-12,0.7605320713615292
2018-07-13,0.7711655481428273
2018-07-16,0.7628017333706452
2018-07-17,0.7613570934118705
2018-07-18,0.7534420621181274
2018-07-19,0.7571287452091695
2018-07-20,0.7623383982016381
2018-07-23,0.7816485570628331
2018-07-24,0.800591299513863
2018-07-25,0.7947674279511551
2018-07-26,0.7959160749247226
2018-07-27,0.7778367706216464
2018-07-30,0.7773092504184961
2018-07-31,0.771312773235573
2018-08-01,0.7485945341125982
2018-08-02,0.7335937361795363
2018-08-03,0.7281978410543571
2018-08-06,0.7097909443190551
2018-08-07,0.7337270830541288
2018-08-08,0.7224147152952968
2018-08-09,0.7380011008956685
2018-08-10,0.7335163007353102
2018-08-13,0.7253458241928884
2018-08-14,0.7403048730196057
2018-08-15,0.7196733182669189
2018-08-16,0.70740724841906
2018-08-17,0.6918032476381805
2018-08-20,0.7000334231444854
2018-08-21,0.7028058231018144
2018-08-22,0.6891916043066609
2018-08-23,0.6907203324466752
2018-08-24,0.6970260358360038
2018-08-27,0.7123170987996816
2018-08-28,0.7221407669234452
2018-08-29,0.713112111791063
2018-08-30,0.7025760389883623
2018-08-31,0.7024484912714652
2018-09-03,0.6994986020380124
2018-09-04,0.704523604927561
2018-09-05,0.6864022022539537
2018-09-06,0.6834338915265973
2018-09-07,0.6850392112251008
2018-09-10,0.6338879305955273
2018-09-11,0.6216657965468547
2018-09-12,0.6239473344236115
2018-09-13,0.6285104797781645
2018-09-14,0.6444730621776099
2018-09-17,0.6325513678835312
2018-09-18,0.6438402190138459
2018-09-19,0.6540759431017387
2018-09-20,0.6813526431357758
2018-09-21,0.6833489969364345
2018-09-25,0.6775649507009892
2018-09-26,0.678366967697731
2018-09-27,0.6613073874088441
2018-09-28,0.694783714371643
2018-10-08,0.6914065104439615
2018-10-09,0.7008531279547618
2018-10-10,0.692888021970521
2018-10-11,0.6408254394563004
2018-10-12,0.647725123044203
2018-10-15,0.6320424311591037
2018-10-16,0.6256623961153795
2018-10-17,0.627308766552564
2018-10-18,0.5969372129694193
2018-10-19,0.6043089644014753
2018-10-22,0.6335890501597478
2018-10-23,0.6174384181606493
2018-10-24,0.6170292306297274
2018-10-25,0.6267746292278024
2018-10-26,0.6335270840738725
2018-10-29,0.6277270719635526
2018-10-30,0.6471075310679983
2018-10-31,0.7154525545046947
2018-11-01,0.7194816739757766
2018-11-02,0.7264738586032033
2018-11-05,0.7227709009116898
2018-11-06,0.7309478894549948
2018-11-07,0.7137043111947562
2018-11-08,0.7097607817849344
2018-11-09,0.6981943167927737
2018-11-12,0.7180874118710467
2018-11-13,0.715550308287789
2018-11-14,0.70780669100558
2018-11-15,0.7229014042011436
2018-11-16,0.7195846615610471
2018-11-19,0.7512684611465137
2018-11-20,0.723026933700662
2018-11-21,0.714709377789489
2018-11-22,0.7149704086525426
2018-11-23,0.6574726490252939
2018-11-26,0.6480826719567825
2018-11-27,0.6540980821317182
2018-11-28,0.666991948993168
2018-11-29,0.6589720768150316
2018-11-30,0.6670855069334605
2018-12-03,0.6967606101117719
2018-12-04,0.6909745753668096
2018-12-05,0.6857434224339571
2018-12-06,0.6716760626586407
2018-12-07,0.6734246115249456
2018-12-10,0.6567932940180476
2018-12-11,0.6625856028374375
2018-12-12,0.6626125827069179
2018-12-13,0.664609809006717
2018-12-14,0.6424310789902127
2018-12-17,0.641660157754613
2018-12-18,0.6346063387962192
2018-12-19,0.6268312878906106
2018-12-20,0.6286239833489324
2018-12-21,0.6251444403307433
2018-12-24,0.6291771846453006
2018-12-25,0.61083995815571
2018-12-26,0.6047752442047787
2018-12-27,0.5957490862826259
2018-12-28,0.6005704323133089
2019-01-02,0.5935391070887507
2019-01-03,0.6033921847364779
2019-01-04,0.6333230554272973
2019-01-07,0.6462933831790878
2019-01-08,0.6354734583941666
2019-01-09,0.6314565318999348
2019-01-10,0.6236258636403191
2019-01-11,0.6312134261129579
2019-01-14,0.6284345954688352
2019-01-15,0.6331864807027642
2019-01-16,0.6246038260292274
2019-01-17,0.6253037918744373
2019-01-18,0.6381407810678277
2019-01-21,0.6351674683198446
2019-01-22,0.6196297182697361
2019-01-23,0.6181119673064094
2019-01-24,0.6166026194053662
2019-01-25,0.6120939060027996
2019-01-28,0.6071783008358884
2019-01-29,0.5978925319421239
2019-01-30,0.5920708520029979
2019-01-31,0.5890821596262344
2019-02-01,0.6054128658105086
2019-02-11,0.6243761050589188
2019-02-12,0.6261240828817902
2019-02-13,0.6433334225933699
2019-02-14,0.638853244400931
2019-02-15,0.6337960194155287
2019-02-18,0.6528957586763635
2019-02-19,0.648118948418314
2019-02-20,0.6556561994975288
2019-02-21,0.6511489668404445
2019-02-22,0.659152121468152
2019-02-25,0.7253322480472705
2019-02-26,0.7585515024952465
2019-02-27,0.7353731303349212
2019-02-28,0.7275508967363693
2019-03-01,0.7308016691030553
2019-03-04,0.7411472234197932
2019-03-05,0.764439477217634
2019-03-06,0.8057909788072881
2019-03-07,0.8516887040820935
2019-03-08,0.77604905939804
2019-03-11,0.814761515901441
2019-03-12,0.8304528251120584
2019-03-13,0.8579046578988972
2019-03-14,0.8677060147531662
2019-03-15,0.9010915717847218
2019-03-18,0.919964927475962
2019-03-19,0.9268819039118521
2019-03-20,0.8889275354395982
2019-03-21,0.8915545554683161
2019-03-22,0.8927332018515587
2019-03-25,0.852963110563752
2019-03-26,0.8449429205461803
2019-03-27,0.8305262868845765
2019-03-28,0.8267616584110974
2019-03-29,0.8575159239328883
2019-04-01,0.8834097467936386
2019-04-02,0.9145211639238395
2019-04-03,0.9005559641826331
2019-04-04,0.8983149123123932
2019-04-08,0.908152757823058
2019-04-09,0.8714604776527256
2019-04-10,0.8555450834732089
2019-04-11,0.8428030455048904
2019-04-12,0.8378609423913729
2019-04-15,0.8191144862092918
2019-04-16,0.8471704694117599
2019-04-17,0.8400418540896378
