date,BUYHOLD_aerospace
2018-01-02,0.999
2018-01-03,1.005491559702753
2018-01-04,1.0097640858152404
2018-01-05,1.0055871310156872
2018-01-08,1.0133270103978307
2018-01-09,1.0131655929915202
2018-01-10,0.9950324508785726
2018-01-11,1.0005131131670708
2018-01-12,0.9863578617779354
2018-01-15,0.954630230860176
2018-01-16,0.9376749874166633
2018-01-17,0.9409312774598998
2018-01-18,0.941256060918364
2018-01-19,0.9628499181848965
2018-01-22,0.9664213321398064
2018-01-23,0.9619567933011213
2018-01-24,0.9669022697008476
2018-01-25,0.991477158696843
2018-01-26,0.9923889217171895
2018-01-29,0.9768969555860524
2018-01-30,0.9777142626180114
2018-01-31,0.943203998034194
2018-02-01,0.905849483877134
2018-02-02,0.9018359275166182
2018-02-05,0.9012245555504976
2018-02-06,0.8245159278953279
2018-02-07,0.8210699700974519
2018-02-08,0.8366484758080135
2018-02-09,0.7873176520446017
2018-02-12,0.8060733138291398
2018-02-13,0.8121131694106912
2018-02-14,0.8114641711399848
2018-02-22,0.8295193341198462
2018-02-23,0.834531787251324
2018-02-26,0.8515650803916776
2018-02-27,0.8803199831516749
2018-02-28,0.8721525786320002
2018-03-01,0.8819826952275388
2018-03-02,0.8860365744365417
2018-03-05,0.9081848089271853
2018-03-06,0.9090423960933112
2018-03-07,0.8883444525482718
2018-03-08,0.8849277431153938
2018-03-09,0.9025467984529578
2018-03-12,0.9298322553646088
2018-03-13,0.9103641078170269
2018-03-14,0.8921750497874077
2018-03-15,0.8999381083451244
2018-03-16,0.8885754488981268
2018-03-19,0.8962717417564171
2018-03-20,0.9007450106048532
2018-03-21,0.9095769296160464
2018-03-22,0.9080844217615429
2018-03-23,0.85468090330205
2018-03-26,0.9087550838492253
2018-03-27,0.9297421504829468
2018-03-28,0.9194247371317085
2018-03-29,0.9219416536824594
2018-03-30,0.9551563937913569
2018-04-02,0.9650761492601295
2018-04-03,0.9612125831899051
2018-04-04,0.9523860659874489
2018-04-09,1.0095371783403895
2018-04-10,0.9910691866101806
2018-04-11,0.9847970317759861
2018-04-12,0.9720027948963241
2018-04-13,0.975743189235143
2018-04-16,0.9729628716898227
2018-04-17,0.956596693329387
2018-04-18,0.9916495414200504
2018-04-19,1.0260670460137078
2018-04-20,1.0216132618123253
2018-04-23,0.9727271559027989
2018-04-24,0.987289528202771
2018-04-25,0.9948447012146332
2018-04-26,0.9686249784761195
2018-04-27,0.9637404859240613
2018-05-02,0.9492449285270239
2018-05-03,0.9446699651085197
2018-05-04,0.940614324727358
2018-05-07,0.9534608026213373
2018-05-08,0.9790055430249317
2018-05-09,0.9741831242127774
2018-05-10,0.9639762378450994
2018-05-11,0.9569858969175099
2018-05-14,0.9399394794820768
2018-05-15,0.9649778552582755
2018-05-16,0.9582805235051775
2018-05-17,0.9444234492937715
2018-05-18,0.9522604041415699
2018-05-21,0.96089121424681
2018-05-22,0.9603528676319222
2018-05-23,0.9595703385186456
2018-05-24,0.9459273581194693
2018-05-25,0.940109581657231
2018-05-28,0.91473126633549
2018-05-29,0.9147717283820261
2018-05-30,0.8896938356123569
2018-05-31,0.8912754770871132
2018-06-01,0.8868821865000591
2018-06-04,0.8877778879466751
2018-06-05,0.9038211909771271
2018-06-06,0.9035678066832779
2018-06-07,0.8911033895422905
2018-06-08,0.8718491883362568
2018-06-11,0.8617256916028877
2018-06-12,0.8695486306542626
2018-06-13,0.8472835410285485
2018-06-14,0.8367720136795813
2018-06-15,0.8192630143225135
2018-06-19,0.7484114171692089
2018-06-20,0.7762818638616589
2018-06-21,0.7653990352669533
2018-06-22,0.7822036636043395
2018-06-25,0.7805036737135902
2018-06-26,0.7987044183506166
2018-06-27,0.7961821046256624
2018-06-28,0.7970033904340427
2018-06-29,0.8174616116403564
2018-07-02,0.806167680463332
2018-07-03,0.8325399420502232
2018-07-04,0.8260658684199987
2018-07-05,0.8016583928790253
2018-07-06,0.8084209893438864
2018-07-09,0.8242744924458976
2018-07-10,0.8221365168399265
2018-07-11,0.7928581215173184
2018-07-12,0.8175975645345724
2018-07-13,0.8176205406665022
2018-07-16,0.8275971031633191
2018-07-17,0.8189888553652405
2018-07-18,0.8096058599702217
2018-07-19,0.7877054619130045
2018-07-20,0.7978321822092508
2018-07-23,0.8313413381578494
2018-07-24,0.8370430966065696
2018-07-25,0.8377636083837493
2018-07-26,0.8315169923347816
2018-07-27,0.8324186598904579
2018-07-30,0.8334010805073175
2018-07-31,0.828090742339152
2018-08-01,0.7996057391042061
2018-08-02,0.7714574747783113
2018-08-03,0.7665698639435938
2018-08-06,0.7495226623161023
2018-08-07,0.7695959961938666
2018-08-08,0.7549923008782081
2018-08-09,0.7719476524951613
2018-08-10,0.7779180010543294
2018-08-13,0.7944028448256875
2018-08-14,0.793253877351457
2018-08-15,0.7810742746672924
2018-08-16,0.7761144626518829
2018-08-17,0.7716606471221686
2018-08-20,0.7780523731835814
2018-08-21,0.7837721702619734
2018-08-22,0.7802068664525668
2018-08-23,0.7802801819157109
2018-08-24,0.7748651755859377
2018-08-27,0.791058895879731
