date,close,pe_ttm,pb,pe_anchor,pb_anchor,price_to_neutral,neutral_value,ret,code
2018-01-02,12.29,124.70057296,6.07321491,,,,,0.0,000831
2018-01-03,12.18,123.60583528,6.01989857,,,,,-0.008950366151342481,000831
2018-01-04,12.3,124.80009456,6.07806185,,,,,0.009852216748768461,000831
2018-01-05,12.03,122.11301119,5.94719449,,,,,-0.021951219512195252,000831
2018-01-08,12.23,124.10344332,6.04413327,,,,,0.01662510390689942,000831
2018-01-09,12.61,127.88526436,6.22831696,,,,,0.03107113654946847,000831
2018-01-10,12.47,126.49196187,6.16045981,,,,,-0.011102299762093426,000831
2018-01-11,12.41,125.89483223,6.13137818,,,,,-0.004811547714514863,000831
2018-01-12,12.07,122.51109761,5.96658224,,,,,-0.0273972602739726,000831
2018-01-15,11.45,116.34075801,5.66607201,,,,,-0.051367025683512924,000831
2018-01-16,11.52,117.03740926,5.70000058,,,,,0.006113537117903967,000831
2018-01-17,11.47,116.53980122,5.67576589,,,,,-0.004340277777777679,000831
2018-01-18,11.55,117.33597407,5.7145414,,,,,0.006974716652136115,000831
2018-01-19,11.53,117.13693086,5.70484752,,,,,-0.0017316017316018062,000831
2018-01-22,11.68,118.62975496,5.77755161,,,,,0.013009540329575131,000831
2018-01-23,11.87,120.52066548,5.86964346,,,,,0.016267123287671215,000831
2018-01-24,11.71,118.92831978,5.79209243,,,,,-0.013479359730412699,000831
2018-01-25,11.7,118.82879817,5.78724549,,,,,-0.000853970964987294,000831
2018-01-26,11.47,116.53980122,5.67576589,,,,,-0.01965811965811959,000831
2018-01-29,11.41,115.94267158,5.64668425,,,,,-0.005231037489102031,000831
2018-01-30,11.44,116.2412364,5.66122507,,,,,0.002629272567922891,000831
2018-01-31,11.17,113.55415303,5.53035771,,,,,-0.023601398601398538,000831
2018-02-01,10.7,108.87663752,5.30255156,,,,,-0.042076991942703756,000831
2018-02-02,10.97,111.5637209,5.43341892,,,,,0.025233644859813165,000831
2018-02-05,10.76,109.47376716,5.3316332,,,,,-0.019143117593436676,000831
2018-02-06,9.67,98.62591205,4.80331682,,,,,-0.10130111524163565,000831
2018-02-07,9.79,99.82017133,4.86148009,,,,,0.012409513960703222,000831
2018-02-08,10.0,101.91012507,4.96326581,,,,,0.021450459652706977,000831
2018-02-09,9.42,96.13787189,4.68214334,,,,,-0.05800000000000005,000831
2018-02-12,9.7,98.92447687,4.81785764,,,,,0.02972399150743099,000831
2018-02-13,9.63,98.22782562,4.78392906,,,,,-0.007216494845360688,000831
2018-02-14,9.73,99.22304169,4.83239845,,,,,0.01038421599169248,000831
2018-02-22,10.16,103.50247077,5.04081684,,,,,0.04419321685508737,000831
2018-02-23,10.18,103.70151398,5.05051072,,,,,0.0019685039370078705,000831
2018-02-26,10.32,105.09481647,5.11836787,,,,,0.013752455795677854,000831
2018-02-27,10.16,103.50247077,5.04081684,,,,,-0.015503875968992276,000831
2018-02-28,10.48,106.68716218,5.1959189,,,,,0.03149606299212593,000831
2018-03-01,10.45,106.38859736,5.18137808,,,,,-0.002862595419847458,000831
2018-03-02,10.57,107.58285664,5.23954135,,,,,0.011483253588516762,000831
2018-03-05,10.56,107.48333503,5.23469441,,,,,-0.0009460737937558861,000831
2018-03-06,10.8,109.87185359,5.35102096,,,,,0.022727272727272707,000831
2018-03-07,10.59,107.78189985,5.24923523,,,,,-0.019444444444444486,000831
2018-03-08,10.67,108.5780727,5.28801074,,,,,0.007554296506137925,000831
2018-03-09,10.74,109.27472395,5.32193932,,,,,0.006560449859418949,000831
2018-03-12,10.92,111.06611286,5.40918423,,,,,0.016759776536312776,000831
2018-03-13,10.76,109.47376716,5.3316332,,,,,-0.014652014652014711,000831
2018-03-14,10.91,110.96659126,5.40433729,,,,,0.013940520446096727,000831
2018-03-15,10.87,110.56850483,5.38494953,,,,,-0.0036663611365720383,000831
2018-03-16,10.58,107.68237824,5.24438829,,,,,-0.026678932842686187,000831
2018-03-19,10.46,106.48811897,5.18622502,,,,,-0.011342155009451682,000831
2018-03-20,10.46,106.48811897,5.18622502,,,,,0.0,000831
2018-03-21,10.4,105.89098933,5.15714338,,,,,-0.005736137667304075,000831
2018-03-22,10.53,107.18477021,5.22015359,,,,,0.012499999999999956,000831
2018-03-23,9.94,101.31299543,4.93418418,,,,,-0.05603038936372273,000831
2018-03-26,10.96,111.46419929,5.42857198,,,,,0.10261569416499006,000831
2018-03-27,11.43,116.1417148,5.65637813,,,,,0.04288321167883202,000831
2018-03-28,11.18,113.65367463,5.53520465,,,,,-0.02187226596675418,000831
2018-03-29,11.54,117.23645247,5.70969446,,,,,0.03220035778175312,000831
2018-03-30,11.53,117.13693086,5.70484752,,,,,-0.0008665511265164572,000831
2018-04-02,11.79,119.72449263,5.75381871,,,,,0.02254986990459673,000831
2018-04-03,11.37,115.54458516,5.55293725,,,,,-0.03562340966921118,000831
2018-04-04,11.63,118.13214693,5.67729244,,,,,0.022867194371152255,000831
2018-04-09,12.72,128.98000204,6.19862763,,,,,0.09372312983662945,000831
2018-04-10,12.37,125.49674581,6.03122642,,,,,-0.027515723270440384,000831
2018-04-11,12.67,128.482394,6.17471317,,,,,0.02425222312045272,000831
2018-04-12,12.31,124.89961617,6.00252907,,,,,-0.0284135753749013,000831
2018-04-13,12.01,121.91396797,5.85904232,,,,,-0.024370430544273014,000831
2018-04-16,11.78,386.42174066,5.74903581,,,,,-0.019150707743547102,000831
2018-04-17,12.0,393.49435155,5.85425943,,,,,0.018675721561969505,000831
2018-04-18,12.16,398.63806856,5.9307857,,,,,0.01333333333333342,000831
2018-04-19,12.68,415.35514886,6.17949607,,,,,0.042763157894736725,000831
2018-04-20,12.32,403.78178558,6.00731197,,,,,-0.028391167192428957,000831
2018-04-23,11.69,383.52839984,5.70598979,,,,,-0.051136363636363646,000831
2018-04-24,11.82,387.70766991,5.76816738,,,,,0.011120615911035081,000831
2018-04-25,11.54,378.70616514,5.63424641,,,,,-0.02368866328257202,000831
2018-04-26,11.12,365.20390798,5.43336496,,,,,-0.036395147313691534,000831
