strategy,date,code,name,action,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
V31_aerospace,2019-01-31,600879,航天电子,BUY_STAGED,0.79399957675122,6.91436136838163,5.49,0.0,0.25,0.25,0.00025
V31_aerospace,2022-04-29,600118,中国卫星,BUY_STAGED,0.817174137852618,22.051603404083753,18.02,0.0,0.25,0.25,0.00025
V31_aerospace,2022-04-29,600879,航天电子,BUY_A_LEVEL,0.7445231403410569,7.669338521008654,5.71,0.2574391343552759,0.375,0.11756086564472412,0.00011756086564472412
V31_aerospace,2022-09-30,600118,中国卫星,BUY_A_LEVEL,0.7338959248284552,26.5841508856455,19.51,0.26501909100641086,0.375,0.10998090899358914,0.00010998090899358914
V31_aerospace,2023-08-31,600118,中国卫星,REDUCE_25,1.212159848166658,21.432816834589666,25.98,0.40668187321692095,0.375,-0.03168187321692095,3.1681873216920955e-05
V31_aerospace,2023-10-31,600118,中国卫星,REDUCE_50,1.4030353828677904,19.42217590001278,27.25,0.38329419543189075,0.25,-0.13329419543189075,0.00013329419543189075
V31_aerospace,2024-04-30,600118,中国卫星,CORE_ONLY,1.7466536872777458,14.066898423518444,24.57,0.22717263643117236,0.125,-0.10217263643117236,0.00010217263643117237
V31_aerospace,2024-04-30,600879,航天电子,REDUCE_25,1.2043217717675456,6.484977838221346,7.81,0.40167380164538474,0.375,-0.026673801645384743,2.6673801645384745e-05
V31_aerospace,2024-05-31,600118,中国卫星,CORE_ONLY,1.7766542066578503,14.133307373996894,25.11,0.1283189202081143,0.125,-0.0033189202081143065,3.318920208114307e-06
V31_aerospace,2024-07-31,600879,航天电子,REDUCE_25,1.231671531910747,6.5277144041213555,8.04,0.3848368543151956,0.375,-0.009836854315195598,9.836854315195598e-06
V31_aerospace,2024-09-30,600879,航天电子,REDUCE_50,1.431707536127213,5.825212055920168,8.34,0.37970263987815966,0.25,-0.12970263987815966,0.00012970263987815967
V31_aerospace,2025-05-30,600118,中国卫星,CORE_ONLY,3.3645032701882696,8.215180007375452,27.64,0.129519107125732,0.125,-0.004519107125732003,4.5191071257320025e-06
V31_aerospace,2025-06-30,600879,航天电子,REDUCE_50,1.5995055181445534,6.539521046563023,10.46,0.29027587086656337,0.25,-0.04027587086656337,4.027587086656337e-05
V31_aerospace,2025-07-31,600118,中国卫星,CORE_ONLY,3.020614035335986,9.567591112906095,28.9,0.12568972711627213,0.125,-0.0006897271162721319,6.897271162721319e-07
V31_aerospace,2025-08-29,600879,航天电子,CORE_ONLY,1.706636756273547,7.054811139946043,12.04,0.2651687414567106,0.125,-0.1401687414567106,0.0001401687414567106
V31_aerospace,2025-10-31,600118,中国卫星,CORE_ONLY,2.790338258536389,15.392399064380276,42.95,0.16925490958117684,0.125,-0.04425490958117684,4.425490958117684e-05
V31_aerospace,2025-11-28,600118,中国卫星,CORE_ONLY,2.7889407848828074,15.557877827737125,43.39,0.12613210817419387,0.125,-0.0011321081741938743,1.1321081741938743e-06
V31_aerospace,2025-12-31,600118,中国卫星,CORE_ONLY,5.971585777091707,15.89862451012767,94.94,0.21784453526112804,0.125,-0.09284453526112804,9.284453526112804e-05
V31_aerospace,2025-12-31,600879,航天电子,CORE_ONLY,4.233481507507497,5.031319957870935,21.3,0.1755744719708976,0.125,-0.050574471970897594,5.057447197089759e-05
V31_aerospace,2026-01-30,600879,航天电子,CORE_ONLY,5.056429446198174,5.086593271728204,25.72,0.14782276921118878,0.125,-0.02282276921118878,2.2822769211188783e-05
V31_aerospace,2026-02-27,600879,航天电子,CORE_ONLY,5.013100424488513,5.14053137138766,25.77,0.1251448172034061,0.125,-0.00014481720340608906,1.4481720340608905e-07
V31_aerospace,2026-04-30,600118,中国卫星,CORE_ONLY,9.47139172265678,10.85268173990874,102.79,0.13171319136409207,0.125,-0.006713191364092069,6.713191364092069e-06
