date,CSI300
2018-01-02,1.0
2018-01-03,1.005869256740226
2018-01-04,1.0101311347066595
2018-01-05,1.0125629984831432
2018-01-08,1.0178010471204189
2018-01-09,1.0249302735235113
2018-01-10,1.0294588246807261
2018-01-11,1.0289156921270246
2018-01-12,1.0336644321573616
2018-01-15,1.0337231491901941
2018-01-16,1.0418530116944758
2018-01-17,1.0393208396535694
2018-01-18,1.0450212849244018
2018-01-19,1.048441552086901
2018-01-22,1.0609678524245243
2018-01-23,1.0722243969271419
2018-01-24,1.0740054802563979
2018-01-25,1.067935606987327
2018-01-26,1.0719038997895973
2018-01-29,1.0525077066105593
2018-01-30,1.0412731809952538
2018-01-31,1.0461173362039438
2018-02-01,1.0387777070998678
2018-02-02,1.0449748006067425
2018-02-05,1.0456891911728725
2018-02-06,1.0150437931203211
2018-02-07,0.9909722562019866
2018-02-08,0.981565298233596
2018-02-09,0.9396315506189754
2018-02-12,0.9517297059255272
2018-02-13,0.9628688163624798
2018-02-14,0.9705338356901698
2018-02-22,0.9915178352987228
2018-02-23,0.9960096883104174
2018-02-26,1.0075891764936145
2018-02-27,0.9930469246954053
2018-02-28,0.9844008416108039
2018-03-01,0.9906272936340951
2018-03-02,0.9826442237118951
2018-03-05,0.9830454567695845
2018-03-06,0.9949014043157018
2018-03-07,0.9875837940989382
2018-03-08,0.9976023878260019
2018-03-09,1.0052527278954837
2018-03-12,1.0098522288007046
2018-03-13,1.0009419190683564
2018-03-14,0.996560160493223
2018-03-15,1.0021431716983902
2018-03-16,0.9924206096785242
2018-03-19,0.99678279590938
2018-03-20,0.9976268532563487
2018-03-21,0.9935533591035867
2018-03-22,0.9835959289523902
2018-03-23,0.9553603757890101
2018-03-26,0.9492317854871066
2018-03-27,0.9573983461369086
2018-03-28,0.9401379850271565
2018-03-29,0.9526960904242305
2018-03-30,0.9537848020746684
2018-04-02,0.9509517052404952
2018-04-03,0.9449723540637079
2018-04-04,0.9431080882712727
2018-04-09,0.9426359054655771
2018-04-10,0.9607990409551304
2018-04-11,0.9635318295248814
2018-04-12,0.9538190536771541
2018-04-13,0.9470910603317512
2018-04-16,0.9318539903116896
2018-04-17,0.9171209081567744
2018-04-18,0.9214366100699711
2018-04-19,0.9325830601360278
2018-04-20,0.9201081372021334
2018-04-23,0.9214488427851446
2018-04-24,0.9403263688408279
2018-04-25,0.9367079316925184
2018-04-26,0.9187967901355384
2018-04-27,0.9191368596173607
2018-05-02,0.9207931692518472
2018-05-03,0.9279737730586681
2018-05-04,0.9234721338748348
2018-05-07,0.9380510838185644
2018-05-08,0.9489357537799089
2018-05-09,0.9472084943974164
2018-05-10,0.952453882663796
2018-05-11,0.9475069726476489
2018-05-14,0.956424622009101
2018-05-15,0.9600479522434799
2018-05-16,0.9524000587170328
2018-05-17,0.9453564613201546
2018-05-18,0.954900425698488
2018-05-21,0.9593482409355579
2018-05-22,0.955671086754416
2018-05-23,0.9430395850663013
2018-05-24,0.936345843323384
2018-05-25,0.9337231491901943
2018-05-28,0.9378235553163381
2018-05-29,0.930667416939864
2018-05-30,0.9109384939081078
2018-05-31,0.9302686304252091
2018-06-01,0.9224910701179234
2018-06-04,0.931540832803249
2018-06-05,0.9407740862161765
2018-06-06,0.938824191417527
2018-06-07,0.9372730831335323
2018-06-08,0.9247002984782502
2018-06-11,0.9247883740274991
2018-06-12,0.9360351323579781
2018-06-13,0.9268336840045016
2018-06-14,0.9231712090815677
2018-06-15,0.9182928022703919
2018-06-19,0.8859225913783823
2018-06-20,0.8894260410040613
2018-06-21,0.8790355727357243
2018-06-22,0.8829329157899888
2018-06-25,0.8710867544160101
2018-06-26,0.8639012575231199
2018-06-27,0.846322845818858
2018-06-28,0.8375813475559035
2018-06-29,0.8589763663942849
2018-07-02,0.8337720800508881
2018-07-03,0.8340950237314675
2018-07-04,0.8229559132945148
2018-07-05,0.8177423300875862
2018-07-06,0.8232910896902677
2018-07-09,0.8463032734745803
2018-07-10,0.8483436903655135
2018-07-11,0.8336668787003964
2018-07-12,0.8516563096344865
2018-07-13,0.8545016391838333
2018-07-16,0.8494617605323678
2018-07-17,0.8439056613005823
2018-07-18,0.8394872045799285
2018-07-19,0.8387581347555904
2018-07-20,0.8545505700445271
2018-07-23,0.8625899104565249
2018-07-24,0.8762807652786613
2018-07-25,0.8753119342369232
2018-07-26,0.8651587806429515
2018-07-27,0.8614840730048441
2018-07-30,0.8599794490385085
2018-07-31,0.860610657141459
2018-08-01,0.8434187992366785
2018-08-02,0.8247198708225277
2018-08-03,0.8110975192053629
2018-08-06,0.8008195919166218
