strategy,date,code,name,action,valuation_confidence,tradable_today,sell_confirmation_count,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
v32_candidate,2018-01-31,002444,巨星科技,BUY_STAGED,HIGH,True,0,0.8226467495766419,13.067577311321372,10.75,0.0,0.0625,0.0625,6.25e-05
v32_candidate,2018-02-28,002444,巨星科技,BUY_STAGED,HIGH,True,0,0.7981586602869185,13.067577311321372,10.43,0.06075256290773533,0.0625,0.0017474370922646726,1.7474370922646727e-06
v32_candidate,2018-03-30,002444,巨星科技,BUY_STAGED,HIGH,True,0,0.7637222847232452,13.067577311321372,9.98,0.05996515051372954,0.0625,0.00253484948627046,2.53484948627046e-06
v32_candidate,2018-03-30,000895,双汇发展,BUY_STAGED,MEDIUM,True,0,0.8197305666741742,15.273311145144156,12.52,0.0,0.0625,0.0625,6.25e-05
v32_candidate,2018-08-31,000895,双汇发展,BUY_FULL_MARGIN,HIGH,True,0,0.607320664900647,18.63924719546941,11.32,0.057447330861470074,0.125,0.06755266913852992,6.755266913852992e-05
v32_candidate,2018-08-31,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.2010941421361186,51.46843110424463,10.35,0.0,0.125,0.125,0.000125
v32_candidate,2018-09-28,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.2010941421361186,51.46843110424463,10.35,0.1216064933382506,0.125,0.003393506661749396,3.393506661749396e-06
v32_candidate,2018-10-31,002444,巨星科技,BUY_A_LEVEL,MEDIUM,True,0,0.7385863807705773,9.274473749236076,6.85,0.05133020844182892,0.09375,0.04241979155817108,4.2419791558171075e-05
v32_candidate,2018-11-30,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.036722027277431,59.36491423881175,2.18,0.030153120080511072,0.125,0.09484687991948892,9.484687991948892e-05
v32_candidate,2018-12-28,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.0269519466256374,59.36491423881175,1.6,0.09332343005822845,0.125,0.03167656994177155,3.167656994177155e-05
v32_candidate,2019-01-31,002444,巨星科技,BUY_A_LEVEL,MEDIUM,True,0,0.7472122071153431,9.274473749236076,6.93,0.07129699068195952,0.09375,0.02245300931804048,2.245300931804048e-05
v32_candidate,2019-02-28,000895,双汇发展,BUY_FULL_MARGIN,HIGH,True,0,0.6369668621112023,20.519120816866334,13.07,0.08853367251935146,0.125,0.03646632748064854,3.646632748064854e-05
v32_candidate,2019-04-30,002444,巨星科技,BUY_A_LEVEL,MEDIUM,True,0,0.700288410220128,14.037073663563913,9.83,0.07184118384052818,0.09375,0.021908816159471822,2.190881615947182e-05
v32_candidate,2019-05-31,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.5471225829593676,14.037073663563913,7.68,0.07812735399990718,0.125,0.04687264600009282,4.687264600009282e-05
v32_candidate,2019-06-28,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.5841673411805747,14.037073663563913,8.2,0.10098755192482817,0.125,0.024012448075171833,2.4012448075171835e-05
v32_candidate,2019-06-28,000895,双汇发展,BUY_A_LEVEL,MEDIUM,True,0,0.6583490030030407,21.81213905466137,14.36,0.08637206775057112,0.09375,0.007377932249428884,7.377932249428884e-06
v32_candidate,2019-07-31,000895,双汇发展,BUY_FULL_MARGIN,MEDIUM,True,0,0.618004495855222,21.81213905466137,13.48,0.08945989916352118,0.125,0.03554010083647882,3.5540100836478824e-05
v32_candidate,2019-08-30,002444,巨星科技,BUY_FULL_MARGIN,HIGH,True,0,0.5876848492567575,15.1101394075932,8.88,0.11768966312656802,0.11993612686104997,0.0022464637344819516,2.2464637344819515e-06
v32_candidate,2019-08-30,000895,双汇发展,BUY_FULL_MARGIN,HIGH,True,0,0.5466562672279132,21.640655580498105,11.83,0.09382366273457596,0.10340413929172172,0.009580476557145765,9.580476557145765e-06
v32_candidate,2019-08-30,600580,卧龙电驱,BUY_FULL_MARGIN,MEDIUM,True,0,0.6370131333950315,10.09398340930682,6.43,0.0,0.03841245234960195,0.03841245234960195,3.841245234960195e-05
v32_candidate,2020-07-31,000895,双汇发展,CORE_ONLY,HIGH,True,2,1.7495678638132113,25.77779401006133,45.1,0.12549328179929736,0.03125,-0.09424328179929736,9.424328179929737e-05
v32_candidate,2020-07-31,600580,卧龙电驱,BUY_STAGED,MEDIUM,True,0,0.7691580844779391,12.104143722703116,9.31,0.017705226952509607,0.0625,0.0447947730474904,4.47947730474904e-05
v32_candidate,2020-08-31,000895,双汇发展,CORE_ONLY,MEDIUM,True,2,1.8223430612441989,29.61571898715501,53.97,0.033597357176847364,0.03125,-0.0023473571768473644,2.3473571768473644e-06
