strategy,date,code,name,action,valuation_confidence,tradable_today,sell_confirmation_count,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
current_v31_baseline,2018-01-31,002444,巨星科技,BUY_STAGED,HIGH,True,0,0.8226467495766419,13.067577311321372,10.75,0.0,0.0625,0.0625,6.25e-05
current_v31_baseline,2018-01-31,600188,兖矿能源,BUY_FULL_MARGIN,LOW,True,0,0.0862218784483898,20.180492832124024,1.74,0.0,0.125,0.125,0.000125
current_v31_baseline,2018-02-28,600188,兖矿能源,BUY_FULL_MARGIN,LOW,True,0,0.0287406261494632,20.180492832124024,0.58,0.04554698754342855,0.125,0.07945301245657145,7.945301245657145e-05
current_v31_baseline,2018-02-28,600809,山西汾酒,BUY_FULL_MARGIN,LOW,True,0,0.5586688716486696,27.350727372562723,15.28,0.0,0.125,0.125,0.000125
current_v31_baseline,2018-03-30,000895,双汇发展,BUY_STAGED,MEDIUM,True,0,0.8197305666741742,15.273311145144156,12.52,0.0,0.0625,0.0625,6.25e-05
current_v31_baseline,2018-04-27,000895,双汇发展,BUY_STAGED,MEDIUM,True,0,0.8359783356305808,15.586528316157182,13.03,0.06033073014505548,0.0625,0.0021692698549445194,2.1692698549445195e-06
current_v31_baseline,2018-08-31,000895,双汇发展,BUY_FULL_MARGIN,HIGH,True,0,0.607320664900647,18.63924719546941,11.32,0.09305651483567884,0.125,0.03194348516432116,3.194348516432116e-05
current_v31_baseline,2018-11-30,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.036722027277431,59.36491423881175,2.18,0.07476735308583532,0.125,0.05023264691416468,5.023264691416468e-05
current_v31_baseline,2019-04-30,002444,巨星科技,BUY_A_LEVEL,MEDIUM,True,0,0.700288410220128,14.037073663563913,9.83,0.08863094529981413,0.09375,0.0051190547001858655,5.1190547001858655e-06
current_v31_baseline,2019-05-31,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.5471225829593676,14.037073663563913,7.68,0.08895962157801612,0.125,0.036040378421983876,3.6040378421983874e-05
current_v31_baseline,2019-06-28,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.5841673411805747,14.037073663563913,8.2,0.09822072661034041,0.125,0.02677927338965959,2.677927338965959e-05
current_v31_baseline,2019-07-31,000895,双汇发展,BUY_FULL_MARGIN,MEDIUM,True,0,0.618004495855222,21.81213905466137,13.48,0.10156061095114188,0.125,0.023439389048858117,2.343938904885812e-05
current_v31_baseline,2019-08-30,000895,双汇发展,BUY_FULL_MARGIN,HIGH,True,0,0.5466562672279132,21.640655580498105,11.83,0.10943171958961975,0.125,0.015568280410380247,1.5568280410380246e-05
current_v31_baseline,2019-08-30,600580,卧龙电驱,BUY_FULL_MARGIN,MEDIUM,True,0,0.6370131333950315,10.09398340930682,6.43,0.0,0.125,0.125,0.000125
current_v31_baseline,2019-09-30,600580,卧龙电驱,BUY_FULL_MARGIN,MEDIUM,True,0,0.5983762559418336,10.09398340930682,6.04,0.09832264235299266,0.125,0.026677357647007335,2.6677357647007335e-05
current_v31_baseline,2019-10-31,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.4743732015090841,17.64433566941221,8.37,0.10311490727589961,0.125,0.021885092724100386,2.1885092724100385e-05
current_v31_baseline,2019-10-31,600580,卧龙电驱,BUY_FULL_MARGIN,MEDIUM,True,0,0.5345636973851939,11.167986208569936,5.97,0.1090749025672609,0.125,0.015925097432739094,1.5925097432739093e-05
current_v31_baseline,2019-11-29,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.4573705777990811,17.64433566941221,8.07,0.1154854235146541,0.125,0.0095145764853459,9.514576485345899e-06
current_v31_baseline,2019-12-31,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.518580023155092,17.64433566941221,9.15,0.1219878446518945,0.125,0.0030121553481055052,3.012155348105505e-06
current_v31_baseline,2020-03-31,000895,双汇发展,REDUCE_25,HIGH,True,0,1.215773784550486,23.66394173455325,28.77,0.21902435063410058,0.09375,-0.12527435063410058,0.0001252743506341006
