label,start,end,final_multiple,final_capital_rmb,total_return,cagr,max_drawdown,sharpe,worst_calendar_year,best_calendar_year,trades,avg_cash_weight,total_turnover,low_invalid_decisions,mechanical_low_invalid_actions,blocked_nontradable_rebalance_decisions,variant
current_v31_baseline,2018-01-01,2026-08-24,17.89672375505313,17896723.75505313,16.89672375505313,0.3961754116217353,-0.9139823268841977,0.8445535806685256,-0.8595882861336923,6.701685830022495,100.0,0.38492474334370713,3.7231014260518003,175.0,136.0,2.0,current_v31_baseline
v31_1_confidence_gate_only,2018-01-01,2026-08-24,15.981237179976421,15981237.179976422,14.981237179976421,0.37800896274241813,-0.2688830618481628,1.2427493776065919,-0.13645262522144108,3.3646047115331283,108.0,0.3996478769733104,3.7380707833286975,175.0,0.0,2.0,v31_1_confidence_gate_only
v32_candidate,2018-01-01,2026-08-24,16.310294513579493,16310294.513579493,15.310294513579493,0.3812621403632208,-0.27508070625342207,1.2391173216605194,-0.13645262522144108,3.3646047115331283,96.0,0.3810661173898948,3.5973314370480516,175.0,0.0,2.0,v32_candidate
true_buyhold,2018-01-01,2026-08-24,6.57663712878243,6576637.12878243,5.57663712878243,0.24348109858401834,-0.9311158036653744,0.6712986201216896,-0.8669738026267266,8.771556657182282,,,,,,,true_buyhold
