variant,date,code,name,action,underlying_v31_action,valuation_confidence,tradable_today,execution_blocked_not_tradable,sell_confirmation_count,price_to_neutral,neutral_value,normalized_earnings,realistic_growth,market_implied_growth,expectation_gap
v32_candidate,2018-04-27,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,True,False,2,2.481318139284654,12.40469712959647,0.968750193621856,0.0,0.2283736248534582,-0.2283736248534582
v32_candidate,2018-04-27,600536,中国软件,HOLD_REVIEW,HOLD_REVIEW,LOW,False,True,0,18.7645396056727,0.8265590483931287,0.064550486787805,0.0,0.8226499701761674,-0.8226499701761674
v32_candidate,2018-04-27,000895,双汇发展,BUY_STAGED,BUY_STAGED,MEDIUM,True,False,0,0.8359783356305808,15.586528316157182,1.217236677882598,0.0,0.0,0.0
v32_candidate,2018-04-27,600188,兖矿能源,HOLD_REVIEW,HOLD_REVIEW,INVALID,True,False,0,,40.74247352016991,0.9797476149846726,0.3,0.0,0.3
v32_candidate,2018-04-27,600580,卧龙电驱,HOLD_REVIEW,CORE_ONLY,LOW,True,False,0,7.920177927648892,0.7676595217356248,0.0599507027497445,0.0,0.5526512645405743,-0.5526512645405743
v32_candidate,2018-04-27,600809,山西汾酒,HOLD_REVIEW,BUY_FULL_MARGIN,LOW,True,False,0,0.3097012356146174,45.62461616260045,1.097150099337231,0.3,0.0013890373675126,0.2986109626324874
v32_candidate,2018-05-31,601766,中国中车,CORE_ONLY,CORE_ONLY,HIGH,True,False,2,1.845914287942658,3.8625845449989216,0.2990285866841691,0.0021050841322462,0.154091885532259,-0.1519868014000128
v32_candidate,2018-05-31,002444,巨星科技,HOLD_NO_ADD,HOLD_NO_ADD,HIGH,True,False,0,1.188249345980317,8.474652255492853,0.53,0.0540649231976897,0.0967870821253718,-0.042722158927682
v32_candidate,2018-05-31,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,True,False,2,2.5530651550079595,12.40469712959647,0.968750193621856,0.0,0.2358664900926373,-0.2358664900926373
v32_candidate,2018-05-31,600536,中国软件,HOLD_REVIEW,CORE_ONLY,LOW,True,False,0,11.10346397416337,1.087948772392915,0.084963830466418,0.0,0.6551975304005795,-0.6551975304005795
