strategy,date,code,name,action,valuation_confidence,tradable_today,sell_confirmation_count,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
v31_1_confidence_gate_only,2018-01-31,002444,巨星科技,BUY_STAGED,HIGH,True,0,0.8226467495766419,13.067577311321372,10.75,0.0,0.0625,0.0625,6.25e-05
v31_1_confidence_gate_only,2018-02-28,002444,巨星科技,BUY_STAGED,HIGH,True,0,0.7981586602869185,13.067577311321372,10.43,0.06075256290773533,0.0625,0.0017474370922646726,1.7474370922646727e-06
v31_1_confidence_gate_only,2018-03-30,002444,巨星科技,BUY_STAGED,HIGH,True,0,0.7637222847232452,13.067577311321372,9.98,0.05996515051372954,0.0625,0.00253484948627046,2.53484948627046e-06
v31_1_confidence_gate_only,2018-03-30,000895,双汇发展,BUY_STAGED,MEDIUM,True,0,0.8197305666741742,15.273311145144156,12.52,0.0,0.0625,0.0625,6.25e-05
v31_1_confidence_gate_only,2018-08-31,000895,双汇发展,BUY_FULL_MARGIN,HIGH,True,0,0.607320664900647,18.63924719546941,11.32,0.057447330861470074,0.125,0.06755266913852992,6.755266913852992e-05
v31_1_confidence_gate_only,2018-08-31,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.2010941421361186,51.46843110424463,10.35,0.0,0.125,0.125,0.000125
v31_1_confidence_gate_only,2018-09-28,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.2010941421361186,51.46843110424463,10.35,0.1216064933382506,0.125,0.003393506661749396,3.393506661749396e-06
v31_1_confidence_gate_only,2018-10-31,002444,巨星科技,BUY_A_LEVEL,MEDIUM,True,0,0.7385863807705773,9.274473749236076,6.85,0.05133020844182892,0.09375,0.04241979155817108,4.2419791558171075e-05
v31_1_confidence_gate_only,2018-11-30,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.036722027277431,59.36491423881175,2.18,0.030153120080511072,0.125,0.09484687991948892,9.484687991948892e-05
v31_1_confidence_gate_only,2018-12-28,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.0269519466256374,59.36491423881175,1.6,0.09332343005822845,0.125,0.03167656994177155,3.167656994177155e-05
v31_1_confidence_gate_only,2019-01-31,002444,巨星科技,BUY_A_LEVEL,MEDIUM,True,0,0.7472122071153431,9.274473749236076,6.93,0.07129699068195952,0.09375,0.02245300931804048,2.245300931804048e-05
v31_1_confidence_gate_only,2019-02-28,000895,双汇发展,BUY_FULL_MARGIN,HIGH,True,0,0.6369668621112023,20.519120816866334,13.07,0.08853367251935146,0.125,0.03646632748064854,3.646632748064854e-05
