date,TRUE_BUYHOLD_single_600703
2018-01-02,0.999
2018-01-03,1.0268181818181816
2018-01-04,1.0280454545454543
2018-01-05,1.0313181818181818
2018-01-08,0.9883636363636363
2018-01-09,1.0145454545454544
2018-01-10,0.9944999999999998
2018-01-11,1.0022727272727272
2018-01-12,0.9822272727272727
2018-01-15,0.9102272727272727
2018-01-16,0.8746363636363635
2018-01-17,0.8877272727272726
2018-01-18,0.8942727272727272
2018-01-19,0.8963181818181817
2018-01-22,0.9503181818181817
2018-01-23,0.9511363636363636
2018-01-24,0.9736363636363636
2018-01-25,0.967090909090909
2018-01-26,0.9814090909090908
2018-01-29,0.890590909090909
2018-01-30,0.9008181818181817
2018-01-31,0.913090909090909
2018-02-01,0.9016363636363636
2018-02-02,0.917590909090909
2018-02-05,0.8836363636363637
2018-02-06,0.819
2018-02-07,0.832090909090909
2018-02-08,0.8787272727272727
2018-02-09,0.8840454545454545
2018-02-12,0.9437727272727272
2018-02-13,0.9339545454545454
2018-02-14,0.9417272727272727
2018-02-22,0.9568636363636364
2018-02-23,0.9499090909090908
2018-02-26,0.9908181818181817
2018-02-27,1.0043181818181817
2018-02-28,1.012090909090909
2018-03-01,1.0272272727272727
2018-03-02,0.9977727272727273
2018-03-05,1.0067727272727272
2018-03-06,1.043590909090909
2018-03-07,1.0268181818181816
2018-03-08,1.0239545454545456
2018-03-09,1.0632272727272727
2018-03-12,1.0734545454545452
2018-03-13,1.0558636363636362
2018-03-14,1.0374545454545454
2018-03-15,1.0431818181818182
2018-03-16,1.0055454545454543
2018-03-19,1.0227272727272727
2018-03-20,1.0509545454545455
2018-03-21,1.0476818181818182
2018-03-22,1.0141363636363636
2018-03-23,0.9826363636363635
2018-03-26,0.994090909090909
2018-03-27,1.0039090909090909
2018-03-28,0.9715909090909091
2018-03-29,0.9114545454545454
2018-03-30,0.917590909090909
2018-04-02,0.9486818181818182
2018-04-03,0.9122727272727272
2018-04-04,0.8738181818181817
2018-04-09,0.8701363636363635
2018-04-10,0.868090909090909
2018-04-11,0.8971363636363636
2018-04-12,0.8717727272727271
2018-04-13,0.8811818181818181
2018-04-16,0.885681818181818
2018-04-17,0.8652272727272726
2018-04-18,0.9016363636363636
2018-04-19,0.908590909090909
2018-04-20,0.854181818181818
2018-04-23,0.8537727272727272
2018-04-24,0.8615454545454544
2018-04-25,0.819
2018-04-26,0.7506818181818182
2018-04-27,0.760090909090909
2018-05-02,0.782590909090909
2018-05-03,0.8173636363636363
2018-05-04,0.8120454545454546
2018-05-07,0.8177727272727272
2018-05-08,0.8312727272727273
2018-05-09,0.8247272727272726
2018-05-10,0.8165454545454546
2018-05-11,0.809590909090909
2018-05-14,0.8496818181818181
2018-05-15,0.8509090909090908
2018-05-16,0.8611363636363636
