date,close,pe_ttm,pb,pe_anchor,pb_anchor,ratio_universal,neutral_universal,report_date,fund_available_date,normalized_owner_eps,historical_owner_eps_growth,assumed_growth,neutral_value_fundamental,quality_factor,ratio_fundamental,ret,code
2018-01-02,30.75,173.96321619,5.80590985,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.0,002371
2018-01-03,30.78,174.12917203,5.81144852,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.0009756097560975618,002371
2018-01-04,30.86,174.58555061,5.82667986,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.002599090318388564,002371
2018-01-05,29.37,166.1632914,5.5455924,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.04828256642903428,002371
2018-01-08,28.42,160.81121535,5.36697032,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.032345931222335644,002371
2018-01-09,28.2,159.5665465,5.32543031,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.007741027445461013,002371
2018-01-10,27.06,153.09426848,5.10942221,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.04042553191489362,002371
2018-01-11,27.29,154.42191525,5.15373156,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.008499630450850004,002371
2018-01-12,26.12,147.78368139,4.9321848,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.04287284719677531,002371
2018-01-15,24.26,137.28697409,4.58186398,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.07120980091883611,002371
2018-01-16,24.13,136.54017278,4.55693997,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.005358615004122158,002371
2018-01-17,24.93,141.0624696,4.70786871,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.03315375051802749,002371
2018-01-18,25.5,144.25711965,4.81448808,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.022864019253910906,002371
2018-01-19,24.49,138.5731319,4.62478867,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.03960784313725496,002371
2018-01-22,24.99,141.39438129,4.71894604,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.020416496529195527,002371
2018-01-23,24.85,140.60609102,4.69263737,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.0056022408963584125,002371
2018-01-24,25.98,146.99539112,4.90587612,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.04547283702213267,002371
2018-01-25,25.38,143.59329626,4.79233341,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.023094688221709014,002371
2018-01-26,25.17,142.43160534,4.75356272,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.008274231678486843,002371
2018-01-29,22.84,129.23811553,4.31323853,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.09257052046086622,002371
2018-01-30,22.86,129.36258242,4.31739254,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.0008756567425569628,002371
2018-01-31,22.56,127.66153499,4.26062118,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.013123359580052507,002371
2018-02-01,22.45,127.03920056,4.23985117,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.004875886524822626,002371
2018-02-02,21.84,123.55412779,4.12353912,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.027171492204899783,002371
2018-02-05,21.93,124.09348429,4.14153979,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.004120879120879106,002371
2018-02-06,19.74,111.68828476,3.72752428,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.09986320109439129,002371
2018-02-07,19.18,108.49363471,3.6209049,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.028368794326241065,002371
2018-02-08,19.87,112.43508606,3.75244829,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.03597497393117832,002371
2018-02-09,19.86,112.3935971,3.75106362,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.0005032712632109249,002371
2018-02-12,20.79,117.62120627,3.9255317,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.04682779456193353,002371
2018-02-13,20.89,118.20205173,3.94491704,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.00481000481000482,002371
2018-02-14,20.6,116.54249327,3.88953035,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.013882240306366644,002371
2018-02-22,21.84,123.59561675,4.12492379,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.06019417475728139,002371
2018-02-23,21.6,122.18499205,4.0778451,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.01098901098901095,002371
2018-02-26,23.76,134.42423574,4.48632194,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.10000000000000009,002371
2018-02-27,24.02,135.8763494,4.5347853,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.01094276094276081,002371
