date,TRUE_BUYHOLD_growth6
2018-01-02,0.999
2018-01-03,1.0211424891006613
2018-01-04,1.0281613101473677
2018-01-05,1.0100712377507544
2018-01-08,0.9884307458484507
2018-01-09,0.994771491243401
2018-01-10,0.980720371150065
2018-01-11,0.9815202011463937
2018-01-12,0.9765879056300366
2018-01-15,0.9251340756792833
2018-01-16,0.8929159654426859
2018-01-17,0.9003424273365228
2018-01-18,0.905524105270541
2018-01-19,0.9029671458832261
2018-01-22,0.9055732659993522
2018-05-14,0.9518887866019474
2018-05-15,0.9613700351109683
2018-05-16,0.9534016003159893
2018-05-17,0.9494060420723807
2018-05-18,0.9357923496203726
2018-05-21,0.9768505757234223
2018-05-22,0.9902900487124251
2018-05-23,0.9855272544962994
2018-05-24,0.9701142173322399
2018-05-25,0.9419900871183027
2018-05-28,0.9511760576471796
2018-05-29,0.9408301473296085
2018-05-30,0.922570234216221
2018-05-31,0.9205873286754486
2018-06-01,0.8939232644521505
2018-06-04,0.9028741562685039
2018-06-05,0.9489529164582724
2018-06-06,0.9497862172947207
2018-06-07,0.9412611451622191
2018-06-08,0.945953451398246
2018-06-11,0.9428799007453377
2018-06-12,0.9488288094175222
2018-06-13,0.9476571758115804
2018-06-14,0.9472378219474232
2018-06-15,0.9334956851502811
2018-06-19,0.9023791272699535
2018-06-20,0.9095249144029351
2018-06-21,0.861011257479306
2018-06-22,0.8611055450604788
2018-06-25,0.8432678787240765
2018-06-26,0.855820483683844
2018-06-27,0.8509209134970467
2018-06-28,0.8543850448277124
2018-06-29,0.9133693692111345
2018-07-02,0.9009548570055927
2018-07-03,0.9238017959439351
2018-07-04,0.9027200232149193
2018-07-05,0.8894216475551904
2018-07-06,0.8928580701132651
2018-07-09,0.9318232227579447
2018-07-10,0.9309989240111854
2018-07-11,0.9170122803580403
2018-07-12,0.9586527071997252
2018-07-13,0.9763618249549784
2018-07-16,0.9754970234935102
2018-07-17,0.9903533152252202
2018-07-18,0.9633893502997916
2018-07-19,0.9628945402177996
2018-07-20,0.9790051784086953
2018-07-23,1.0067192743361455
2018-07-24,1.0046831655204793
2018-07-25,1.00083655697531
2018-07-26,0.9729023162904917
2018-07-27,0.9718621698030703
2018-07-30,0.9520569965225636
2018-07-31,0.9423034575094374
2018-08-01,0.9326615787876119
2018-08-02,0.9352504279001277
2018-08-03,0.9041300845594997
2018-08-06,0.8914903089574068
2018-08-07,0.9235176642888934
2018-08-08,0.8879763296723415
2018-08-09,0.9434290972498826
2018-08-10,0.9529332384349023
2018-08-13,0.9721655770379436
2018-08-14,0.9480110289354888
2018-08-15,0.9253217948005195
2018-08-16,0.9088004462482095
2018-08-17,0.8933418858958603
2018-08-20,0.9071234591121253
2018-08-21,0.9180444908905122
2018-08-22,0.8991314033667496
2018-08-23,0.9058673051782569
2018-08-24,0.9078846709343126
2018-08-27,0.9542074545173728
2018-08-28,0.9559330526373461
2018-08-29,0.9443050304048367
2018-08-30,0.9284602763431179
2018-08-31,0.9242646871914622
2018-09-03,0.9207982371420772
2018-09-04,0.944990012777885
2018-09-05,0.9210023612879257
2018-09-06,0.9166401424359298
2018-09-07,0.8973493359231759
2018-09-10,0.8450494706211781
2018-09-11,0.8469032277289033
2018-09-12,0.8329377405408206
2018-09-13,0.8219162528061091
2018-09-14,0.7992740374296129
2018-09-17,0.7745148314748361
2018-09-18,0.7880472825487435
2018-09-19,0.7937042335358874
2018-09-20,0.7986379275583957
2018-09-21,0.805293713152965
2018-09-25,0.8115086465400192
2018-09-26,0.8214520431977679
2018-09-27,0.8099015092820236
2018-09-28,0.8169999344125093
2018-10-08,0.7779566583835333
2018-10-09,0.766110378180696
2018-10-10,0.7648477547555086
2018-10-11,0.7112717743027048
2018-10-12,0.7210788309095237
2018-10-15,0.7225534364579631
2018-10-16,0.6977371157409403
2018-10-17,0.7096303766490601
2018-10-18,0.7008362284257071
2018-10-19,0.7301361975054965
2018-10-22,0.782526560372521
2018-10-23,0.7648623894646748
2018-10-24,0.7528281279315838
2018-10-25,0.7486614219229923
2018-10-26,0.7319570986678029
2018-10-29,0.7246258613221492
2018-10-30,0.7189581110567883
2018-10-31,0.7321762705371062
2018-11-01,0.7340279198527045
2018-11-02,0.772144596394258
2018-11-05,0.7561331842392678
2018-11-06,0.7471592237069747
2018-11-07,0.7532713154181828
2018-11-08,0.7430594978518033
2018-11-09,0.739818050000767
2018-11-12,0.7621802565913379
2018-11-13,0.7661908920950854
2018-11-14,0.763842775711122
2018-11-15,0.7773716876938304
