code,name,report_date,profit_notice_date,cash_notice_date,available_date,p_PARENT_NETPROFIT,p_DEDUCT_PARENT_NETPROFIT,p_BASIC_EPS,p_TOTAL_OPERATE_INCOME,p_RESEARCH_EXPENSE,c_NETCASH_OPERATE,ttm_parent_netprofit,ttm_deduct_netprofit,ttm_basic_eps_approx,ttm_revenue,ttm_research_expense,ttm_operating_cashflow,cash_conversion,deduct_quality,rd_intensity,normalized_eps_4q_median,normalized_deduct_np_4q_median,normalized_cfo_4q_median,quality_factor,quality_adjusted_eps,normalized_owner_eps,historical_owner_eps_growth,assumed_growth,neutral_value_fundamental
002475,立讯精密,2007-12-31,2010-08-24,2010-08-24,2010-08-24,32125058.55,27865258.03,0.39,351080838.82,,-3159783.94,32125058.55,27865258.03,0.39,351080838.82,,-3159783.94,-0.09835885388604218,0.8673994472766494,,,,,,,,,0.0,
002475,立讯精密,2008-12-31,2010-08-24,2010-08-24,2010-08-24,58869170.06,58869170.06,0.47,630266471.27,,34769946.77,58869170.06,58869170.06,0.47,630266471.27,,34769946.77,0.5906308299329199,1.0,,0.43,43367214.045,15805081.415000001,0.5906308299329199,0.27759649006847237,,,0.0,
002475,立讯精密,2009-09-30,2010-10-14,2010-10-14,2010-10-14,53649881.88,,0.43,394639010.34,,49286972.1,,,,,,,,,,0.43,43367214.045,15805081.415000001,,,,,0.0,
002475,立讯精密,2009-12-31,2011-03-18,2010-08-24,2011-03-18,74122785.95,70318661.83,0.57,584703104.63,,59235104.49,74122785.95,70318661.83,0.57,584703104.63,,59235104.49,0.7991483823875349,0.9486780742082994,,0.47,58869170.06,34769946.77,0.7991483823875349,0.4555145779608949,0.36655553401468366,,0.0,4.803566075922097
002475,立讯精密,2010-03-31,2011-04-18,2011-04-18,2011-04-18,20755936.61,,0.12,190344093.35,,15915287.51,,,,,,,,,,0.52,64593915.945,47002525.63,,,0.36655553401468366,,0.0,4.803566075922097
002475,立讯精密,2010-06-30,2011-07-14,2010-08-24,2011-07-14,50628139.33,51033708.1,0.26,388128073.28,,21643598.99,,,,,,,,,,,,,,,,,0.0,
002475,立讯精密,2010-09-30,2010-10-14,2010-10-14,2010-10-14,73030352.27,73456030.77,0.37,624890780.28,,70925577.7,93503256.34,,0.51,814954874.5699999,,80873710.09,0.8649293431655901,,,0.54,,70054407.29,,,,,0.0,
002475,立讯精密,2010-12-31,2011-03-18,2011-03-18,2011-03-18,115780802.85,109179154.15,0.55,1010548735.47,,73362471.84,115780802.85,109179154.15,0.55,1010548735.47,,73362471.84,0.6336324333062785,0.9429814914260634,,0.53,,77118090.965,0.6336324333062785,0.3484978383184532,,,0.0,
002475,立讯精密,2011-03-31,2011-04-18,2011-04-18,2011-04-18,27066453.36,25245636.29,0.1,337833942.37,,16940947.46,122091319.59999998,,0.53,1158038584.4900002,,74388131.79,0.6092827240602617,,,0.53,,74388131.79,,,,,0.0,
002475,立讯精密,2011-06-30,2011-07-14,2011-07-14,2011-07-14,99412263.41,94953074.77,0.27,985367612.26,,88098657.11,164564926.93,153098520.82000002,0.56,1607788274.45,,139817529.95999998,0.849619251005248,0.9303229046194188,,0.54,131138837.48500001,77630920.94,0.849619251005248,0.47578678056293894,0.4121423094406961,,0.0,5.400962834739823
