label,start,end,final_multiple,final_capital_rmb,total_return,cagr,max_drawdown,sharpe,worst_calendar_year,best_calendar_year,trades,avg_cash_weight,total_turnover,group,variant
NORMALIZED_EARNINGS_growth6,2018-01-02,2026-08-24,1.5319573548369805,1531957.3548369806,0.5319573548369805,0.05060377517259784,-0.1333024739105959,0.8095832260477976,-0.03822787990134746,0.10901923276910108,56.0,0.8615685142039033,1.3166663397456748,growth6,normalized_earnings
UNIVERSAL_GEOMEAN_growth6,2018-01-02,2026-08-24,3.4599556936061933,3459955.693606193,2.4599556936061933,0.15448336265478324,-0.4075963114044968,0.771636494840889,-0.21772621269010206,0.6201151644753771,96.0,0.4375001562528734,3.0826637340814784,growth6,universal_geomean
TRUE_BUYHOLD_growth6,2018-01-02,2026-08-24,7.8500116090909104,7850011.60909091,6.8500116090909104,0.2693023233884877,-0.463875137902778,0.8512527313329015,-0.34194004555613833,1.2166217929780454,,,,growth6,true_buyhold
NORMALIZED_EARNINGS_single_002371,2018-01-02,2026-08-24,1.0,1000000.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,single_002371,normalized_earnings
UNIVERSAL_GEOMEAN_single_002371,2018-01-02,2026-08-24,3.063902544636368,3063902.5446363683,2.063902544636368,0.1383545365281602,-0.38391994745585967,0.6119833100022165,-0.13180454506183537,0.5952144120247578,9.0,0.5293635186794183,1.9322322115789907,single_002371,universal_geomean
TRUE_BUYHOLD_single_002371,2018-01-02,2026-08-24,23.021138211382112,23021138.21138211,22.021138211382112,0.43761162197733605,-0.534618280379461,0.9732388709568153,-0.3502882465979059,1.3328519855595666,,,,single_002371,true_buyhold
NORMALIZED_EARNINGS_single_002475,2018-01-02,2026-08-24,1.0,1000000.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,single_002475,normalized_earnings
UNIVERSAL_GEOMEAN_single_002475,2018-01-02,2026-08-24,3.9727630896138075,3972763.0896138074,2.9727630896138075,0.17309762657373828,-0.3812863889906052,0.6737445694991793,-0.20193834130086874,0.9201028842673753,13.0,0.3755201865429437,2.2884392516982586,single_002475,universal_geomean
TRUE_BUYHOLD_single_002475,2018-01-02,2026-08-24,5.303060217176703,5303060.217176703,4.303060217176703,0.2129722451950642,-0.5927091963545981,0.661541809934301,-0.3524624373956594,2.381366459627329,,,,single_002475,true_buyhold
NORMALIZED_EARNINGS_single_002384,2018-01-02,2026-08-24,2.647191030234003,2647191.030234003,1.6471910302340032,0.11925684896982713,-0.34001907148763355,0.8156622877906722,-0.004786668352560919,0.5337409566408042,19.0,0.8451303321425888,2.3425123866733073,single_002384,normalized_earnings
UNIVERSAL_GEOMEAN_single_002384,2018-01-02,2026-08-24,4.672561778627858,4672561.7786278585,3.672561778627858,0.1953329866880369,-0.6355470003208212,0.7205658232716989,-0.2618949110467518,0.6956203755605368,19.0,0.4220259468209122,2.9733289755647156,single_002384,universal_geomean
