报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260630,,2111369168.4,,,,,,,,,,,106704439.87,116613504.19,2334687112.46,1407830959.27,,,,,,599197622.26,78020844.29,166653541.96,2251702967.78,82984144.68,,2606730117.77,72526869.26,573939.82,,,,,2679830926.85,35807981.31,1994335749.02,,,,,2030143730.33,649687196.52,,36557623.29,,,,6979075.0,43536698.29,2495768.67,182405044.54,,238594319.55,423495132.76,-379958434.47,-11856719.73,340856187.0,627279573.93,968135760.93,627279573.93,,,968135760.93,定期报告,未审计,20260821,CNY,合并期末,2026-08-20T08:32:05
20260331,,995833195.05,,,,,,,,,,,36466849.77,35025612.8,1067325657.62,801141666.04,,,,,,197350117.52,34118606.83,78276036.97,1110886427.36,-43560769.74,,1375045547.13,16283666.49,190400.0,,,,,1391519613.62,14178931.43,949517074.49,,,,,963696005.92,427823607.7,,24234250.61,,,,,24234250.61,,978143.73,,167839519.72,168817663.45,-144583412.84,-6510175.98,233169249.14,627279573.93,,,,,860448823.07,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T07:50:03
20251231,,5179151867.28,,,,,,,,,,,422063447.1,124779389.84,5725994704.22,3089779378.88,,,,,,987444673.59,190709402.66,370323349.83,4638256804.96,1087737899.26,,4076815762.94,42842479.37,112876533.23,254971462.79,,,,4487506238.33,84870060.42,5507303812.45,,,,,5592173872.87,-1104667634.54,,196903552.03,,,,196027469.28,392931021.31,189991537.34,254687992.64,,209261436.37,653940966.35,-261009945.04,2615919.29,-275323761.03,902603334.96,627279573.93,902603334.96,,,627279573.93,定期报告,是,20260327,CNY,合并期末,2026-03-26T10:48:08
20250930,,3780193109.2,,,,,,,,,,,324489945.55,103200186.52,4207883241.27,2216949821.98,,,,,,813215354.68,136452737.48,313653830.53,3480271744.67,727611496.6,,3372877217.83,31711031.88,20477989.56,256872073.18,2168342.0,,,3684106654.45,70903989.78,4448968555.52,,,,820660.43,4520693205.73,-836586551.28,,150725188.51,,,,167651712.27,318376900.78,188541517.24,183529828.6,,65624099.73,437695445.57,-119318544.79,-463417.8,-228757017.27,902603334.96,,,,,673846317.69,定期报告,未审计,20251024,CNY,合并期末,2025-10-23T11:32:20
20250630,,2472655322.36,,,,,,,,,,,196479188.52,73773130.13,2742907641.01,1392628049.28,,,,,,586233607.73,84716616.46,242212606.09,2305790879.56,437116761.45,,2054753688.95,21872091.56,1676620.38,166530459.03,2168342.0,,,2247001201.92,40951888.87,2703984099.57,,,,,2744935988.44,-497934786.52,,11976884.09,,,,87305952.44,99282836.53,188541517.24,182505988.04,,11342384.64,382389889.92,-283107053.39,6052542.34,-337872536.12,902603334.96,564730798.84,902603334.96,,,564730798.84,定期报告,未审计,20260821,CNY,合并期末,2025-08-21T08:26:05
20250331,,1163771201.33,,,,,,,,,,,643527.27,29405742.55,1193820471.15,686312667.43,,,,,,182869051.19,37777091.59,103395803.05,1010354613.26,183465857.89,,1341042821.01,7297432.08,759303.0,,,,,1349099556.09,26748614.08,1671689879.97,,,,58697253.63,1757135747.68,-408036191.59,,4417172.21,,,,,4417172.21,101390808.91,291405.58,,4059192.0,105741406.49,-101324234.28,3182315.24,-322712252.74,902603334.96,,,,,579891082.22,定期报告,未审计,20260424,CNY,合并期末,2025-04-22T10:10:03
20241231,,4828187305.64,,,,,,,,,,,111035310.28,138203837.88,5077426453.8,2562894696.84,,,,,,901742991.28,167490013.45,372625689.45,4004753391.02,1072673062.78,,2163198397.0,32766696.52,3994566.62,,,,,2199959660.14,230814719.54,2987094058.17,,,,,3217908777.71,-1017949117.57,,222784357.54,,385000000.0,,2000549.07,609784906.61,415991537.34,96443437.51,,90110824.38,602545799.23,7239107.38,11808493.18,73771545.77,828831789.19,902603334.96,828831789.19,,,902603334.96,定期报告,是,20260327,CNY,合并期末,2025-03-20T13:05:10
20240930,,3582668467.88,,,,,,,,,,,110260046.44,70171020.23,3763099534.55,1912564490.05,,,,,,737519050.98,134862228.22,351193085.66,3136138854.91,626960679.64,,1637912502.87,30039723.79,3927888.23,,,,,1671880114.89,161509536.01,2280885335.27,,,,,2442394871.28,-770514756.39,,13752826.23,,385000000.0,,54037153.77,452789980.0,413495768.67,92045246.67,,122442020.99,627983036.33,-175193056.33,-4138590.44,-322885723.52,828831789.19,,,,,505946065.67,定期报告,未审计,20251024,CNY,合并期末,2024-10-24T08:35:23
20240630,,2596502188.8,,,,,,,,,,,101354611.72,64707118.6,2762563919.12,1345015719.66,,,,,,554319720.08,91732327.81,241372208.12,2232439975.67,530123943.45,,1076571100.07,18195132.03,3934712.08,,,,,1098700944.18,117032321.33,1704955053.85,,,,,1821987375.18,-723286431.0,,,,385000000.0,,53984405.79,438984405.79,213495768.67,88715610.98,,77559320.37,379770700.02,59213705.77,9260996.63,-124687785.15,828831789.19,704144004.04,828831789.19,,,704144004.04,定期报告,未审计,20250822,CNY,合并期末,2024-08-22T08:15:03
20240331,,1343167905.96,,,,,,,,,,,50566545.19,71006695.72,1464741146.86,650937872.87,,,,,,355110523.42,48754100.82,189044385.84,1243846882.95,220894263.91,,896685607.0,3633206.09,145203.55,,0.0,,,900464016.64,51860061.65,596000000.0,,,,1377728.63,649237790.28,251226226.35,,,,300000000.0,,50000000.0,350000000.0,211000000.0,3012322.22,,584583.33,214596905.55,135403094.45,143996.38,607667581.09,828831789.19,,,,,1436499370.28,定期报告,未审计,20250423,CNY,合并期末,2024-04-25T14:20:06
