报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260630,13689427504.0,13689427504.0,,,,,,10240584992.0,8389487706.0,,,,,,,,,86446838.0,863265913.0,359391938.0,263853541.0,278139056.0,75575375.0,,44154778.0,-7993049.0,,,,,,,,51009973.0,-223835255.0,-12459477.0,,-418808.0,3307293723.0,2632831.0,,1805061.0,,3308121493.0,384961765.0,,2923159728.0,2923159728.0,,2923361746.0,,-202018.0,502227043.0,503221799.0,603311894.0,,650139.0,602661755.0,,-100090095.0,-120514.0,,,,,,,,-99969581.0,,-994756.0,3425386771.0,3426583545.0,-1196774.0,1.5191,1.5021,定期报告,未审计,20260826,CNY,合并期末,2026-08-25T09:12:02
20260331,6214156406.0,6214156406.0,,,,,,4886516593.0,3999902225.0,,,,,,,,,39106914.0,417024662.0,164768655.0,125434955.0,140279182.0,27741005.0,,45133292.0,-3510010.0,,,,,,,,30191997.0,-13008769.0,2428124.0,,1072547.0,1393457004.0,1525493.0,,1604477.0,,1393378020.0,151938275.0,,1241439745.0,1241439745.0,,1242081367.0,,-641622.0,349213333.0,349848402.0,413461502.0,,,413461502.0,,-63613100.0,,,,,,,,,-63613100.0,,-635069.0,1590653078.0,1591929769.0,-1276691.0,0.6455,0.6392,定期报告,未审计,20260423,CNY,合并期末,2026-04-22T10:26:21
20251231,18945220585.0,18945220585.0,,,,,,14359871063.0,12224297224.0,,,,,,,,,111406395.0,1140945544.0,531026280.0,420145424.0,-67949804.0,123648075.0,,-2496065.0,-10344827.0,,,,12102946.0,,,,85013953.0,-209270013.0,-43485542.0,,-16458686.0,4410756115.0,2367850.0,,14936745.0,,4398187220.0,579514112.0,,3818673108.0,3818673108.0,,3822306272.0,,-3633164.0,98746487.0,98172278.0,41914962.0,,745525.0,41169437.0,,56257316.0,-212182.0,,,,,,,,56469498.0,,574209.0,3917419595.0,3920478550.0,-3058955.0,1.9875,1.9691,定期报告,是,20260325,CNY,合并期末,2026-03-24T11:00:15
20250930,13512390231.0,13512390231.0,,,,,,10201018914.0,8728624634.0,,,,,,,,,81668700.0,792327190.0,373567178.0,300933228.0,-76102016.0,89247370.0,,-9657373.0,-9924348.0,,,,,,,,52409583.0,-196983668.0,-38407676.0,,-6965478.0,3111766705.0,1856839.0,,3618670.0,,3110004874.0,396683504.0,,2713321370.0,2713321370.0,,2717617995.0,,-4296625.0,79338023.0,78865448.0,31728224.0,363370.0,31364854.0,,,47137224.0,361843.0,,,,,,,,46775381.0,,472575.0,2792659393.0,2796483443.0,-3824050.0,1.4134,1.4015,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T11:22:10
20250630,8493871883.0,8493871883.0,,,,,,6386598446.0,5508789969.0,,,,,,,,,54800754.0,481526354.0,235528888.0,188369204.0,-82416723.0,59134982.0,,-2733763.0,-6407755.0,,,,150889.0,,,,34244303.0,-190137615.0,-36334747.0,,1761175.0,1914223679.0,1469615.0,,1440612.0,,1914252682.0,235938225.0,,1678314457.0,1678314457.0,,1682780947.0,,-4466490.0,-23061496.0,-23477461.0,-65707307.0,,363370.0,-66070677.0,,42229846.0,361843.0,,,,,,,,41868003.0,,415965.0,1655252961.0,1659303486.0,-4050525.0,0.8754,0.8693,定期报告,未审计,20260826,CNY,合并期末,2025-08-21T11:14:03
20250331,4037627327.0,4037627327.0,,,,,,3120446994.0,2715105615.0,,,,,,,,,25639039.0,212774439.0,113638046.0,84648051.0,-31358196.0,29834496.0,,-3447179.0,-3903408.0,,,,9334.0,,,,14587191.0,-32775686.0,-4131196.0,,-482166.0,890940631.0,1200078.0,,234389.0,,891906320.0,131930273.0,,759976047.0,759976047.0,,762465400.0,,-2489353.0,-70261922.0,-70264159.0,-70568507.0,,,-70568507.0,,304348.0,,,,,,,,,304348.0,,2237.0,689714125.0,692201241.0,-2487116.0,0.3969,0.3938,定期报告,未审计,20260423,CNY,合并期末,2025-04-24T11:12:09
20241231,13341541440.0,13341541440.0,,,,,,10129311354.0,8733408277.0,,,,,,,,,99389874.0,789583655.0,365726582.0,323352646.0,-182149680.0,120347573.0,,-22246312.0,-25108025.0,,,,-9061144.0,,,,69984851.0,-272900122.0,-16589733.0,,-5366191.0,2956051435.0,1463539.0,,7755153.0,,2949759821.0,383444586.0,,2566315235.0,2566315235.0,,2587236693.0,,-20921458.0,210122697.0,209594676.0,156352921.0,,-802557.0,157155478.0,,53241755.0,1049983.0,,,,,,,,52191772.0,,528021.0,2776437932.0,2796831369.0,-20393437.0,1.3516,1.3466,定期报告,是,20260325,CNY,合并期末,2025-03-25T12:37:11
20240930,9010914022.0,9010914022.0,,,,,,6798238904.0,5791190464.0,,,,,,,,,65826437.0,577282436.0,253041131.0,201755201.0,-90856765.0,88690670.0,,-23107623.0,-22966714.0,,,,-229583.0,,,,48115146.0,-141493485.0,-3720789.0,,418274.0,2092657058.0,1100156.0,,1901940.0,,2091855274.0,261633353.0,,1830221921.0,1830221921.0,,1848389385.0,,-18167464.0,141913324.0,141913324.0,64324076.0,-2098780.0,66422856.0,66422856.0,,77589248.0,1062197.0,,,,,,,,76527051.0,,,1972135245.0,1990302709.0,-18167464.0,0.9662,0.9639,定期报告,未审计,20251029,CNY,合并期末,2024-10-24T11:02:04
20240630,5424106130.0,5424106130.0,,,,,,3998755601.0,3454237707.0,,,,,,,,,39066126.0,366563342.0,159645541.0,124188473.0,-144945588.0,58869245.0,,-16578825.0,-16256991.0,,,,-229583.0,,,,32683101.0,-146020627.0,-9833912.0,,-1409842.0,1283960841.0,786525.0,,463745.0,,1284283621.0,156085379.0,,1128198242.0,1128198242.0,,1140830259.0,,-12632017.0,20702594.0,20702594.0,77223325.0,,-2098780.0,79322105.0,,-56520731.0,1062197.0,,,,,,,,-57582928.0,,,1148900836.0,1161532853.0,-12632017.0,0.5966,0.5949,定期报告,未审计,20250822,CNY,合并期末,2024-08-22T20:07:11
20240331,2584035431.0,2584035431.0,,,,,,1979497645.0,1718621352.0,,,,,,,,,23048229.0,184885738.0,78140819.0,56950672.0,-82149165.0,28888878.0,,-8670063.0,-7780960.0,,,,-229583.0,,,,14361845.0,-18882239.0,-1114018.0,,3215964.0,593219692.0,419733.0,,372523.0,,593266902.0,85147548.0,,508119354.0,508119354.0,,514812001.0,,-6692647.0,-18274210.0,-18274210.0,32770823.0,,,32770823.0,,-51045033.0,,,,,,,,,-51045033.0,,,489845144.0,496537791.0,-6692647.0,0.2694,0.2687,定期报告,未审计,20250425,CNY,合并期末,2024-04-22T11:42:03
