code,stock_name,balanced_exit_historical_profile,signal_count,avg_balanced_exit_net_return_60d,win_rate_balanced_exit_60d,avg_balanced_exit_max_drawdown_250d,source_signal_details,generated_at,rule
002230,科大讯飞,PASSED,82,9.2949,53.6585,-8.8524,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
002241,歌尔股份,PASSED,308,10.2677,53.8961,-10.6948,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
002352,顺丰控股,FAILED,500,-1.1553,29.6,-9.891,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
002371,北方华创,PASSED,84,11.1759,61.9048,-8.9654,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
002387,维信诺,DEGRADED,73,0.8479,38.3562,-10.9737,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
002415,海康威视,DEGRADED,510,-0.4888,32.9412,-10.0531,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
002459,晶澳科技,FAILED,88,-3.7825,11.3636,-11.0612,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
002466,天齐锂业,PASSED,324,9.3284,54.321,-9.9701,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
002475,立讯精密,PASSED,298,21.7473,59.0604,-9.85,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
002601,龙佰集团,PASSED,430,4.1391,54.8837,-10.1033,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
