strategy,date,code,name,valuation_type,action,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
UNIVERSAL_growth_tech,2020-09-30,603160,汇顶科技,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.7704496784308517,199.4289884226231,153.65,0.0,0.125,0.125,0.000125
UNIVERSAL_growth_tech,2020-10-30,002916,深南电路,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.8152354540222653,95.33442101486101,77.72,0.0,0.125,0.125,0.000125
UNIVERSAL_growth_tech,2020-11-30,002916,深南电路,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.8144711213668648,94.49076582462972,76.96,0.12440699531781191,0.125,0.0005930046821880919,5.930046821880919e-07
UNIVERSAL_growth_tech,2020-12-31,002463,沪电股份,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.834845186294034,18.087185801514284,15.1,0.0,0.125,0.125,0.000125
UNIVERSAL_growth_tech,2020-12-31,603160,汇顶科技,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.8094819616119362,187.71264488391955,151.95,0.12374896950107782,0.125,0.0012510304989221815,1.2510304989221816e-06
UNIVERSAL_growth_tech,2021-01-29,002463,沪电股份,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.7674590321433976,17.746875637076535,13.62,0.11575823906542454,0.125,0.00924176093457546,9.24176093457546e-06
UNIVERSAL_growth_tech,2021-01-29,603160,汇顶科技,GROWTH_TECH_CONSENSUS,BUY_A_LEVEL,0.734147183801743,185.61673055031403,136.27,0.11509363399904307,0.1875,0.07240636600095693,7.240636600095693e-05
UNIVERSAL_growth_tech,2021-02-26,603160,汇顶科技,GROWTH_TECH_CONSENSUS,BUY_A_LEVEL,0.7298932655917719,184.84894485306913,134.92,0.18514814812167577,0.1875,0.002351851878324235,2.351851878324235e-06
UNIVERSAL_growth_tech,2021-03-31,002463,沪电股份,GROWTH_TECH_CONSENSUS,BUY_A_LEVEL,0.7297568079834985,18.143030465978725,13.24,0.1298479837146767,0.1875,0.05765201628532329,5.765201628532329e-05
UNIVERSAL_growth_tech,2021-03-31,002916,深南电路,GROWTH_TECH_CONSENSUS,BUY_A_LEVEL,0.6700367667376119,94.72614511742907,63.47,0.11394932408230093,0.1875,0.07355067591769907,7.355067591769906e-05
UNIVERSAL_growth_tech,2021-03-31,603160,汇顶科技,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.5884226385621184,186.03974902716715,109.47,0.16300178244689706,0.25,0.08699821755310294,8.699821755310294e-05
UNIVERSAL_growth_tech,2021-04-30,600183,生益科技,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.8466166233274799,23.1864098331163,19.63,0.0,0.125,0.125,0.000125
UNIVERSAL_growth_tech,2021-04-30,002463,沪电股份,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.6316562306622484,17.699500863434107,11.18,0.16556634913302704,0.25,0.08443365086697296,8.443365086697297e-05
UNIVERSAL_growth_tech,2021-04-30,002916,深南电路,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.6139116658626033,93.22188057721057,57.23,0.1767964342035477,0.25,0.07320356579645229,7.320356579645229e-05
UNIVERSAL_growth_tech,2021-05-31,600183,生益科技,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.8313880597438571,23.5870599417096,19.61,0.11640715898936974,0.125,0.008592841010630264,8.592841010630264e-06
UNIVERSAL_growth_tech,2021-06-30,600183,生益科技,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.8485141472188682,23.700253043409504,20.11,0.11800423030954674,0.125,0.006995769690453263,6.995769690453263e-06
UNIVERSAL_growth_tech,2021-07-30,002463,沪电股份,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.6393188722763196,17.847119011791804,11.41,0.21456963916711433,0.25,0.03543036083288567,3.543036083288567e-05
UNIVERSAL_growth_tech,2021-08-31,603160,汇顶科技,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.608738848096758,167.75666662195377,102.12,0.2498651242740636,0.25,0.00013487572593640085,1.3487572593640086e-07
UNIVERSAL_growth_tech,2021-09-30,600183,生益科技,GROWTH_TECH_CONSENSUS,BUY_A_LEVEL,0.6825662869947086,26.89848641783612,18.36,0.13440210469023414,0.18278518329779356,0.048383078607559415,4.8383078607559414e-05
UNIVERSAL_growth_tech,2021-09-30,002463,沪电股份,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.5580590887168094,16.862013701160528,9.41,0.24777671243111685,0.24980258363721528,0.0020258712060984285,2.0258712060984285e-06
UNIVERSAL_growth_tech,2023-02-28,603160,汇顶科技,GROWTH_TECH_CONSENSUS,REDUCE_50,1.437953103910583,36.760586876056436,52.86,0.1368768482715063,0.125,-0.011876848271506313,1.1876848271506314e-05
UNIVERSAL_growth_tech,2023-03-31,002463,沪电股份,GROWTH_TECH_CONSENSUS,REDUCE_25,1.2294926679997134,16.136737140757496,19.84,0.4709842561431034,0.1875,-0.2834842561431034,0.0002834842561431034
UNIVERSAL_growth_tech,2023-04-28,600183,生益科技,GROWTH_TECH_CONSENSUS,BUY_A_LEVEL,0.7488179818592043,17.828097512901497,13.35,0.12572943271634332,0.1875,0.06177056728365668,6.177056728365668e-05
UNIVERSAL_growth_tech,2023-04-28,002463,沪电股份,GROWTH_TECH_CONSENSUS,REDUCE_25,1.2784686032998758,15.98005609779372,20.43,0.2042480551018953,0.1875,-0.01674805510189531,1.674805510189531e-05
UNIVERSAL_growth_tech,2023-04-28,603160,汇顶科技,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.5151698535256568,99.11294236369186,51.06,0.10652348450618863,0.25,0.14347651549381135,0.00014347651549381137
UNIVERSAL_growth_tech,2023-06-30,002463,沪电股份,GROWTH_TECH_CONSENSUS,REDUCE_25,1.2195739749849692,15.939992488147013,19.44,0.19270945944837692,0.1875,-0.0052094594483769185,5.209459448376919e-06
UNIVERSAL_growth_tech,2023-06-30,603160,汇顶科技,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.4754254604972399,95.70375123034488,45.5,0.24062705844885443,0.25,0.00937294155114557,9.37294155114557e-06
UNIVERSAL_growth_tech,2023-08-31,002916,深南电路,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.6465231079996566,76.39324780333487,49.39,0.21205488017618776,0.25,0.03794511982381224,3.794511982381224e-05
UNIVERSAL_growth_tech,2024-01-31,002916,深南电路,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.5873869659879916,67.16185799874646,39.45,0.2229737306791657,0.25,0.027026269320834295,2.7026269320834296e-05
UNIVERSAL_growth_tech,2024-02-29,002463,沪电股份,GROWTH_TECH_CONSENSUS,REDUCE_25,1.354773003613347,18.379462783498507,24.9,0.2030166526086894,0.1875,-0.015516652608689396,1.5516652608689398e-05
