date,TRUE_BUYHOLD_resource_asset
2018-01-02,0.999
2018-01-03,1.0034778757208924
2018-01-04,1.0079273315696895
2018-01-05,0.9944844561951626
2018-01-08,1.0154602077667918
2018-01-09,1.00426917220414
2018-01-10,0.995688855680663
2018-01-11,0.9958196892314389
2018-01-12,0.9933141027811733
2018-01-15,0.9859702863734506
2018-01-16,0.9733356630957987
2018-01-17,0.9606725003722653
2018-02-01,0.8840562618163116
2018-02-02,0.9308569686038869
2018-02-05,0.9253234464300045
2018-02-06,0.9149284897581493
2018-02-07,0.9061543557201689
2018-02-08,0.851940614490329
2018-02-09,0.7762987232720162
2018-02-12,0.7884274849702251
2018-02-13,0.8010127154061704
2018-02-14,0.811529468168081
2018-02-22,0.8247326267673445
2018-02-23,0.8307754063612868
2018-02-26,0.8475836643805625
2018-02-27,0.8348996429103236
2018-02-28,0.8301363848102408
2018-03-01,0.8230163235795251
2018-03-02,0.8335244829364415
2018-03-05,0.8151617976222822
2018-03-06,0.8481095551027058
2018-03-07,0.8404805835235982
2018-03-08,0.8489891638457853
2018-03-09,0.8446785112669959
2018-03-12,0.8583487368123852
2018-03-13,0.8483344365390085
2018-03-14,0.8523787494752718
2018-03-15,0.837571401798034
2018-03-16,0.8271501676522831
2018-03-19,0.8227202886129124
2018-03-20,0.8273423344383416
2018-03-21,0.8442366645789198
2018-03-22,0.8356113866646601
2018-03-23,0.8432600601902379
2018-03-26,0.8383118455091214
2018-03-27,0.870961912927796
2018-03-28,0.8521980140964875
2018-03-29,0.8449433547609125
2018-03-30,0.8445812204423864
2018-04-02,0.8856609651382293
2018-04-03,0.8785716445594791
2018-04-04,0.8872644430360372
2018-04-09,0.8857219897162953
2018-04-10,0.8857703217835355
2018-04-11,0.9182613855509727
2018-04-12,0.9075484249850438
2018-04-13,0.8946459007992028
2018-04-16,0.8865757052594924
2018-04-17,0.8965845842053478
2018-04-18,0.888908926454559
2018-04-19,0.9224236879879765
2018-04-20,0.8990238615367604
2018-04-23,0.8534954257432493
2018-04-24,0.8449633418165823
2018-04-25,0.8342339652367863
2018-04-26,0.8273925172315958
2018-04-27,0.8229319957985834
2018-05-02,0.7988167346873657
2018-05-03,0.8083730020669351
2018-05-04,0.8119270158297652
2018-05-07,0.8199703530531202
2018-05-08,0.8311982997858406
2018-05-09,0.8203518672603893
2018-05-10,0.8241409662722913
2018-05-11,0.8323397361050814
2018-05-14,0.8226915973999038
2018-05-15,0.8148279534182992
2018-05-16,0.7970736653965218
2018-05-17,0.795285411355787
2018-05-18,0.8067695042418892
2018-05-21,0.8060560631033683
2018-05-22,0.8057963021428524
2018-05-23,0.7917618123747576
2018-05-24,0.7871072653386031
2018-05-25,0.7899052474524009
2018-05-28,0.7666980252799829
2018-05-29,0.7672189279146119
2018-05-30,0.776025301830053
2018-05-31,0.781329488034886
2018-06-01,0.776810955595049
2018-06-04,0.7664459362593607
2018-06-05,0.7707706533809897
2018-06-06,0.7898937880268192
2018-06-07,0.7936301528493895
2018-06-08,0.7714519018520435
2018-06-11,0.7864160766206003
2018-06-12,0.7797224853469794
2018-06-13,0.77039337381792
2018-06-14,0.7722228511337788
2018-06-15,0.7383783803577696
2018-06-19,0.6998792004807539
2018-06-20,0.684653955049912
2018-06-21,0.6671236512052069
2018-06-22,0.67422122375824
2018-06-25,0.6631322473693837
2018-06-26,0.6617342298903939
2018-06-27,0.661102557009408
2018-06-28,0.6479296849365762
2018-06-29,0.6587902148923201
2018-07-02,0.632911830271458
2018-07-03,0.6376539945797776
2018-07-04,0.6660057596554468
2018-07-05,0.6491480723483911
2018-07-06,0.6481972987930874
2018-07-09,0.6566268994174707
2018-07-10,0.6551750674514808
2018-07-11,0.6397835155470095
2018-07-12,0.6485146145525573
2018-07-13,0.6465476843931656
2018-07-16,0.6409759336241515
2018-07-17,0.6387679579825188
2018-07-18,0.6327569170444687
2018-07-19,0.6228962202963121
2018-07-20,0.632842751080087
2018-07-23,0.65552894207243
2018-07-24,0.6808211951235196
2018-07-25,0.6873414446295948
2018-07-26,0.6777776009681243
2018-07-27,0.6690318193749315
2018-07-30,0.6749442000204297
2018-07-31,0.6812077182157711
2018-08-01,0.6640343234746832
2018-08-02,0.6321191415026225
2018-08-03,0.6226020908025223
2018-08-06,0.6057468514325579
2018-08-07,0.6293824214983211
2018-08-08,0.6410176851031631
2018-08-09,0.651310598602065
2018-08-10,0.6460373823393392
2018-08-13,0.648524217533469
2018-08-14,0.6470997983500296
2018-08-15,0.6261141653911347
2018-08-16,0.6183682226464864
2018-08-17,0.6090687908809673
2018-08-20,0.6183496958476064
2018-08-21,0.6309399546917361
2018-08-22,0.6265863398846019
2018-08-23,0.6253402769946473
2018-08-24,0.6272095505063705
2018-08-27,0.6385097943556035
2018-08-28,0.6533595576322443
2018-08-29,0.6436939530166119
2018-08-30,0.6372720110904635
2018-08-31,0.6294710096418753
2018-09-03,0.6233219418708957
2018-09-04,0.6261424183033328
2018-09-05,0.613754352256514
2018-09-06,0.6217398533841529
2018-09-07,0.6292041398892433
