strategy,date,code,name,valuation_type,action,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
TYPED_growth_tech,2020-09-30,603160,汇顶科技,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.7985409222089644,192.41343270795136,153.65,0.0,0.125,0.125,0.000125
TYPED_growth_tech,2020-12-31,002916,深南电路,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.842116476402185,92.51689307025397,77.91,0.0,0.125,0.125,0.000125
TYPED_growth_tech,2021-01-29,603160,汇顶科技,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.7815987838471552,174.34776360482178,136.27,0.112545805458015,0.125,0.012454194541985,1.2454194541985e-05
TYPED_growth_tech,2021-02-26,603160,汇顶科技,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.7745894991306083,174.1825833572917,134.92,0.1235268386351456,0.125,0.0014731613648543973,1.4731613648543974e-06
TYPED_growth_tech,2021-03-31,002463,沪电股份,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.8314017919187834,15.92491155142154,13.24,0.0,0.125,0.125,0.000125
TYPED_growth_tech,2021-03-31,002916,深南电路,GROWTH_TECH_CONSENSUS,BUY_A_LEVEL,0.6711153440135345,94.57390680478912,63.47,0.10838582594989203,0.1875,0.07911417405010797,7.911417405010797e-05
TYPED_growth_tech,2021-03-31,603160,汇顶科技,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.6285710761668314,174.1569158217919,109.47,0.10668176377986685,0.25,0.14331823622013315,0.00014331823622013316
TYPED_growth_tech,2021-04-30,002463,沪电股份,GROWTH_TECH_CONSENSUS,BUY_A_LEVEL,0.7191575846640356,15.5459668901676,11.18,0.10926644080204526,0.1875,0.07823355919795474,7.823355919795474e-05
TYPED_growth_tech,2021-04-30,002916,深南电路,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.6227793614796389,91.89450315763406,57.23,0.1750166976538812,0.25,0.0749833023461188,7.49833023461188e-05
TYPED_growth_tech,2021-05-31,600183,生益科技,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.8455691527841103,23.191479887165187,19.61,0.0,0.125,0.125,0.000125
TYPED_growth_tech,2021-07-30,002463,沪电股份,GROWTH_TECH_CONSENSUS,BUY_A_LEVEL,0.7216185626799347,15.81167751232138,11.41,0.16134630748362774,0.1875,0.026153692516372257,2.615369251637226e-05
TYPED_growth_tech,2021-08-31,002463,沪电股份,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.611220711488804,15.36269930566972,9.39,0.18517263542835524,0.25,0.06482736457164476,6.482736457164476e-05
TYPED_growth_tech,2021-09-30,600183,生益科技,GROWTH_TECH_CONSENSUS,BUY_A_LEVEL,0.7028064129495153,26.123836751783955,18.36,0.12471418386731664,0.1875,0.06278581613268336,6.278581613268336e-05
TYPED_growth_tech,2021-09-30,002463,沪电股份,GROWTH_TECH_CONSENSUS,BUY_FULL_MARGIN,0.5835625063570652,16.125093537524652,9.41,0.2470174083921008,0.25,0.00298259160789921,2.98259160789921e-06
