date,TRUE_BUYHOLD_growth_tech
2018-01-04,0.999
2018-01-05,0.977133611248003
2018-01-08,0.9887116045019352
2018-01-09,0.9612542489656957
2018-01-10,0.9631815401206214
2018-01-11,0.9710627167188846
2018-01-12,0.9434921407545022
2018-01-15,0.8685080962281346
2018-01-16,0.8501067980408998
2018-01-17,0.8638089649676451
2018-01-18,0.8593445347117046
2018-01-19,0.8603506069585212
2018-01-22,0.8478604399236206
2018-01-23,0.8800071619824088
2018-01-24,0.887818047042208
2018-01-25,0.875073237604981
2018-01-26,0.8603807943617159
2018-01-29,0.8279997172425767
2018-01-30,0.8106849143219516
2018-01-31,0.750760544898187
2018-02-01,0.7167005435131422
2018-02-02,0.7256419045092342
2018-02-05,0.7167386929937044
2018-02-06,0.6499995764187194
2018-02-07,0.6770704444440349
2018-02-08,0.7064017012937654
2018-02-09,0.6914639053760862
2018-02-12,0.7305213975143084
2018-02-13,0.7280160868333146
2018-02-14,0.7119503841998869
2018-02-22,0.7401431980549229
2018-02-23,0.7492323110695878
2018-02-26,0.8090109157043196
2018-02-27,0.8130039388612029
2018-02-28,0.8135550630012529
2018-03-01,0.8395989803087524
2018-03-02,0.8137198019091142
2018-03-05,0.8509334200014786
2018-03-06,0.8581616471717152
2018-03-07,0.8336714199145334
2018-03-08,0.8391223505832182
2018-03-09,0.8747677100376074
2018-03-12,0.8969194074435182
2018-03-13,0.8718500232795782
2018-03-14,0.846786709433331
2018-03-15,0.844738114135705
2018-03-16,0.8158069131723246
2018-03-19,0.822788855898692
2018-03-20,0.8391413740763397
2018-03-21,0.8212759981340204
2018-03-22,0.7910274757317102
2018-03-23,0.7082587731158236
2018-03-26,0.742171285247847
2018-03-27,0.7747532213218503
2018-03-28,0.7705627211677731
2018-03-29,0.7853003559281331
2018-03-30,0.8341623986260408
2018-04-02,0.863990706962856
2018-04-03,0.8456532253601419
2018-04-04,0.8098809205967259
2018-04-09,0.7977652523130416
2018-04-10,0.7943110337580551
