strategy,date,code,name,valuation_type,action,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
TYPED_combined,2019-01-31,000807,云铝股份,RESOURCE_ASSET,BUY_STAGED,0.7966978238618536,2.409947589279377,1.92,0.0,0.041666666666666664,0.041666666666666664,4.1666666666666665e-05
TYPED_combined,2019-01-31,600988,赤峰黄金,RESOURCE_ASSET,BUY_STAGED,0.8340154971031538,4.448358589122397,3.71,0.0,0.041666666666666664,0.041666666666666664,4.1666666666666665e-05
TYPED_combined,2019-01-31,600025,华能水电,STABLE_CASHFLOW,BUY_STAGED,0.7699153904186326,2.1171157510096092,1.63,0.0,0.041666666666666664,0.041666666666666664,4.1666666666666665e-05
TYPED_combined,2019-04-30,600025,华能水电,STABLE_CASHFLOW,BUY_A_LEVEL,0.6630150427970724,3.8008187406560716,2.52,0.060535199004895894,0.0625,0.001964800995104106,1.964800995104106e-06
TYPED_combined,2019-05-31,600025,华能水电,STABLE_CASHFLOW,BUY_A_LEVEL,0.6512239192539233,3.7928582273663465,2.47,0.06126490314650239,0.0625,0.0012350968534976109,1.2350968534976108e-06
TYPED_combined,2019-06-28,600988,赤峰黄金,RESOURCE_ASSET,REDUCE_25,1.2981319475605781,4.629729675241307,6.01,0.06289137972110317,0.0625,-0.00039137972110317443,3.9137972110317443e-07
TYPED_combined,2019-09-30,600025,华能水电,STABLE_CASHFLOW,BUY_FULL_MARGIN,0.6324881864361388,4.458581299185625,2.82,0.07135851219798214,0.08333333333333333,0.011974821135351185,1.1974821135351186e-05
TYPED_combined,2019-11-29,600025,华能水电,STABLE_CASHFLOW,BUY_FULL_MARGIN,0.6269499126335839,4.4022655468700265,2.76,0.08203139816297607,0.08333333333333333,0.0013019351703572601,1.3019351703572602e-06
TYPED_combined,2019-12-31,600025,华能水电,STABLE_CASHFLOW,BUY_FULL_MARGIN,0.6408223482010238,4.369385693024628,2.8,0.0828642564558714,0.08333333333333333,0.00046907687746193527,4.6907687746193526e-07
TYPED_combined,2020-01-23,600025,华能水电,STABLE_CASHFLOW,BUY_FULL_MARGIN,0.6097126519021433,4.1658968238167065,2.54,0.07627515652201879,0.08333333333333333,0.007058176811314543,7.058176811314543e-06
TYPED_combined,2020-02-28,600988,赤峰黄金,RESOURCE_ASSET,CORE_ONLY,1.8897851104066339,4.651322497777863,8.79,0.09079000886973008,0.020833333333333332,-0.06995667553639676,6.995667553639675e-05
TYPED_combined,2020-02-28,600886,国投电力,STABLE_CASHFLOW,BUY_STAGED,0.8050871592400526,7.763134622466931,6.25,0.0,0.041666666666666664,0.041666666666666664,4.1666666666666665e-05
TYPED_combined,2020-02-28,600025,华能水电,STABLE_CASHFLOW,BUY_FULL_MARGIN,0.5788511895488544,3.9215605685620076,2.27,0.07341726288804146,0.08333333333333333,0.009916070445291872,9.916070445291872e-06
TYPED_combined,2020-03-31,600025,华能水电,STABLE_CASHFLOW,BUY_FULL_MARGIN,0.5848284784108438,3.795984774941899,2.22,0.08218864143347479,0.08333333333333333,0.0011446918998585381,1.1446918998585382e-06
