group,typed_cagr,universal_cagr,true_buyhold_cagr,typed_minus_universal_cagr_pp,typed_minus_buyhold_cagr_pp,typed_max_drawdown,universal_max_drawdown,true_buyhold_max_drawdown,typed_sharpe,universal_sharpe,true_buyhold_sharpe,typed_avg_cash,universal_avg_cash
resource_asset,0.18047091987418717,0.18313311134640675,0.1723143710169257,-0.002662191472219577,0.00815654885726147,-0.23077921205243868,-0.31620205806334944,-0.4651553707282454,1.064628234660941,0.8770904160067616,0.6307446755813592,0.5825688359376503,0.48059129489243996
stable_cashflow,0.09605299979281501,0.09605299979281501,0.10598806821157458,0.0,-0.009935068418759574,-0.11854699410082103,-0.11854699410082103,-0.2608735617089062,1.0183900190381434,1.0183900190381434,0.6570799244264388,0.6263737092077095,0.6263737092077095
growth_tech,0.09011656337345242,0.09155039403972776,0.39369959252174813,-0.0014338306662753375,-0.3035830291482957,-0.4757375963701067,-0.4753028048109269,-0.7051685647662729,0.4875943626641956,0.5022017975518405,0.9269297913600657,0.5456811030289066,0.5236936080032302
combined,0.13063322587407944,0.1286349070145365,0.27157951655695123,0.0019983188595429358,-0.1409462906828718,-0.23123428233601784,-0.27817131252132254,-0.38717348814108954,1.0560516795831694,0.9638230476190639,0.9492285689667647,0.5759068896270693,0.5379326330507362
