strategy,date,code,name,valuation_type,action,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
UNIVERSAL_combined,2019-01-31,600362,江西铜业,RESOURCE_ASSET,BUY_STAGED,0.8202144279144694,11.679872572296407,9.58,0.0,0.041666666666666664,0.041666666666666664,4.1666666666666665e-05
UNIVERSAL_combined,2019-01-31,000807,云铝股份,RESOURCE_ASSET,BUY_STAGED,0.8256998234607197,2.3253002428325438,1.92,0.0,0.041666666666666664,0.041666666666666664,4.1666666666666665e-05
UNIVERSAL_combined,2019-01-31,600025,华能水电,STABLE_CASHFLOW,BUY_STAGED,0.7699153904186326,2.1171157510096092,1.63,0.0,0.041666666666666664,0.041666666666666664,4.1666666666666665e-05
UNIVERSAL_combined,2019-04-30,600025,华能水电,STABLE_CASHFLOW,BUY_A_LEVEL,0.6630150427970724,3.8008187406560716,2.52,0.06026946219131804,0.0625,0.0022305378086819594,2.2305378086819594e-06
UNIVERSAL_combined,2019-05-31,600025,华能水电,STABLE_CASHFLOW,BUY_A_LEVEL,0.6512239192539233,3.7928582273663465,2.47,0.0620068392435586,0.0625,0.000493160756441402,4.93160756441402e-07
UNIVERSAL_combined,2019-09-30,600025,华能水电,STABLE_CASHFLOW,BUY_FULL_MARGIN,0.6324881864361388,4.458581299185625,2.82,0.0712525946941219,0.08333333333333333,0.012080738639211427,1.2080738639211428e-05
UNIVERSAL_combined,2019-11-29,600025,华能水电,STABLE_CASHFLOW,BUY_FULL_MARGIN,0.6269499126335839,4.4022655468700265,2.76,0.08188378659211769,0.08333333333333333,0.0014495467412156404,1.4495467412156405e-06
UNIVERSAL_combined,2019-12-31,600025,华能水电,STABLE_CASHFLOW,BUY_FULL_MARGIN,0.6408223482010238,4.369385693024628,2.8,0.08230636700140408,0.08333333333333333,0.0010269663319292521,1.0269663319292521e-06
UNIVERSAL_combined,2020-01-23,600025,华能水电,STABLE_CASHFLOW,BUY_FULL_MARGIN,0.6097126519021433,4.1658968238167065,2.54,0.07740646002199209,0.08333333333333333,0.005926873311341244,5.9268733113412435e-06
UNIVERSAL_combined,2020-02-28,600886,国投电力,STABLE_CASHFLOW,BUY_STAGED,0.8050871592400526,7.763134622466931,6.25,0.0,0.041666666666666664,0.041666666666666664,4.1666666666666665e-05
UNIVERSAL_combined,2020-02-28,600025,华能水电,STABLE_CASHFLOW,BUY_FULL_MARGIN,0.5788511895488544,3.9215605685620076,2.27,0.07635685635293106,0.08333333333333333,0.006976476980402269,6.976476980402269e-06
UNIVERSAL_combined,2020-03-31,600362,江西铜业,RESOURCE_ASSET,BUY_STAGED,0.8276654283830126,11.043109554372194,9.14,0.03904184006978655,0.041666666666666664,0.0026248265968801116,2.6248265968801115e-06
UNIVERSAL_combined,2020-03-31,600025,华能水电,STABLE_CASHFLOW,BUY_FULL_MARGIN,0.5848284784108438,3.795984774941899,2.22,0.08248492333208972,0.08333333333333333,0.0008484100012436102,8.484100012436102e-07
UNIVERSAL_combined,2020-03-31,000333,美的集团,STABLE_CASHFLOW,BUY_STAGED,0.8373319997517094,44.06854152348388,36.9,0.0,0.041666666666666664,0.041666666666666664,4.1666666666666665e-05
UNIVERSAL_combined,2020-04-30,000807,云铝股份,RESOURCE_ASSET,BUY_A_LEVEL,0.7237200416336448,3.3438344398164825,2.42,0.05137373820465553,0.0625,0.01112626179534447,1.112626179534447e-05
