date,TRUE_BUYHOLD_combined
2018-01-04,0.999
2018-01-05,0.9864871308033699
2018-01-08,0.9961174369426484
2018-01-09,0.9828072340960807
2018-01-10,0.9794160652027811
2018-01-11,0.9813804277201623
2018-01-12,0.9690340462692245
2018-01-15,0.9358165979465608
2018-01-16,0.9341014177889903
2018-01-17,0.9343258864359993
2018-02-01,0.8465044080740292
2018-02-02,0.8681780832409087
2018-02-05,0.8578276976743364
2018-02-06,0.8211620378960162
2018-02-07,0.8239211198226739
2018-02-08,0.8160870737690912
2018-02-09,0.7729599812414639
2018-02-12,0.7936324746110464
2018-02-13,0.7985972853569493
2018-02-14,0.7999025719513425
2018-02-22,0.8186415045358333
2018-02-23,0.8276288071465057
2018-02-26,0.85659000963401
2018-02-27,0.8483364885844616
2018-02-28,0.8465420691697705
2018-03-01,0.853628938748337
2018-03-02,0.8516809815655692
2018-03-05,0.8582272444361425
2018-03-06,0.8733250136820223
2018-03-07,0.8632165475806783
2018-03-08,0.8751675148922761
2018-03-09,0.887148502340827
2018-03-12,0.8989531920560707
2018-03-13,0.8865565914317552
2018-03-14,0.87761554184169
2018-03-15,0.8719788814082173
2018-03-16,0.8545676843809863
2018-03-19,0.8550474751432899
2018-03-20,0.8624005324490054
2018-03-21,0.8597557828413532
2018-03-22,0.8426841879144512
2018-03-23,0.8093386623905306
2018-03-26,0.8159331865789695
2018-03-27,0.8399383424402591
2018-03-28,0.8267354282098729
2018-03-29,0.8335976722562217
2018-03-30,0.8483583496078596
2018-04-02,0.8674318759064799
2018-04-03,0.8553508148862506
2018-04-04,0.846425729692516
2018-04-09,0.8402326962555428
2018-04-10,0.8454942748496012
2018-04-11,0.8569227818140832
2018-04-12,0.8522004767563444
2018-04-13,0.8459233021684607
2018-04-16,0.8337642836462495
2018-04-17,0.8351051517211395
2018-04-18,0.8441230239235121
2018-04-19,0.8457527708676182
2018-04-20,0.834386279367569
2018-04-23,0.8125963032379507
2018-04-24,0.8250309770691957
2018-04-25,0.8180838497230456
2018-04-26,0.7996950082612387
2018-04-27,0.7872727003037249
2018-05-02,0.7704445753187223
2018-05-03,0.7771310186332699
2018-05-04,0.7727326783290515
2018-05-07,0.7856051320800611
2018-05-08,0.796503848819885
2018-05-09,0.7914445670942666
2018-05-10,0.7906443328832569
2018-05-11,0.7873615849195719
2018-05-14,0.7923886597160071
2018-05-15,0.8069389270583898
2018-05-16,0.7940348712071186
2018-05-17,0.7904055114598818
2018-05-18,0.7955555984591547
2018-05-21,0.8067092489569174
2018-05-22,0.8080565547790036
2018-05-23,0.8011306698400186
2018-05-24,0.7890059841756593
2018-05-25,0.7830862645818297
2018-05-28,0.7765128363409781
2018-05-29,0.7733871623395158
2018-05-30,0.7535696433766174
2018-05-31,0.7681514995082656
2018-06-01,0.7568795143369355
2018-06-04,0.7624111937769852
2018-06-05,0.7726353082668568
2018-06-06,0.7865900106368116
2018-06-07,0.7793468691367267
2018-06-08,0.7711287546110255
2018-06-11,0.7769632273220177
2018-06-12,0.7814745888681841
2018-06-13,0.7750408641424948
2018-06-14,0.7763002012246975
2018-06-15,0.7563679693949341
2018-06-19,0.7047501296573261
2018-06-20,0.7080013277502348
2018-06-21,0.691564970637547
2018-06-22,0.6948279007004126
2018-06-25,0.6890497335671565
2018-06-26,0.6874958584142579
2018-06-27,0.6809530803832816
2018-06-28,0.6719391770149624
2018-06-29,0.6948892815593496
2018-07-02,0.6755361053455806
2018-07-03,0.6892214495436363
2018-07-04,0.6907834561442047
2018-07-05,0.6795536079488158
2018-07-06,0.6850818621687851
2018-07-09,0.6993066911604702
2018-07-10,0.7070929594682513
2018-07-11,0.6875466462059786
2018-07-12,0.707450481204209
2018-07-13,0.7059517070297577
2018-07-16,0.7128958703661218
2018-07-17,0.7130718486087239
2018-07-18,0.7218757923401088
2018-07-19,0.72039436499063
2018-07-20,0.7292780953369037
2018-07-23,0.7427243922047811
2018-07-24,0.7535170280175808
2018-07-25,0.7615629692550862
2018-07-26,0.7555570888392525
2018-07-27,0.7532409486756616
2018-07-30,0.7508689362304592
2018-07-31,0.7505120376468424
2018-08-01,0.7428804268115364
2018-08-02,0.7201404019550176
2018-08-03,0.7039761181634258
2018-08-06,0.6936054153970289
2018-08-07,0.7175463215598626
2018-08-08,0.7163350091096754
2018-08-09,0.7419312672686464
2018-08-10,0.7426115413988322
2018-08-13,0.7497042367303182
2018-08-14,0.7417174342044174
2018-08-15,0.7267083217069115
2018-08-16,0.7257270466991792
