date,close,pe_ttm,pb,pe_anchor,pb_anchor,pe_rel,pb_rel,ratio_universal,ratio_typed,neutral_universal,neutral_typed,ret,code,valuation_type
2018-01-02,3.72,72.11560124,2.43837599,,,,,,,,,0.0,600025,STABLE_CASHFLOW
2018-01-03,3.65,71.17026564,2.40641226,,,,,,,,,-0.018817204301075363,600025,STABLE_CASHFLOW
2018-01-04,3.73,72.25064918,2.44294224,,,,,,,,,0.021917808219177992,600025,STABLE_CASHFLOW
2018-01-05,3.6,70.49502593,2.38358103,,,,,,,,,-0.034852546916890104,600025,STABLE_CASHFLOW
2018-01-08,3.56,69.95483416,2.36531604,,,,,,,,,-0.011111111111111072,600025,STABLE_CASHFLOW
2018-01-09,3.5,69.1445465,2.33791855,,,,,,,,,-0.016853932584269704,600025,STABLE_CASHFLOW
2018-01-10,3.34,66.98377942,2.2648586,,,,,,,,,-0.04571428571428571,600025,STABLE_CASHFLOW
2018-01-11,3.35,67.11882737,2.26942485,,,,,,,,,0.0029940119760478723,600025,STABLE_CASHFLOW
2018-01-12,3.2,65.09310823,2.20093114,,,,,,,,,-0.04477611940298509,600025,STABLE_CASHFLOW
2018-01-15,2.95,61.71690967,2.08677496,,,,,,,,,-0.078125,600025,STABLE_CASHFLOW
2018-01-16,3.41,67.92911502,2.29682233,,,,,,,,,0.1559322033898305,600025,STABLE_CASHFLOW
2018-01-17,3.54,69.68473827,2.35618354,,,,,,,,,0.038123167155425186,600025,STABLE_CASHFLOW
2018-01-18,3.43,68.19921091,2.30595482,,,,,,,,,-0.031073446327683607,600025,STABLE_CASHFLOW
2018-01-19,3.38,67.52397119,2.28312359,,,,,,,,,-0.014577259475218707,600025,STABLE_CASHFLOW
2018-01-22,3.27,66.03844383,2.23289487,,,,,,,,,-0.032544378698224796,600025,STABLE_CASHFLOW
2018-01-23,3.3,66.44358766,2.24659361,,,,,,,,,0.00917431192660545,600025,STABLE_CASHFLOW
