date,TRUE_BUYHOLD_stable_cashflow
2018-01-02,0.999
2018-01-03,1.0016916680315644
2018-01-04,1.0099694720399972
2018-01-05,1.007223250675165
2018-01-08,1.0040991239814265
2018-01-09,1.0028503517003282
2018-01-10,0.9996609115977849
2018-01-11,0.9973058535720305
2018-01-12,0.9896947711861848
2018-01-15,0.9719676256565005
2018-01-16,0.9977341509838333
2018-01-17,0.9969584852785012
2018-01-18,0.99147969213376
2018-01-19,0.9847145807326795
2018-01-22,0.9936529000344615
2018-01-23,0.9978865338839833
2018-01-24,0.9917893818985793
2018-01-25,0.9919689481141758
2018-01-26,0.9930320959371381
2018-01-29,0.9816938417841934
2018-01-30,0.9784019578288147
2018-01-31,0.9679484129258447
2018-02-01,0.9567864679684096
2018-02-02,0.9668649667768735
2018-02-05,0.9500577998851889
2018-02-06,0.9156368789612093
2018-02-07,0.905431466469741
2018-02-08,0.9067307710587533
2018-02-09,0.8665095911181641
2018-02-12,0.8778177177461393
2018-02-13,0.8828239570572568
2018-02-14,0.8923417260100113
2018-02-22,0.9076395988305681
2018-02-23,0.9198697829434911
2018-02-26,0.9304525491330297
2018-02-27,0.9142039603165889
2018-02-28,0.9131114829218199
2018-03-01,0.9152836455727963
2018-03-02,0.9246270806619201
2018-03-05,0.9249348732547582
2018-03-06,0.9310004484791651
2018-03-07,0.9325873849881027
2018-03-08,0.9549398784705807
2018-03-09,0.9595534945283274
2018-03-12,0.9594270774060776
2018-03-13,0.9571084669311684
2018-03-14,0.9513712216360127
2018-03-15,0.9512311863048143
2018-03-16,0.9378641877702353
2018-03-19,0.9368258541983262
2018-03-20,0.9378116835690058
2018-03-21,0.930345989450407
2018-03-22,0.9180364140590556
2018-03-23,0.8917835459548005
2018-03-26,0.8824304005897348
2018-03-27,0.889156381464025
2018-03-28,0.872077886599361
2018-03-29,0.8858408981406798
2018-03-30,0.8815360014991752
2018-04-02,0.8674782918702234
2018-04-03,0.8563663520783955
2018-04-04,0.8560877712353336
2018-04-09,0.8514812804685482
2018-04-10,0.871296856413072
2018-04-11,0.8727294413150744
2018-04-12,0.8701346809468029
2018-04-13,0.865510600185125
2018-04-16,0.8447209289227305
2018-04-17,0.8432554910956287
2018-04-18,0.8346967352843305
2018-04-19,0.8427896474639203
2018-04-20,0.8339477321325673
2018-04-23,0.8356624013998583
2018-04-24,0.8480115838678752
2018-04-25,0.8390546299257665
2018-04-26,0.8261767661832294
2018-04-27,0.8344528533313089
2018-05-02,0.8302498646896971
2018-05-03,0.8373063362363733
2018-05-04,0.8375271777641872
2018-05-07,0.8472173889326965
2018-05-08,0.8568464622497336
2018-05-09,0.8567584836082888
2018-05-10,0.8574046862545956
2018-05-11,0.8566136924749999
2018-05-14,0.8657128322376529
2018-05-15,0.8990029888761714
2018-05-16,0.8845942411644455
2018-05-17,0.8760471634692325
2018-05-18,0.8845866655999559
2018-05-21,0.8885718441637549
2018-05-22,0.8863937899617348
2018-05-23,0.8912397786231375
2018-05-24,0.8756344386662027
2018-05-25,0.8803704473822818
2018-05-28,0.877734722851292
2018-05-29,0.8782777624557896
2018-05-30,0.8582150108282091
2018-05-31,0.8813462083534654
2018-06-01,0.8687134687698386
2018-06-04,0.8888213764996548
2018-06-05,0.8924087961579615
2018-06-06,0.905760490999213
2018-06-07,0.8916672621137527
2018-06-08,0.8879013631193374
2018-06-11,0.896873590669919
2018-06-12,0.9051384920296826
2018-06-13,0.9082217006681158
2018-06-14,0.9092149086471213
2018-06-15,0.9077680204852232
2018-06-19,0.874764293899385
2018-06-20,0.8780697211625645
2018-06-21,0.8724592239702241
2018-06-22,0.865515625741299
2018-06-25,0.861242223467908
2018-06-26,0.851789424107365
2018-06-27,0.8399131066224707
2018-06-28,0.8312433801895077
2018-06-29,0.8480633998139409
2018-07-02,0.8251812736727895
2018-07-03,0.823384200641493
2018-07-04,0.8142158496110039
2018-07-05,0.810751447247603
2018-07-06,0.8091345520526352
2018-07-09,0.8248437230333128
2018-07-10,0.8219033381125029
2018-07-11,0.8050226757264194
2018-07-12,0.819031624977892
2018-07-13,0.8168760746613083
2018-07-16,0.8196637646658269
2018-07-17,0.8123091937332411
2018-07-18,0.8354987725239962
2018-07-19,0.8406335493618552
2018-07-20,0.8512304233260589
2018-07-23,0.8537687280349208
2018-07-24,0.8613809777255074
2018-07-25,0.8490076258985544
2018-07-26,0.8615110379184906
2018-07-27,0.8515994036862898
2018-07-30,0.8588770537621482
2018-07-31,0.8593918662724075
2018-08-01,0.8487505402213393
2018-08-02,0.8277805427912537
2018-08-03,0.822344124674246
2018-08-06,0.8113409255637191
2018-08-07,0.8292912231666472
2018-08-08,0.8193645598604827
2018-08-09,0.8347677392171563
2018-08-10,0.824387932447684
2018-08-13,0.8201716681225972
2018-08-14,0.8124410086078324
2018-08-15,0.7952201495064067
2018-08-16,0.793355138789137
2018-08-17,0.7903345740238823
2018-08-20,0.8058552807731456
2018-08-21,0.8121109788872414
2018-08-22,0.8010286996477854
2018-08-23,0.796877976196999
2018-08-24,0.7989066143015112
2018-08-27,0.8088555452447608
2018-08-28,0.8132799454051558
2018-08-29,0.8040185830994723
2018-08-30,0.7987946447173474
2018-08-31,0.7895749766214357
2018-09-03,0.7884061626678696
2018-09-04,0.79914547300793
2018-09-05,0.7820639193704624
2018-09-06,0.7838354800839175
2018-09-07,0.7771961506700603
2018-10-29,0.7464951386516596
2018-10-30,0.7586768314823624
2018-10-31,0.7678893326575501
2018-11-01,0.7787962416740992
2018-11-02,0.7968155365196865
2018-11-05,0.8018363351701175
2018-11-06,0.7922263541864514
2018-11-07,0.7886876805986629
2018-11-08,0.7924045040129276
2018-11-09,0.7757833268777843
2018-11-12,0.7825725211917448
2018-11-13,0.7905924707880122
2018-11-14,0.7848819049356256
2018-11-15,0.7937297955020256
2018-11-16,0.7949739545436263
2018-11-19,0.8011942789705235
2018-11-20,0.7797066520298319
2018-11-21,0.7753332477113848
2018-11-22,0.7727793740224447
2018-11-23,0.7543639368031791
2018-11-26,0.7626575718919107
2018-11-27,0.7612689915652968
2018-11-28,0.7640051315147918
2018-11-29,0.747648407616979
2018-11-30,0.7547040285325187
2018-12-03,0.7784305165461374
2018-12-04,0.7814186498660862
2018-12-05,0.7775663397127615
2018-12-06,0.7617910573701161
2018-12-07,0.7659875169880828
2018-12-10,0.7629085116542617
2018-12-11,0.7602030169126769
2018-12-12,0.7716871345916244
2018-12-13,0.7892828573181669
2018-12-14,0.7851420027284737
2018-12-17,0.7880563211183664
2018-12-18,0.7961216010001009
2018-12-19,0.8000381193226093
2018-12-20,0.7971811371283039
2018-12-21,0.8000675986967114
2018-12-24,0.7898306960701155
2018-12-25,0.7949087666932523
2018-12-26,0.796368368039392
2018-12-27,0.8010250040169891
2018-12-28,0.8134983523648929
2019-01-02,0.7934609081827767
2019-01-03,0.7938880818150121
2019-01-04,0.7983992887622412
2019-01-07,0.8065448404585818
2019-01-08,0.8208232390509994
2019-01-09,0.826353285588039
2019-01-10,0.8210437866781409
2019-01-11,0.8170150958667222
2019-01-14,0.8154730158554289
2019-01-15,0.8281569958155134
2019-01-16,0.8287179305436
2019-01-17,0.8304549408781908
2019-01-18,0.849944023895735
2019-01-21,0.8546750230678809
2019-01-22,0.84438771491807
2019-01-23,0.8521015979891854
2019-01-24,0.8512720737586236
2019-01-25,0.8509837854016724
2019-01-28,0.8505571156421142
2019-01-29,0.8633626085909953
2019-01-30,0.8553095393119448
2019-01-31,0.8592479486080379
2019-02-01,0.8727033158878811
2019-02-11,0.8857802671509153
2019-02-12,0.8992730624041562
2019-02-13,0.9017964101781494
2019-02-14,0.8999111352728978
2019-02-15,0.8851315627069333
2019-02-18,0.8948209390222
2019-02-19,0.8865184285107689
2019-02-21,0.8845416409325133
2019-02-22,0.8875971434183989
2019-02-25,0.9201377227887926
2019-02-26,0.9056682111270425
2019-02-27,0.9014645041630986
2019-02-28,0.8947858039209278
2019-03-01,0.9047234468519114
2019-03-04,0.9097525195580981
2019-03-05,0.9182798096152043
2019-03-06,0.9436101847646414
2019-03-07,0.9314905103215882
2019-03-08,0.8995284293978273
2019-03-11,0.9064148059944448
2019-03-12,0.9134130356443155
2019-03-13,0.8990118690211847
2019-03-14,0.8956632549668457
2019-03-15,0.9041489414932219
2019-03-18,0.9322451634317518
2019-03-19,0.9430289100807829
2019-03-20,0.942315594347957
2019-03-21,0.9436588572251315
2019-03-22,0.9594814400309621
2019-03-25,0.9389901991350428
2019-03-26,0.9370918269625331
2019-03-27,0.9387537137260026
2019-03-28,0.9393729951570837
2019-03-29,0.9560030560010843
2019-04-01,0.9891922676763646
2019-04-02,0.9828191258536826
2019-04-03,1.0094124915689904
2019-04-04,1.021250560534205
2019-04-08,1.0078770229020058
2019-04-09,1.0068676921543236
2019-04-10,1.0036742562017846
2019-04-11,0.9899787030345112
2019-04-12,0.9988693185736339
2019-04-15,0.9849781467733654
2019-04-16,0.9975874769501509
2019-04-17,0.9958817968744172
2019-04-18,0.9837635518363257
2019-04-19,0.9920700581977524
2019-04-22,0.9718634653501032
2019-04-23,0.9677547731104569
2019-04-24,0.9764425568808546
2019-04-25,0.9605095331779053
2019-04-26,0.9522611229641609
2019-04-29,0.9636716531785482
2019-04-30,0.9647402723638802
2019-05-06,0.9298766794957491
2019-05-07,0.9344630674217561
2019-05-22,0.922369469763409
2019-05-23,0.9132831827335045
2019-05-24,0.9144485034186328
2019-05-27,0.9180885783715842
2019-05-28,0.9267961026262206
2019-05-29,0.9292137407444363
2019-05-30,0.9568062277884904
2019-05-31,0.9614068718205251
2019-06-03,0.9668172682229089
2019-06-04,0.9544107047430114
2019-06-05,0.9561481325042236
2019-06-06,0.9505948679924011
2019-06-10,0.9721768389134039
2019-06-11,0.989529848102972
2019-06-12,0.9853141680758154
2019-06-13,0.9772277618300541
2019-06-14,0.9715146771109792
2019-06-17,0.967800951337228
2019-06-18,0.969427656270035
2019-06-19,0.9790397747272058
2019-06-20,0.9938891909339801
2019-06-21,0.9805379005035089
2019-06-24,0.9794209370761994
2019-06-25,0.9707865931132904
2019-06-26,0.9759489877622303
2019-06-27,0.9792098261520911
2019-06-28,0.9737863958386888
2019-07-01,0.9917231283351194
2019-07-02,1.0055818729230679
2019-07-03,1.0167280293511418
2019-07-04,1.0218307196067433
2019-07-05,1.0332472175644416
2019-07-08,1.0119461651749193
2019-07-09,1.0069861095424582
2019-07-10,1.0178491262815434
2019-07-11,1.0285348858795298
2019-07-12,1.0306846080013092
2019-07-15,1.037177610175316
2019-07-16,1.034830323199282
2019-07-17,1.0282899021357685
2019-07-18,1.031158854631234
2019-07-19,1.0455666870644642
2019-07-22,1.056434593630042
2019-07-23,1.0752878891592343
2019-07-24,1.0651234096343234
2019-07-25,1.0693176480947821
2019-07-26,1.085784179542504
2019-07-29,1.0965869654224556
2019-07-30,1.1061134627576665
2019-07-31,1.1006682210292906
2019-08-01,1.1003182724082436
2019-08-02,1.101180677311185
2019-08-05,1.0705394876157461
2019-08-06,1.0665164941612604
2019-08-07,1.0697447975907457
2019-08-08,1.0863960356358688
2019-08-09,1.0814595951492678
2019-08-12,1.0786486297623097
2019-08-13,1.0713995294750973
2019-08-14,1.0773208895779876
2019-08-15,1.085199460884151
2019-08-16,1.0907763405418338
2019-08-19,1.1304501226713901
2019-08-20,1.1178443935110975
2019-08-21,1.113243663033007
2019-08-22,1.1174977727581128
2019-08-23,1.1192453083908223
2019-08-26,1.127210906954277
2019-08-27,1.1531538024957844
2019-08-28,1.1484913526303437
2019-08-29,1.129985551502869
2019-08-30,1.1195768658595961
2019-09-02,1.1276018000145696
2019-09-03,1.139176209462631
2019-09-04,1.1181145612819678
2019-09-05,1.1101620585148375
2019-09-06,1.1149744454194768
2019-09-09,1.1118053900889981
2019-09-10,1.1123444468593413
2019-09-11,1.1067552155795344
2019-09-12,1.108913342594941
2019-09-16,1.1101583207118901
2019-09-17,1.0881817559353202
2019-09-18,1.0944525251776205
2019-09-19,1.0880817122605013
2019-09-20,1.1116271903466013
2019-09-23,1.0979600496848214
2019-09-24,1.1045022717171695
2019-09-25,1.0833825369661014
2019-09-26,1.0800510173201354
2019-09-27,1.0600094840267429
2019-09-30,1.0598102180900286
2019-10-08,1.085605920162469
2019-10-09,1.0820934147252563
2019-10-10,1.08316191824632
2019-10-11,1.0898649649725247
2019-10-14,1.0854461138376996
2019-10-15,1.0723799938681222
2019-10-16,1.0717657806797505
2019-10-17,1.0653789342020636
2019-10-18,1.0489977848658973
2019-10-21,1.0533276380690149
2019-10-22,1.0637275532755908
2019-10-23,1.0560051202382361
2019-10-24,1.0536871056061652
2019-10-25,1.0601046088366703
2019-10-28,1.0593770961210707
2019-10-29,1.0570920842163947
2019-10-30,1.0657592311884823
2019-10-31,1.0652087428041939
2019-11-01,1.0945390677241587
2019-11-04,1.1006299583102437
2019-11-05,1.1027956335673377
2019-11-06,1.1037367733116816
2019-11-07,1.0929555038995764
2019-11-08,1.0981281126971354
2019-11-11,1.0773134935837636
2019-11-12,1.0760962617781917
2019-11-13,1.0743487867396695
2019-11-14,1.066040701350799
2019-11-15,1.0585025024141426
2019-11-18,1.0589457068448929
2019-11-19,1.0645013867083346
2019-11-20,1.0518315390836648
2019-11-21,1.0547361416012904
2019-11-22,1.0518251496085267
2019-11-25,1.0681842587731039
2019-11-26,1.071206549606045
2019-11-27,1.0644371053536006
2019-11-28,1.0542606194940918
2019-11-29,1.0463013760157147
2019-12-02,1.0609581702971773
2019-12-03,1.064656160219541
2019-12-04,1.0674907319695042
2019-12-05,1.0755259393963505
2019-12-06,1.076015909041635
2019-12-09,1.0796836425687883
2019-12-10,1.0798995208398954
2019-12-11,1.0782257054050284
2019-12-12,1.0811103577184438
2019-12-13,1.0959444915338898
2019-12-16,1.1069649880297563
2019-12-17,1.1068491248195467
2019-12-18,1.091476757542092
2019-12-19,1.0937075534848129
2019-12-20,1.0838312901777578
2019-12-23,1.0771071273413153
2019-12-24,1.071743585361574
2019-12-25,1.069653394741021
2019-12-26,1.08079852911678
2019-12-27,1.082601149702714
2019-12-30,1.100488356345465
2019-12-31,1.1003402531220081
2020-01-02,1.1102353800058185
2020-01-03,1.1011821650803515
2020-01-06,1.0767447291071803
2020-01-07,1.086813759412159
2020-01-08,1.0801369433261279
2020-01-09,1.0915938832137342
2020-01-10,1.0966518422132372
2020-01-13,1.0987216794376995
2020-01-14,1.0983102920694698
2020-01-15,1.0865854056760949
2020-01-16,1.082289662335404
2020-01-17,1.0746743779360657
2020-01-20,1.0759460184267704
2020-01-21,1.0521169013288745
