strategy,date,code,name,action,valuation_confidence,sell_confirmation_count,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
v31_1_confidence_gate_only,2018-01-31,601088,中国神华,BUY_A_LEVEL,MEDIUM,0,0.6749101632822907,21.736226238845457,14.67,0.0,0.09375,0.09375,9.375e-05
v31_1_confidence_gate_only,2018-02-28,601088,中国神华,BUY_FULL_MARGIN,MEDIUM,0,0.6178625421186887,21.736226238845457,13.43,0.08651120845143002,0.125,0.038488791548569976,3.848879154856998e-05
v31_1_confidence_gate_only,2018-03-30,601088,中国神华,BUY_FULL_MARGIN,MEDIUM,0,0.46098036687993066,25.142068584059224,11.59,0.10975378787878792,0.125,0.015246212121212077,1.5246212121212078e-05
v31_1_confidence_gate_only,2018-04-27,002008,大族激光,BUY_A_LEVEL,MEDIUM,0,0.7017861729401181,63.49512389695117,44.56,0.0,0.09375,0.09375,9.375e-05
v31_1_confidence_gate_only,2018-05-31,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.36143518944351755,31.374919573989438,11.34,0.12047293768200192,0.125,0.0045270623179980846,4.527062317998085e-06
v31_1_confidence_gate_only,2018-06-29,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.35314831561147925,31.374919573989438,11.08,0.12294783649880811,0.125,0.0020521635011918893,2.0521635011918895e-06
v31_1_confidence_gate_only,2018-07-31,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.34199290852988923,31.374919573989438,10.73,0.12281821872351462,0.125,0.002181781276485384,2.181781276485384e-06
v31_1_confidence_gate_only,2018-08-31,002008,大族激光,BUY_A_LEVEL,HIGH,0,0.6788021702726269,61.49066963536076,41.74,0.08919740635163734,0.09375,0.004552593648362663,4.552593648362663e-06
v31_1_confidence_gate_only,2018-09-28,002008,大族激光,BUY_A_LEVEL,HIGH,0,0.657498125158656,61.49066963536076,40.43,0.08989918082668667,0.09375,0.0038508191733133273,3.850819173313327e-06
v31_1_confidence_gate_only,2018-10-31,002008,大族激光,BUY_FULL_MARGIN,MEDIUM,0,0.4771317037001161,61.66012396965112,29.42,0.07017466871448286,0.125,0.05482533128551714,5.4825331285517144e-05
v31_1_confidence_gate_only,2018-10-31,600519,贵州茅台,BUY_FULL_MARGIN,MEDIUM,0,0.5387270286504152,849.7810127456414,457.8,0.0,0.125,0.125,0.000125
v31_1_confidence_gate_only,2018-12-28,002008,大族激光,BUY_FULL_MARGIN,MEDIUM,0,0.4609137667966451,61.66012396965112,28.42,0.12189377319624405,0.125,0.0031062268037559543,3.1062268037559544e-06
v31_1_confidence_gate_only,2019-04-30,600031,三一重工,BUY_FULL_MARGIN,MEDIUM,0,0.3079646639658444,30.165798505475063,9.29,0.0,0.125,0.125,0.000125
v31_1_confidence_gate_only,2019-04-30,601088,中国神华,BUY_FULL_MARGIN,MEDIUM,0,0.18954334754659422,60.56662050446242,11.48,0.12181801627082268,0.125,0.003181983729177315,3.1819837291773153e-06
v31_1_confidence_gate_only,2019-04-30,601877,正泰电器,BUY_FULL_MARGIN,MEDIUM,0,0.5936187255184667,35.73000494799955,21.21,0.0,0.125,0.125,0.000125
v31_1_confidence_gate_only,2019-05-31,601088,中国神华,BUY_FULL_MARGIN,MEDIUM,0,0.17716028912673834,60.56662050446242,10.73,0.12428674306736055,0.125,0.0007132569326394472,7.132569326394473e-07
v31_1_confidence_gate_only,2019-05-31,601877,正泰电器,BUY_FULL_MARGIN,MEDIUM,0,0.5454799132652011,35.73000494799955,19.49,0.12219069758174345,0.125,0.002809302418256554,2.809302418256554e-06
v31_1_confidence_gate_only,2019-06-28,601877,正泰电器,BUY_FULL_MARGIN,MEDIUM,0,0.5303665652321992,35.73000494799955,18.95,0.11542387218498212,0.125,0.009576127815017876,9.576127815017877e-06
v31_1_confidence_gate_only,2019-07-31,002008,大族激光,BUY_FULL_MARGIN,MEDIUM,0,0.5086896560143982,54.08012463933677,27.51,0.1070058699603924,0.125,0.017994130039607606,1.7994130039607606e-05
v31_1_confidence_gate_only,2019-08-30,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.17661031582187767,64.49226902174567,11.39,0.12313754147771436,0.125,0.0018624585222856427,1.8624585222856426e-06
v31_1_confidence_gate_only,2019-08-30,601877,正泰电器,BUY_FULL_MARGIN,MEDIUM,0,0.4423646678398097,42.634508067967204,18.86,0.12156560024954303,0.125,0.003434399750456965,3.434399750456965e-06
v31_1_confidence_gate_only,2019-09-30,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.17738560254629326,64.49226902174567,11.44,0.12196107715127127,0.125,0.0030389228487287256,3.038922848728726e-06
v31_1_confidence_gate_only,2019-09-30,601877,正泰电器,BUY_FULL_MARGIN,MEDIUM,0,0.42899521605461927,42.634508067967204,18.29,0.11775814833393271,0.125,0.007241851666067292,7.241851666067292e-06
v31_1_confidence_gate_only,2019-10-31,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.18066800883425724,62.15820981512158,11.23,0.12142880195673239,0.125,0.0035711980432676094,3.5711980432676095e-06
v31_1_confidence_gate_only,2019-11-29,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.16876290406690636,62.15820981512158,10.49,0.11805880455163566,0.125,0.006941195448364343,6.941195448364343e-06
v31_1_confidence_gate_only,2019-12-31,002008,大族激光,REDUCE_25,MEDIUM,0,1.2344779978804785,30.99285695305224,38.26,0.15154941697965332,0.09375,-0.05779941697965332,5.779941697965333e-05
v31_1_confidence_gate_only,2019-12-31,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.17889833109856992,62.15820981512158,11.12,0.1212366934381295,0.125,0.0037633065618705025,3.7633065618705025e-06
v31_1_confidence_gate_only,2020-01-23,002008,大族激光,REDUCE_25,MEDIUM,0,1.3461166249757859,30.99285695305224,41.72,0.10588063660309661,0.09375,-0.012130636603096615,1.2130636603096615e-05
v31_1_confidence_gate_only,2020-01-23,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.1694064232435199,62.15820981512158,10.53,0.12259691174363006,0.125,0.002403088256369937,2.403088256369937e-06
v31_1_confidence_gate_only,2020-02-28,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.15685779929955548,62.15820981512158,9.75,0.11590381677098174,0.125,0.009096183229018256,9.096183229018257e-06
v31_1_confidence_gate_only,2020-04-30,601088,中国神华,BUY_FULL_MARGIN,MEDIUM,0,0.2342906278039917,41.444252768503475,9.71,0.12031752614059064,0.125,0.004682473859409356,4.6824738594093556e-06
