date,nav,cash_weight,turnover,w_600031,w_002008,w_002920,w_600588,w_600519,w_601088,w_601877,w_600276
2022-04-13,1.8421306283860666,0.551868795640264,0.0,0.1282706879328998,0.01947338462840512,0.0,0.0,0.022437279352525964,0.24594646240779497,0.032003390038110126,0.0
2022-04-14,1.854564578428327,0.5481687848050045,0.0,0.1319721221980916,0.01953731419254288,0.0,0.0,0.02279074393271159,0.24650596937279806,0.031025065498851413,0.0
2022-04-15,1.8332166372588663,0.5545522502018982,0.0,0.13100614323604898,0.01941305544203844,0.0,0.0,0.02301780463597812,0.23969512185816272,0.03231562462587358,0.0
2022-04-18,1.816000451042686,0.5598095588113734,0.0,0.1289320454792536,0.0198739597313513,0.0,0.0,0.023040869194147957,0.2336978585680598,0.03464570821581391,0.0
2022-04-19,1.8213904645600032,0.5581529227699382,0.0,0.12595272387847717,0.0195511050851785,0.0,0.0,0.022966005985060548,0.23953816560250202,0.03383907667884353,0.0
2022-04-20,1.7965340150113103,0.5658754038637344,0.0,0.12530108972852919,0.01923754770612902,0.0,0.0,0.023370880275524766,0.23297325478927997,0.03324182363680274,0.0
2022-04-21,1.775779531863223,0.5724890917245716,0.0,0.12143655277741426,0.017461983702731936,0.0,0.0,0.02342010107292498,0.233060206850239,0.03213206387211823,0.0
2022-04-22,1.7818193578002988,0.5705485277444162,0.0,0.1219905441410375,0.01690592075972022,0.0,0.0,0.023249080102033592,0.23599178085001776,0.03131414640277477,0.0
2022-04-25,1.7377556363081874,0.5850157467819986,0.0,0.11254243425163296,0.016007457945296386,0.0,0.0,0.022964670669605138,0.23389492717324722,0.029574763178219592,0.0
2022-04-26,1.7222403600697025,0.5902860221312646,0.0,0.10764538177292154,0.015669336819996726,0.0,0.0,0.023503681876175003,0.2340768734457922,0.028818703953849917,0.0
2022-04-27,1.7500525575704864,0.5809050744800363,0.0,0.11420952417818965,0.016407116801046274,0.0,0.0,0.023963807852075962,0.23448034139949228,0.030034135289159557,0.0
2022-04-28,1.7863446337693987,0.5691031798014723,0.0,0.1131734363950418,0.0158229173471829,0.0,0.0,0.024001148251255856,0.24740384775929147,0.03049547044575569,0.0
2022-04-29,1.7947833292148347,0.5598160665153492,0.006607566579565405,0.125,0.016357404762283655,0.0,0.0,0.023801990251627676,0.24287030866620074,0.032154229804538734,0.0
2022-05-05,1.795654538165467,0.5595444570506721,0.0,0.1257823985342538,0.016519902312620238,0.0,0.0,0.023902595828000212,0.24155771885410365,0.03269292742034997,0.0
2022-05-06,1.7803419730976902,0.5643570498201357,0.0,0.1235480854480696,0.016140150286867754,0.0,0.0,0.023530744885341993,0.24056798424744175,0.031855985312143245,0.0
2022-05-09,1.7672931925128323,0.5685239709319347,0.0,0.12214754909955208,0.016178920987671232,0.0,0.0,0.02316240127686654,0.23726778698183368,0.03271937072214168,0.0
2022-05-10,1.7610085971999505,0.5705528895236219,0.0,0.12481850497993287,0.01675181342531375,0.0,0.0,0.02343341105583092,0.2306942223992297,0.033749158616070855,0.0
2022-05-11,1.7727098744216276,0.5667867924164328,0.0,0.12399460483121733,0.017035843434084753,0.0,0.0,0.023302520649040297,0.23357225552222466,0.035307983147000094,0.0
2022-05-12,1.7596750849901208,0.5709852643699918,0.0,0.12241827384157111,0.017118556764464755,0.0,0.0,0.023404468818056166,0.23053654184274883,0.035536894363167426,0.0
2022-05-13,1.7912557060832608,0.5609185445696883,0.0,0.1210205904316592,0.01681674912583226,0.0,0.0,0.023194813929001162,0.24356636878418272,0.0344829331596364,0.0
2022-05-16,1.7953501794098459,0.559639314453209,0.0,0.12276824339125034,0.016662725773271943,0.0,0.0,0.022878573396653085,0.24453174656655613,0.03351939641905944,0.0
2022-05-17,1.805624961602635,0.5564547261888639,0.0,0.12282419065542541,0.016955319499661482,0.0,0.0,0.022877734486348122,0.2464887000308282,0.03439932913887287,0.0
2022-05-18,1.7992856428453952,0.558415250854478,0.0,0.12132183826942682,0.017087952833073464,0.0,0.0,0.02286744421710582,0.245297636459453,0.03500987736646292,0.0
2022-05-19,1.795669986433268,0.5595396432526558,0.0,0.11996435205468417,0.017432790415059102,0.0,0.0,0.022848455216054595,0.24427096941216334,0.03594378964938294,0.0
2022-05-20,1.82568591340424,0.5503403056525105,0.0,0.12363044006225082,0.017373677772861147,0.0,0.0,0.023036047534357465,0.2509376787820935,0.034681850195926664,0.0
2022-05-23,1.8240563064476099,0.5508319781888433,0.0,0.12216404546650904,0.017215427218627302,0.0,0.0,0.022813138741882146,0.2522310947118151,0.034744315672322994,0.0
2022-05-24,1.8134742922336904,0.5540462017638003,0.0,0.11928742442693734,0.016466060645047364,0.0,0.0,0.02267570961050707,0.25391801124645963,0.0336065923072483,0.0
2022-05-25,1.8281516559218867,0.5495980272499358,0.0,0.12073109514895017,0.01662084099328107,0.0,0.0,0.02243628510822318,0.256680175216607,0.03393357628300278,0.0
2022-05-26,1.8432507698636391,0.5450959576610956,0.0,0.12655871338355965,0.01659142564925724,0.0,0.0,0.022091323293064406,0.2560588945662011,0.03360368544682191,0.0
2022-05-27,1.8566220473483852,0.5411702101907856,0.0,0.12475034741223738,0.016354194444209887,0.0,0.0,0.02208772209275207,0.263038758096832,0.032598767763183045,0.0
2022-05-30,1.8470690644323602,0.5439691254409866,0.0,0.1238383526037484,0.016604467447084104,0.0,0.0,0.022496125576168896,0.26038673853867694,0.032705190393335096,0.0
2022-05-31,1.8558933859834683,0.5409370103199554,0.000445433115859345,0.125,0.01700254705340503,0.0,0.0,0.02271163339307144,0.25914854751006416,0.035200261723503865,0.0
2022-06-01,1.849776538446593,0.5427257827205174,0.0,0.12418139218208502,0.016934685858854274,0.0,0.0,0.022587551288563063,0.2587402672540317,0.03483032069594845,0.0
2022-06-02,1.8457365619319817,0.5439137092433415,0.0,0.1256878571041075,0.01751063255717679,0.0,0.0,0.02260843213795782,0.25465725779632936,0.03562211116108708,0.0
2022-06-06,1.8671409697503731,0.5376784270449035,0.0,0.12774577453735123,0.017801620448745337,0.0,0.0,0.022374301697332278,0.2581097247249802,0.03629015154668738,0.0
2022-06-07,1.8642531464406722,0.5385113183814197,0.0,0.12900306536043163,0.017870236637448907,0.0,0.0,0.022783646830181727,0.2559987327095044,0.03583300008101356,0.0
2022-06-08,1.8812935323113433,0.5336335890407629,0.0,0.12654250693304825,0.01763284372611357,0.0,0.0,0.023169706776512363,0.2648762826848571,0.03414507083870587,0.0
2022-06-09,1.8735429556855792,0.5358411541298849,0.0,0.12755252721670884,0.017069896682466265,0.0,0.0,0.02310843186745983,0.2632654728459001,0.03316251725758013,0.0
2022-06-10,1.8735915219141837,0.5358272643445807,0.0,0.1263329218777933,0.017536151518344683,0.0,0.0,0.023701399449064253,0.26315455267387894,0.033447710136338196,0.0
2022-06-13,1.8695206428070432,0.5369940276129345,0.0,0.13286527540861665,0.01766203275841121,0.0,0.0,0.023195599949089776,0.25548608481096946,0.03379697945997845,0.0
2022-06-14,1.8878542130848799,0.531779102818539,0.0,0.1368862607081483,0.01739787669117842,0.0,0.0,0.023156056855961994,0.2588936175443867,0.03188708538178552,0.0
2022-06-15,1.8777643303308023,0.534636537434715,0.0,0.1381072367780987,0.01773001240786,0.0,0.0,0.02333144393203789,0.254156730549058,0.03203803889823041,0.0
2022-06-16,1.8536754241462388,0.5415842528898284,0.0,0.13678757316532814,0.01771866551303064,0.0,0.0,0.023658557098233775,0.24756940097508745,0.03268155035849166,0.0
2022-06-17,1.8605793024241422,0.5395746466589577,0.0,0.13685158408984205,0.017629420450412023,0.0,0.0,0.024500036119831446,0.24780383177856766,0.03364048090238912,0.0
2022-06-20,1.8502386801030928,0.5425902238896764,0.0,0.14246091298510136,0.018082388645095624,0.0,0.0,0.024523587884973753,0.2375936813402841,0.03474920525486879,0.0
2022-06-21,1.8524150518198308,0.5419527436360518,0.0,0.1422935380215602,0.018415168329767008,0.0,0.0,0.024541764683938583,0.23836739598816967,0.03442938934051265,0.0
2022-06-22,1.834579844081909,0.5472214376087161,0.0,0.1389566510360718,0.017777980545119865,0.0,0.0,0.024656285205276893,0.23717651497360617,0.03421113063120913,0.0
2022-06-23,1.8522525507263499,0.5420002900213552,0.0,0.13968135728588374,0.01805682755577612,0.0,0.0,0.024687232676148002,0.23975714580252439,0.0358171466583126,0.0
2022-06-24,1.8500466653604417,0.5426465388595395,0.0,0.13861612663367937,0.018539178316556815,0.0,0.0,0.02537214405161848,0.23888338982574805,0.035942622312857775,0.0
2022-06-27,1.8737067628015205,0.5357943087025197,0.0,0.14059551562313968,0.01813590880455566,0.0,0.0,0.02507109141413928,0.245026786878032,0.035376388577613785,0.0
2022-06-28,1.8833137710394743,0.5330611580099969,0.0,0.14036232915553504,0.01901259672954295,0.0,0.0,0.025258833941367315,0.24698719170413796,0.03531789045941979,0.0
2022-06-29,1.8763688733649666,0.5350341470364004,0.0,0.1390196130074286,0.018372307033029125,0.0,0.0,0.02527769678214822,0.24883682818420091,0.03345940795679281,0.0
2022-06-30,1.8934953603413158,0.5301948136305508,0.0,0.1430576536972426,0.018581336870233996,0.0,0.0,0.02550647521811783,0.24905816386747132,0.03360155671638356,0.0
2022-07-01,1.9010744238944022,0.5280810719813464,0.0,0.148720642847232,0.018265784152922546,0.0,0.0,0.025206569590773456,0.24673155304530395,0.032994378382421696,0.0
2022-07-04,1.905681172993437,0.5268045011482796,0.0,0.14828140785635396,0.01785455797393641,0.0,0.0,0.025008750415612506,0.24818197158061747,0.03386881102519994,0.0
2022-07-05,1.916759445344199,0.5237597352787264,0.0,0.1440161893158146,0.017489056851052846,0.0,0.0,0.025049098366032654,0.25417542172189883,0.03551049846647465,0.0
2022-07-06,1.8753673190589728,0.5353198861278154,0.0,0.14136213240229617,0.01762445388947655,0.0,0.0,0.025211485419884213,0.24428983942032648,0.03619220274020107,0.0
2022-07-07,1.8902860282379546,0.5310949796429959,0.0,0.14217535082501628,0.017687733177490613,0.0,0.0,0.02486263905334682,0.24875877921878164,0.03542051808236873,0.0
2022-07-08,1.893702937998689,0.5301366964912904,0.0,0.14264084524078158,0.01766159001345717,0.0,0.0,0.02492997751951836,0.25016375818126513,0.03446713255368736,0.0
2022-07-11,1.8567519535840238,0.5406868794448505,0.0,0.14417037049634174,0.017524481233233115,0.0,0.0,0.024975801523905043,0.2393862306568033,0.033256236644866294,0.0
2022-07-12,1.865004833622644,0.5382942722654649,0.0,0.14361385847614397,0.01696636601881067,0.0,0.0,0.024672939844502372,0.244287703890861,0.0321648595042171,0.0
2022-07-13,1.8676796580069337,0.5375233463525513,0.0,0.147149970099964,0.01690110211757236,0.0,0.0,0.024770182654006174,0.24101393121871117,0.032641467557194936,0.0
