label,start,end,final_multiple,final_capital_rmb,total_return,cagr,max_drawdown,sharpe,worst_calendar_year,best_calendar_year,trades,avg_cash_weight,total_turnover,low_invalid_decisions,mechanical_low_invalid_actions,variant
current_v31_baseline,2018-01-01,2026-08-24,2.356401528759279,2356401.528759279,1.356401528759279,0.10425020010998698,-0.23900362167820932,0.742182266551253,-0.08878184927912014,0.5116075168930645,102.0,0.43534714074418546,2.201653074323575,148.0,115.0,current_v31_baseline
v31_1_confidence_gate_only,2018-01-01,2026-08-24,2.217617353349075,2217617.353349075,1.217617353349075,0.0965222497737539,-0.18246406682298189,0.7808759894426691,-0.06606198974003208,0.4302505197844433,93.0,0.47928422633244944,2.0758960121179513,148.0,0.0,v31_1_confidence_gate_only
v32_candidate,2018-01-01,2026-08-24,2.182974530475974,2182974.530475974,1.182974530475974,0.0945266256752384,-0.1821486035139217,0.7554918304883554,-0.06606198974003208,0.4413484517461539,94.0,0.468993856321287,2.045033757029688,148.0,0.0,v32_candidate
universal_geomean,2018-01-01,2026-08-24,1.9063945840737302,1906394.5840737303,0.9063945840737302,0.07750500946857919,-0.2927709063705155,0.5715730634094004,-0.07217852135312486,0.29671352706757226,112.0,0.4222531557775109,2.7645421138473822,,,universal_geomean
true_buyhold,2018-01-01,2026-08-24,2.0747697572708983,2074769.7572708982,1.0747697572708983,0.08810779738391439,-0.5092263024511492,0.4766713001527773,-0.26716955477316673,0.818853796781551,,,,,,true_buyhold
csi300,2018-01-01,2026-08-24,1.1163883846972686,1116388.3846972687,0.11638838469726864,0.012819386441887293,-0.45602619548225387,0.16530441175039035,-0.26343072284808855,0.360695051639943,,,,,,csi300
