strategy,date,code,name,action,valuation_confidence,sell_confirmation_count,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
current_v31_baseline,2018-01-31,601088,中国神华,BUY_A_LEVEL,MEDIUM,0,0.6749101632822907,21.736226238845457,14.67,0.0,0.09375,0.09375,9.375e-05
current_v31_baseline,2018-02-28,601088,中国神华,BUY_FULL_MARGIN,MEDIUM,0,0.6178625421186887,21.736226238845457,13.43,0.08651120845143002,0.125,0.038488791548569976,3.848879154856998e-05
current_v31_baseline,2018-03-30,601088,中国神华,BUY_FULL_MARGIN,MEDIUM,0,0.46098036687993066,25.142068584059224,11.59,0.10975378787878792,0.125,0.015246212121212077,1.5246212121212078e-05
current_v31_baseline,2018-04-27,002008,大族激光,BUY_A_LEVEL,MEDIUM,0,0.7017861729401181,63.49512389695117,44.56,0.0,0.09375,0.09375,9.375e-05
current_v31_baseline,2018-05-31,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.36143518944351755,31.374919573989438,11.34,0.12047293768200192,0.125,0.0045270623179980846,4.527062317998085e-06
current_v31_baseline,2018-06-29,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.35314831561147925,31.374919573989438,11.08,0.12294783649880811,0.125,0.0020521635011918893,2.0521635011918895e-06
current_v31_baseline,2018-07-31,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.34199290852988923,31.374919573989438,10.73,0.12281821872351462,0.125,0.002181781276485384,2.181781276485384e-06
current_v31_baseline,2018-08-31,600031,三一重工,BUY_FULL_MARGIN,LOW,0,0.5473380381387446,11.035227919731977,6.04,0.0,0.125,0.125,0.000125
current_v31_baseline,2018-08-31,002008,大族激光,BUY_A_LEVEL,HIGH,0,0.6788021702726269,61.49066963536076,41.74,0.08919740635163734,0.09375,0.004552593648362663,4.552593648362663e-06
current_v31_baseline,2018-08-31,600519,贵州茅台,BUY_STAGED,LOW,0,0.7738462151754555,710.4512359414298,549.78,0.0,0.0625,0.0625,6.25e-05
current_v31_baseline,2018-09-28,600031,三一重工,BUY_FULL_MARGIN,LOW,0,0.5364637724803589,11.035227919731977,5.92,0.12078494174841971,0.125,0.004215058251580292,4.215058251580292e-06
current_v31_baseline,2018-09-28,002008,大族激光,BUY_A_LEVEL,HIGH,0,0.657498125158656,61.49066963536076,40.43,0.0895242283021561,0.09375,0.004225771697843897,4.225771697843897e-06
current_v31_baseline,2018-10-31,600031,三一重工,BUY_FULL_MARGIN,LOW,0,0.274188407632547,17.907394562720267,4.91,0.11101209059690402,0.125,0.01398790940309598,1.398790940309598e-05
current_v31_baseline,2018-10-31,002008,大族激光,BUY_FULL_MARGIN,MEDIUM,0,0.4771317037001161,61.66012396965112,29.42,0.07304839639759782,0.125,0.05195160360240218,5.195160360240218e-05
current_v31_baseline,2018-10-31,600519,贵州茅台,BUY_FULL_MARGIN,MEDIUM,0,0.5387270286504152,849.7810127456414,457.8,0.05493958377236592,0.125,0.07006041622763408,7.006041622763408e-05
current_v31_baseline,2018-12-28,002008,大族激光,BUY_FULL_MARGIN,MEDIUM,0,0.4609137667966451,61.66012396965112,28.42,0.12050277360450404,0.125,0.004497226395495962,4.497226395495962e-06
current_v31_baseline,2019-01-31,002008,大族激光,BUY_FULL_MARGIN,MEDIUM,0,0.48053747044984496,61.66012396965112,29.63,0.12279790130575186,0.125,0.0022020986942481446,2.202098694248145e-06
current_v31_baseline,2019-03-29,601088,中国神华,BUY_FULL_MARGIN,LOW,0,0.1861462503235893,61.457053151020524,11.44,0.11447054112052817,0.125,0.010529458879471834,1.0529458879471834e-05
current_v31_baseline,2019-04-30,601877,正泰电器,BUY_FULL_MARGIN,MEDIUM,0,0.5936187255184667,35.73000494799955,21.21,0.0,0.125,0.125,0.000125
current_v31_baseline,2019-05-31,002008,大族激光,BUY_FULL_MARGIN,MEDIUM,0,0.5804350527914197,54.08012463933677,31.39,0.12054331536522123,0.125,0.004456684634778774,4.456684634778774e-06
current_v31_baseline,2019-05-31,601088,中国神华,BUY_FULL_MARGIN,MEDIUM,0,0.17716028912673834,60.56662050446242,10.73,0.12445430172616073,0.125,0.0005456982738392679,5.45698273839268e-07
current_v31_baseline,2019-05-31,601877,正泰电器,BUY_FULL_MARGIN,MEDIUM,0,0.5454799132652011,35.73000494799955,19.49,0.12197534790271179,0.125,0.003024652097288208,3.024652097288208e-06
current_v31_baseline,2019-06-28,002008,大族激光,BUY_FULL_MARGIN,MEDIUM,0,0.6035489048458726,54.08012463933677,32.64,0.1228287898132475,0.125,0.0021712101867524952,2.171210186752495e-06
current_v31_baseline,2019-06-28,601877,正泰电器,BUY_FULL_MARGIN,MEDIUM,0,0.5303665652321992,35.73000494799955,18.95,0.1148520400527592,0.125,0.010147959947240798,1.0147959947240798e-05
current_v31_baseline,2019-07-31,002008,大族激光,BUY_FULL_MARGIN,MEDIUM,0,0.5086896560143982,54.08012463933677,27.51,0.10401603243727559,0.125,0.020983967562724415,2.0983967562724415e-05
current_v31_baseline,2019-08-30,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.17661031582187767,64.49226902174567,11.39,0.12230514294893403,0.125,0.002694857051065966,2.694857051065966e-06
current_v31_baseline,2019-08-30,601877,正泰电器,BUY_FULL_MARGIN,MEDIUM,0,0.4423646678398097,42.634508067967204,18.86,0.12134499441397285,0.125,0.0036550055860271463,3.6550055860271464e-06
current_v31_baseline,2019-09-30,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.17738560254629326,64.49226902174567,11.44,0.12131179265068669,0.125,0.0036882073493133133,3.6882073493133132e-06
current_v31_baseline,2019-09-30,601877,正泰电器,BUY_FULL_MARGIN,MEDIUM,0,0.42899521605461927,42.634508067967204,18.29,0.11713123897631922,0.125,0.007868761023680781,7.868761023680781e-06
current_v31_baseline,2019-10-31,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.18066800883425724,62.15820981512158,11.23,0.12213592119916822,0.125,0.002864078800831782,2.864078800831782e-06
current_v31_baseline,2019-11-29,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.16876290406690636,62.15820981512158,10.49,0.1171678997133822,0.125,0.007832100286617794,7.832100286617793e-06
current_v31_baseline,2019-12-31,002008,大族激光,REDUCE_25,MEDIUM,0,1.2344779978804785,30.99285695305224,38.26,0.14953548344052514,0.09375,-0.05578548344052514,5.578548344052514e-05
current_v31_baseline,2019-12-31,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.17889833109856992,62.15820981512158,11.12,0.11954085562415466,0.125,0.00545914437584534,5.45914437584534e-06
current_v31_baseline,2020-01-23,002008,大族激光,REDUCE_25,MEDIUM,0,1.3461166249757859,30.99285695305224,41.72,0.10621368190455457,0.09375,-0.012463681904554574,1.2463681904554574e-05
current_v31_baseline,2020-01-23,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.1694064232435199,62.15820981512158,10.53,0.1229825377347405,0.125,0.0020174622652595064,2.0174622652595063e-06
current_v31_baseline,2020-02-28,601088,中国神华,BUY_FULL_MARGIN,HIGH,0,0.15685779929955548,62.15820981512158,9.75,0.1149605275172345,0.125,0.010039472482765502,1.0039472482765503e-05
current_v31_baseline,2020-04-30,002008,大族激光,CORE_ONLY,LOW,0,4.520605998291366,6.317737049146663,28.56,0.06110542131965991,0.03125,-0.02985542131965991,2.985542131965991e-05
current_v31_baseline,2020-04-30,601088,中国神华,BUY_FULL_MARGIN,MEDIUM,0,0.2342906278039917,41.444252768503475,9.71,0.11933193967786954,0.125,0.005668060322130464,5.668060322130464e-06
current_v31_baseline,2020-05-29,002008,大族激光,CORE_ONLY,LOW,0,4.53960014114133,6.317737049146663,28.68,0.03138615182842676,0.03125,-0.00013615182842675877,1.3615182842675878e-07
current_v31_baseline,2020-06-30,002008,大族激光,CORE_ONLY,LOW,0,5.414913557477158,6.317737049146663,34.21,0.036067777262383034,0.03125,-0.004817777262383034,4.817777262383034e-06
current_v31_baseline,2020-06-30,601088,中国神华,BUY_FULL_MARGIN,MEDIUM,0,0.22874100428237296,41.444252768503475,9.48,0.11810319764436557,0.125,0.006896802355634432,6.896802355634432e-06
current_v31_baseline,2020-07-31,601088,中国神华,BUY_FULL_MARGIN,MEDIUM,0,0.2441834349512251,41.444252768503475,10.12,0.11879123935377653,0.125,0.006208760646223471,6.208760646223471e-06
current_v31_baseline,2020-10-30,600519,贵州茅台,REDUCE_25,HIGH,0,1.2708099163861046,1125.2508983141547,1429.98,0.21371169302590626,0.09375,-0.11996169302590626,0.00011996169302590626
