date,close,pe_ttm,pb,pe_anchor,pb_anchor,ratio_universal,neutral_universal,report_date,fund_available_date,normalized_eps_round6,eps_growth_3y_round6,revenue_growth_3y_round6,realistic_growth_round6,neutral_value_round6,deduct_factor_round6,cash_conversion,normalized_owner_eps_round5,assumed_growth_round5,neutral_value_round5,quality_factor_round5,ratio_expectation,ratio_round5,market_implied_growth_round6,implied_growth_status,expectation_gap_round6,ret,code,confidence_report_date,normalized_earnings_observation_count,realistic_growth_four_report_range,valuation_confidence
2018-01-02,13.23,11.53534036,1.57078701,,,,,2017-09-30,2017-10-28,1.6974999999999998,-0.08229865483881427,-0.04267621937528132,0.0,21.736226238845457,0.9965898572611682,2.5216300482291616,1.6974999999999998,0.0,22.24506972946457,0.9965898572611682,0.608661312898753,0.5947385268240488,0.0,BELOW_ZERO_GROWTH_VALUE,0.0,0.0,601088,2017-09-30,4.0,0.0,MEDIUM
2018-01-03,12.95,11.29310305,1.53780114,,,,,2017-09-30,2017-10-28,1.6974999999999998,-0.08229865483881427,-0.04267621937528132,0.0,21.736226238845457,0.9965898572611682,2.5216300482291616,1.6974999999999998,0.0,22.24506972946457,0.9965898572611682,0.5957795919908428,0.5821514680552858,0.0,BELOW_ZERO_GROWTH_VALUE,0.0,-0.021164021164021274,601088,2017-09-30,4.0,0.0,MEDIUM
2018-01-04,12.83,11.18651864,1.52328736,,,,,2017-09-30,2017-10-28,1.6974999999999998,-0.08229865483881427,-0.04267621937528132,0.0,21.736226238845457,0.9965898572611682,2.5216300482291616,1.6974999999999998,0.0,22.24506972946457,0.9965898572611682,0.5902588544588814,0.5767570142972446,0.0,BELOW_ZERO_GROWTH_VALUE,0.0,-0.009266409266409203,601088,2017-09-30,4.0,0.0,MEDIUM
2018-01-05,13.15,11.46266917,1.56089125,,,,,2017-09-30,2017-10-28,1.6974999999999998,-0.08229865483881427,-0.04267621937528132,0.0,21.736226238845457,0.9965898572611682,2.5216300482291616,1.6974999999999998,0.0,22.24506972946457,0.9965898572611682,0.6049808212107787,0.5911422243186879,0.0,BELOW_ZERO_GROWTH_VALUE,0.0,0.02494154325798914,601088,2017-09-30,4.0,0.0,MEDIUM
2018-01-08,13.94,12.15062311,1.65457111,,,,,2017-09-30,2017-10-28,1.6974999999999998,-0.08229865483881427,-0.04267621937528132,0.0,21.736226238845457,0.9965898572611682,2.5216300482291616,1.6974999999999998,0.0,22.24506972946457,0.9965898572611682,0.6413256766295251,0.6266557115591261,0.0,BELOW_ZERO_GROWTH_VALUE,0.0,0.06007604562737634,601088,2017-09-30,4.0,0.0,MEDIUM
2018-01-09,13.78,12.01012547,1.63543931,,,,,2017-09-30,2017-10-28,1.6974999999999998,-0.08229865483881427,-0.04267621937528132,0.0,21.736226238845457,0.9965898572611682,2.5216300482291616,1.6974999999999998,0.0,22.24506972946457,0.9965898572611682,0.6339646932535764,0.6194631065484045,0.0,BELOW_ZERO_GROWTH_VALUE,0.0,-0.011477761836441891,601088,2017-09-30,4.0,0.0,MEDIUM
2018-01-10,13.84,12.06826242,1.64335592,,,,,2017-09-30,2017-10-28,1.6974999999999998,-0.08229865483881427,-0.04267621937528132,0.0,21.736226238845457,0.9965898572611682,2.5216300482291616,1.6974999999999998,0.0,22.24506972946457,0.9965898572611682,0.6367250620195571,0.6221603334274252,0.0,BELOW_ZERO_GROWTH_VALUE,0.0,0.004354136429608246,601088,2017-09-30,4.0,0.0,MEDIUM
2018-01-11,13.49,11.76304342,1.60179372,,,,,2017-09-30,2017-10-28,1.6974999999999998,-0.08229865483881427,-0.04267621937528132,0.0,21.736226238845457,0.9965898572611682,2.5216300482291616,1.6974999999999998,0.0,22.24506972946457,0.9965898572611682,0.6206229108846696,0.6064265099664715,0.0,BELOW_ZERO_GROWTH_VALUE,0.0,-0.025289017341040387,601088,2017-09-30,4.0,0.0,MEDIUM
2018-01-12,13.54,11.80180139,1.60707146,,,,,2017-09-30,2017-10-28,1.6974999999999998,-0.08229865483881427,-0.04267621937528132,0.0,21.736226238845457,0.9965898572611682,2.5216300482291616,1.6974999999999998,0.0,22.24506972946457,0.9965898572611682,0.6229232181896535,0.608674199032322,0.0,BELOW_ZERO_GROWTH_VALUE,0.0,0.003706449221645647,601088,2017-09-30,4.0,0.0,MEDIUM
2018-01-15,13.07,11.39484272,1.55165521,,,,,2017-09-30,2017-10-28,1.6974999999999998,-0.08229865483881427,-0.04267621937528132,0.0,21.736226238845457,0.9965898572611682,2.5216300482291616,1.6974999999999998,0.0,22.24506972946457,0.9965898572611682,0.6013003295228043,0.5875459218133271,0.0,BELOW_ZERO_GROWTH_VALUE,0.0,-0.03471196454948289,601088,2017-09-30,4.0,0.0,MEDIUM
