variant,date,code,name,action,underlying_v31_action,valuation_confidence,sell_confirmation_count,price_to_neutral,neutral_value,normalized_earnings,realistic_growth,market_implied_growth,expectation_gap
current_v31_baseline,2018-01-31,600031,三一重工,CORE_ONLY,CORE_ONLY,MEDIUM,0,4.657646197519042,1.3032333806791223,0.10177657516967006,0.0,0.3992247314971813,-0.3992247314971813
current_v31_baseline,2018-01-31,002008,大族激光,REDUCE_25,REDUCE_25,MEDIUM,0,1.2312549476630579,38.3348713356128,0.9218512161078601,0.3,0.3567732481424507,-0.056773248142450716
current_v31_baseline,2018-01-31,002920,德赛西威,HOLD_REVIEW,HOLD_REVIEW,INVALID,0,,,1.2827434208380581,,0.17625867188766142,
current_v31_baseline,2018-01-31,600588,用友网络,CORE_ONLY,CORE_ONLY,MEDIUM,0,4.7588653566381875,2.038300996784743,0.1591819989368073,0.0,0.4052636537871446,-0.4052636537871446
current_v31_baseline,2018-01-31,600519,贵州茅台,CORE_ONLY,CORE_ONLY,HIGH,0,2.8170480350742793,223.18753254181618,14.775000000000002,0.040120581486418505,0.3062244336654386,-0.2661038521790201
current_v31_baseline,2018-01-31,601088,中国神华,BUY_A_LEVEL,BUY_A_LEVEL,MEDIUM,0,0.6749101632822907,21.736226238845457,1.6974999999999998,0.0,0.0,0.0
current_v31_baseline,2018-01-31,601877,正泰电器,REDUCE_50,REDUCE_50,MEDIUM,0,1.5221930914790762,12.981270320179757,1.013777926599074,0.0,0.10317004734350438,-0.10317004734350438
current_v31_baseline,2018-01-31,600276,恒瑞医药,CORE_ONLY,CORE_ONLY,HIGH,0,2.3608888365350644,13.66434518253137,0.8971879006845223,0.04212743312294176,0.26105014957441697,-0.2189227164514752
current_v31_baseline,2018-02-28,600031,三一重工,CORE_ONLY,CORE_ONLY,MEDIUM,0,3.9593829290277194,1.3032333806791223,0.10177657516967006,0.0,0.3540556099457354,-0.3540556099457354
current_v31_baseline,2018-02-28,002008,大族激光,REDUCE_50,REDUCE_50,MEDIUM,0,1.4289861447665744,38.3348713356128,0.9218512161078601,0.3,0.39820444310512915,-0.09820444310512916
