,true_buyhold
2018-01-01,1.0
2018-01-02,0.999
2018-01-03,1.0125285058308826
2018-01-04,1.0210466474207116
2018-01-05,1.0172565168060754
2018-01-08,1.037580224473097
2018-01-09,1.0431533900486463
2018-01-10,1.0381993244630687
2018-01-11,1.0330667940940097
2018-01-12,1.0345279045120592
2018-01-15,1.008629031785325
2018-01-16,1.0204265319632244
2018-01-17,0.9936094566222948
2018-01-18,0.9982161306863422
2018-01-19,1.0022986872083663
2018-01-22,1.0186804729633334
2018-01-23,1.032705272922752
2018-01-24,1.0397818999381911
2018-01-25,1.0428371194827561
2018-01-26,1.0414023513476445
2018-01-29,1.0004839166208765
2018-01-30,1.0141383708569227
2018-01-31,1.0071807255998588
2018-02-01,1.0057875973886083
2018-02-02,1.020200990887623
2018-02-05,1.0166885189217925
2018-02-06,0.9815297989080519
2018-02-07,0.9769217339530252
2018-02-08,0.9770283354855501
2018-02-09,0.933885935251317
2018-02-12,0.9695788964131073
2018-02-13,0.994475439618361
2018-02-14,0.9929034274958914
2018-02-22,1.0293874937662628
2018-02-23,1.0260336567688921
2018-02-26,1.0560320905947986
2018-02-27,1.0348173501766047
2018-02-28,1.0412022840820252
2018-03-01,1.0720857869621934
2018-03-02,1.0695590129754435
2018-03-05,1.0935904949923687
2018-03-06,1.1021264845912846
2018-03-07,1.0924733119888852
2018-03-08,1.1000448491629067
2018-03-09,1.1227521648863212
2018-03-12,1.1451092299140067
2018-03-13,1.1227209733522436
2018-03-14,1.1011069698407834
2018-03-15,1.1011690433789783
2018-03-16,1.0895683037983068
2018-03-19,1.102469051763405
2018-03-20,1.1142579330020972
2018-03-21,1.0951128501016472
2018-03-22,1.0745293443539254
2018-03-23,1.040276229745109
2018-03-26,1.0677285958872962
2018-03-27,1.0893531222314408
2018-03-28,1.057181277983692
2018-03-29,1.0586569562844568
2018-03-30,1.0824355868470774
2018-04-02,1.0879731271011877
2018-04-03,1.0694231537270946
2018-04-04,1.0502127657002587
2018-04-09,1.0585256913322227
2018-04-10,1.0755797152850246
2018-04-11,1.0876854741600606
2018-04-12,1.0856166557555336
2018-04-13,1.0696803659241143
2018-04-16,1.0884130831599772
2018-04-17,1.047509339645372
2018-04-18,1.0696085054641769
2018-04-19,1.0803326582983712
2018-04-20,1.056400527072565
2018-04-23,1.053561307346733
2018-04-24,1.0828815121459268
2018-04-25,1.0818912033498091
2018-04-26,1.0658737638283975
2018-04-27,1.0602409645866426
2018-05-02,1.0547720384328907
2018-05-03,1.0687296616921647
2018-05-04,1.0658190276328965
2018-05-07,1.1037371735336392
2018-05-08,1.1238323263894645
2018-05-09,1.1246575793365605
2018-05-10,1.1235795423058197
2018-05-11,1.1043551857700913
2018-05-14,1.1147362256679616
2018-05-15,1.133366087274216
2018-05-16,1.1140847673519167
2018-05-17,1.105687130128802
2018-05-18,1.1121795150645168
2018-05-21,1.1181883308037837
2018-05-22,1.1223584027693978
2018-05-23,1.1089530039915962
2018-05-24,1.0872415338012793
2018-05-25,1.0822250883371605
2018-05-28,1.1080434576753226
2018-05-29,1.091087635139546
2018-05-30,1.0666590228544346
2018-05-31,1.0766148568946152
2018-06-01,1.0614912504404972
2018-06-04,1.0582461771020297
2018-06-05,1.086275342080042
2018-06-06,1.1017639770569383
2018-06-07,1.1032986165562977
2018-06-08,1.1018053932199374
2018-06-11,1.091601170543995
2018-06-12,1.1137099927820748
2018-06-13,1.0756514359789304
2018-06-14,1.0820743955878114
2018-06-15,1.0723137189235457
2018-06-19,1.0255129200720567
2018-06-20,1.0386663860427243
2018-06-21,1.0182120805331978
2018-06-22,1.037243538076655
2018-06-25,1.0377390430129527
2018-06-26,1.0493939752712926
2018-06-27,1.0216745906890536
2018-06-28,1.0051174933083902
2018-06-29,1.05041891036216
2018-07-02,1.0201263222579207
2018-07-03,1.016250839545602
2018-07-04,0.9815633017263097
2018-07-05,0.9647982236208595
2018-07-06,0.9786724016020885
2018-07-09,1.004315322404152
2018-07-10,1.000902218774588
2018-07-11,0.9685134950123901
2018-07-12,1.0067368106228778
2018-07-13,1.0286205093486203
2018-07-16,1.031196041517988
2018-07-17,1.043970234222134
2018-07-18,1.0389085731767638
2018-07-19,1.0274415221551494
2018-07-20,1.0483875834436183
2018-07-23,1.0482629706371942
2018-07-24,1.0615355044938029
2018-07-25,1.0613209781121669
2018-07-26,1.0310958907233434
2018-07-27,1.038405448998586
2018-07-30,1.0169467078895296
2018-07-31,1.026375140478488
2018-08-01,0.9974840597918583
2018-08-02,0.9833357002954675
2018-08-03,0.9468251873847037
2018-08-06,0.9273988250699529
2018-08-07,0.9714429524315281
2018-08-08,0.9580588540387124
2018-08-09,0.99953869641329
2018-08-10,1.014425248595523
2018-08-13,1.029172071277901
2018-08-14,1.016709281986186
2018-08-15,0.9863670484849556
2018-08-16,0.9779193670614325
2018-08-17,0.9580886829543348
2018-08-20,0.9691873275315123
2018-08-21,0.987953147626698
2018-08-22,0.9806614127614947
2018-08-23,0.9924757989911915
2018-08-24,0.9938091350902153
2018-08-27,1.0274231887194074
2018-08-28,1.0245267511812208
2018-08-29,1.0212826180519095
2018-08-30,1.0011493191242664
2018-08-31,0.9973605605987634
2018-09-03,0.9941888508199423
2018-09-04,1.0163365520091263
2018-09-05,0.9943131662869308
2018-09-06,0.9844703672514751
2018-09-07,0.9806201032338648
2018-09-10,0.9509099883307262
2018-09-11,0.9532402866148297
2018-09-12,0.9395208595941756
2018-09-13,0.9377570601126864
2018-09-14,0.9185339781908115
2018-09-17,0.909242712394186
2018-09-18,0.9399258621561779
2018-09-19,0.9588475008974879
2018-09-20,0.9620261766319503
2018-09-21,0.9794746811337625
2018-09-25,0.9733891805009913
2018-09-26,0.9935736960073419
2018-09-27,0.9964803963215312
2018-09-28,1.008362949645473
2018-10-08,0.9618061002138222
2018-10-09,0.9484431443490848
2018-10-10,0.9416674277600955
2018-10-11,0.8818608933977968
2018-10-12,0.8945279393231206
2018-10-15,0.8848083098315415
2018-10-16,0.8681620763519363
2018-10-17,0.8826854957512544
2018-10-18,0.8554978671624732
2018-10-19,0.8822257649912071
2018-10-22,0.9262978442821009
2018-10-23,0.8956644916575751
2018-10-24,0.8863692443072712
2018-10-25,0.8644651720401902
2018-10-26,0.8653473885550758
2018-10-29,0.8432378727703146
2018-10-30,0.8469854827078985
2018-10-31,0.8765895146259574
2018-11-01,0.8867643959667486
2018-11-02,0.9340710800725384
2018-11-05,0.9213860046595314
2018-11-06,0.9157727841393737
2018-11-07,0.9118774628331274
2018-11-08,0.9013093714438261
2018-11-09,0.8967582571513617
2018-11-12,0.9163923435408977
2018-11-13,0.9183389202872471
2018-11-14,0.9075701121700188
2018-11-15,0.9245496036163185
2018-11-16,0.9252245054076632
2018-11-19,0.926685779818675
2018-11-20,0.8984945650081094
2018-11-21,0.9015345412830208
2018-11-22,0.8990068185787295
2018-11-23,0.8741687464517446
2018-11-26,0.8674604314477896
2018-11-27,0.8690056866482346
2018-11-28,0.8906495322389887
2018-11-29,0.8746252888348963
2018-11-30,0.8936813765769918
2018-12-03,0.9261449542672409
2018-12-04,0.9269304446918344
2018-12-05,0.9252109868339203
2018-12-06,0.896119268903083
2018-12-07,0.8896483701635253
2018-12-10,0.8801699151006234
2018-12-11,0.8853728027999022
2018-12-12,0.8889352993470956
2018-12-13,0.9048474058776942
2018-12-14,0.8891138123870296
2018-12-17,0.883621486401053
2018-12-18,0.8753184096580323
2018-12-19,0.859025117192658
