code,name,union_calendar_days,observed_quote_days,missing_quote_days,phantom_nonzero_return_days_prevented,nontradable_union_month_ends
600031,三一重工,2097,2097,0,0,0
002008,大族激光,2097,2097,0,0,0
002920,德赛西威,2097,2097,0,0,0
600588,用友网络,2097,2097,0,0,0
600519,贵州茅台,2097,2097,0,0,0
601088,中国神华,2097,2087,10,10,0
601877,正泰电器,2097,2097,0,0,0
600276,恒瑞医药,2097,2097,0,0,0
