label_old,start_old,end_old,final_multiple_old,final_capital_rmb_old,total_return_old,cagr_old,max_drawdown_old,sharpe_old,worst_calendar_year_old,best_calendar_year_old,trades_old,avg_cash_weight_old,total_turnover_old,low_invalid_decisions_old,mechanical_low_invalid_actions_old,variant,label_fixed,start_fixed,end_fixed,final_multiple_fixed,final_capital_rmb_fixed,total_return_fixed,cagr_fixed,max_drawdown_fixed,sharpe_fixed,worst_calendar_year_fixed,best_calendar_year_fixed,trades_fixed,avg_cash_weight_fixed,total_turnover_fixed,low_invalid_decisions_fixed,mechanical_low_invalid_actions_fixed,blocked_nontradable_rebalance_decisions,cagr_delta,max_drawdown_delta,sharpe_delta,avg_cash_weight_delta,total_turnover_delta
current_v31_baseline,2018-01-01,2026-08-24,2.356401528759279,2356401.528759279,1.356401528759279,0.1042502001099869,-0.2390036216782093,0.742182266551253,-0.0887818492791201,0.5116075168930645,102.0,0.4353471407441854,2.201653074323575,148.0,115.0,current_v31_baseline,current_v31_baseline,2018-01-01,2026-08-24,2.4970022759006603,2497002.27590066,1.4970022759006603,0.1116792398379991,-0.23900362167821032,0.7874595258982128,-0.08878184927911958,0.5116075168930654,103.0,0.434459944711406,2.247209151239269,148.0,115.0,0.0,0.0074290397280122045,-1.0269562977782698e-15,0.04527725934695981,-0.0008871960327794248,0.045556076915693744
true_buyhold,2018-01-01,2026-08-24,2.0747697572708983,2074769.7572708984,1.0747697572708983,0.0881077973839143,-0.5092263024511492,0.4766713001527773,-0.2671695547731667,0.818853796781551,,,,,,true_buyhold,true_buyhold,2018-01-01,2026-08-24,2.0747697572708983,2074769.7572708982,1.0747697572708983,0.08810779738391439,-0.5092263024511492,0.4766713001527773,-0.26716955477316673,0.818853796781551,,,,,,,8.326672684688674e-17,0.0,0.0,,
v31_1_confidence_gate_only,2018-01-01,2026-08-24,2.217617353349075,2217617.353349075,1.217617353349075,0.0965222497737539,-0.1824640668229818,0.7808759894426691,-0.066061989740032,0.4302505197844433,93.0,0.4792842263324494,2.0758960121179517,148.0,0.0,v31_1_confidence_gate_only,v31_1_confidence_gate_only,2018-01-01,2026-08-24,2.33753169933687,2337531.69933687,1.33753169933687,0.10322349776143103,-0.18246406682298255,0.8284797414859687,-0.06606198974003186,0.4302505197844446,94.0,0.4783775039586263,2.118801864142609,148.0,0.0,0.0,0.006701247987677128,-7.494005416219807e-16,0.047603752043299585,-0.0009067223738230545,0.04290585202465724
v32_candidate,2018-01-01,2026-08-24,2.182974530475974,2182974.530475974,1.182974530475974,0.0945266256752384,-0.1821486035139217,0.7554918304883554,-0.066061989740032,0.4413484517461539,94.0,0.468993856321287,2.045033757029688,148.0,0.0,v32_candidate,v32_candidate,2018-01-01,2026-08-24,2.3046584894723874,2304658.4894723874,1.3046584894723874,0.10141723962631866,-0.18214860351392215,0.8031658091022547,-0.06606198974003186,0.4413484517461579,95.0,0.4678605990056427,2.0877149097352454,148.0,0.0,0.0,0.00689061395108026,-4.440892098500626e-16,0.047673978613899215,-0.0011332573156442871,0.0426811527055575
