strategy,date,code,name,action,valuation_confidence,tradable_today,sell_confirmation_count,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
v32_candidate,2018-01-31,601088,中国神华,BUY_A_LEVEL,MEDIUM,True,0,0.6749101632822907,21.736226238845457,14.67,0.0,0.09375,0.09375,9.375e-05
v32_candidate,2018-02-28,601088,中国神华,BUY_FULL_MARGIN,MEDIUM,True,0,0.6178625421186887,21.736226238845457,13.43,0.08651120845143007,0.125,0.038488791548569934,3.8488791548569936e-05
v32_candidate,2018-03-30,601088,中国神华,BUY_FULL_MARGIN,MEDIUM,True,0,0.4609803668799306,25.142068584059224,11.59,0.10975378787878798,0.125,0.015246212121212022,1.5246212121212022e-05
v32_candidate,2018-04-27,002008,大族激光,BUY_A_LEVEL,MEDIUM,True,0,0.7017861729401181,63.49512389695117,44.56,0.0,0.09375,0.09375,9.375e-05
v32_candidate,2018-05-31,601088,中国神华,BUY_FULL_MARGIN,HIGH,True,0,0.3614351894435175,31.37491957398944,11.34,0.12047293768200198,0.125,0.004527062317998015,4.5270623179980155e-06
v32_candidate,2018-06-29,601088,中国神华,BUY_FULL_MARGIN,HIGH,True,0,0.3531483156114792,31.37491957398944,11.08,0.12294783649880815,0.125,0.0020521635011918476,2.0521635011918475e-06
v32_candidate,2018-07-31,601088,中国神华,BUY_FULL_MARGIN,HIGH,True,0,0.3419929085298892,31.37491957398944,10.73,0.12281821872351469,0.125,0.0021817812764853145,2.1817812764853146e-06
v32_candidate,2018-08-31,002008,大族激光,BUY_A_LEVEL,HIGH,True,0,0.6788021702726269,61.49066963536076,41.74,0.08919740635163746,0.09375,0.004552593648362538,4.552593648362538e-06
v32_candidate,2018-09-28,002008,大族激光,BUY_A_LEVEL,HIGH,True,0,0.657498125158656,61.49066963536076,40.43,0.08989918082668671,0.09375,0.0038508191733132857,3.850819173313286e-06
v32_candidate,2018-10-31,002008,大族激光,BUY_FULL_MARGIN,MEDIUM,True,0,0.4771317037001161,61.66012396965112,29.42,0.0701746687144829,0.125,0.0548253312855171,5.48253312855171e-05
