strategy,date,code,name,action,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
ROUND5_5Y_15X_single_002241,2018-11-30,002241,歌尔股份,BUY_STAGED,0.8404618756565184,6.900967394231163,5.8,0.0,0.5,0.5,0.0005
ROUND5_5Y_15X_single_002241,2018-12-28,002241,歌尔股份,BUY_STAGED,0.795540637474877,6.900967394231163,5.49,0.48627103631532315,0.5,0.013728963684676854,1.3728963684676854e-05
ROUND5_5Y_15X_single_002241,2019-01-31,002241,歌尔股份,BUY_STAGED,0.7593138324896822,6.900967394231163,5.24,0.4883504193849021,0.5,0.01164958061509791,1.164958061509791e-05
ROUND5_5Y_15X_single_002241,2019-04-30,002241,歌尔股份,CORE_ONLY,2.0911996556546955,4.432862244852381,9.27,0.6388697450034451,0.25,-0.38886974500344507,0.0003888697450034451
ROUND5_5Y_15X_single_002241,2019-07-31,002241,歌尔股份,CORE_ONLY,2.341602203419174,4.432862244852381,10.38,0.2717989002356639,0.25,-0.021798900235663887,2.1798900235663887e-05
ROUND5_5Y_15X_single_002241,2019-08-30,002241,歌尔股份,CORE_ONLY,3.6475106621349296,3.2542742433143026,11.87,0.2759823296907696,0.25,-0.02598232969076958,2.5982329690769578e-05
ROUND5_5Y_15X_single_002241,2019-09-30,002241,歌尔股份,CORE_ONLY,5.005724404901264,3.2542742433143026,16.29,0.31387283236994223,0.25,-0.06387283236994223,6.387283236994223e-05
ROUND5_5Y_15X_single_002241,2019-10-31,002241,歌尔股份,CORE_ONLY,5.31301258199772,3.2542742433143026,17.29,0.2613361547762999,0.25,-0.0113361547762999,1.13361547762999e-05
ROUND5_5Y_15X_single_002241,2019-11-29,002241,歌尔股份,CORE_ONLY,5.56191600544585,3.2542742433143026,18.1,0.2586822924110331,0.25,-0.008682292411033077,8.682292411033076e-06
ROUND5_5Y_15X_single_002241,2019-12-31,002241,歌尔股份,CORE_ONLY,5.724778739306971,3.2542742433143026,18.63,0.25545043192102035,0.25,-0.005450431921020349,5.450431921020349e-06
ROUND5_5Y_15X_single_002241,2020-01-23,002241,歌尔股份,CORE_ONLY,6.858672112792893,3.2542742433143026,22.32,0.28538550057537404,0.25,-0.03538550057537404,3.538550057537404e-05
ROUND5_5Y_15X_single_002241,2020-06-30,002241,歌尔股份,CORE_ONLY,5.97118267622518,4.717658381506478,28.17,0.29612109744560017,0.25,-0.04612109744560017,4.612109744560017e-05
ROUND5_5Y_15X_single_002241,2020-07-31,002241,歌尔股份,CORE_ONLY,8.79885668761474,4.717658381506478,41.51,0.3293921599746072,0.25,-0.07939215997460719,7.93921599746072e-05
ROUND5_5Y_15X_single_002241,2020-10-30,002241,歌尔股份,CORE_ONLY,7.32732709567624,6.028119043036054,44.17,0.26182572614107896,0.25,-0.011825726141078963,1.1825726141078964e-05
ROUND5_5Y_15X_single_002241,2021-08-31,002241,歌尔股份,CORE_ONLY,2.9836255633146025,15.249902856259428,45.5,0.25560361777428237,0.25,-0.005603617774282366,5.6036177742823655e-06
ROUND5_5Y_15X_single_002241,2021-11-30,002241,歌尔股份,CORE_ONLY,2.817016058121136,18.118462567104473,51.04,0.2721552735416444,0.25,-0.022155273541644427,2.2155273541644428e-05
ROUND5_5Y_15X_single_002241,2021-12-31,002241,歌尔股份,CORE_ONLY,2.9285045463148016,18.118462567104473,53.06,0.25734794839460684,0.25,-0.00734794839460684,7.34794839460684e-06
ROUND5_5Y_15X_single_002241,2022-10-31,002241,歌尔股份,BUY_STAGED,0.8473987895099427,24.592907445680837,20.84,0.11576491500944369,0.5,0.3842350849905563,0.00038423508499055634
ROUND5_5Y_15X_single_002241,2022-11-30,002241,歌尔股份,BUY_A_LEVEL,0.7034548492572942,24.592907445680837,17.3,0.4535920293654957,0.75,0.2964079706345043,0.0002964079706345043
ROUND5_5Y_15X_single_002241,2022-12-30,002241,歌尔股份,BUY_A_LEVEL,0.6501874589378112,24.592907445680837,15.99,0.7349471426382717,0.75,0.015052857361728345,1.5052857361728344e-05
ROUND5_5Y_15X_single_002241,2023-08-31,002241,歌尔股份,CORE_ONLY,3.142790863059,4.639188745066136,14.58,0.732295328980411,0.25,-0.48229532898041105,0.00048229532898041104
ROUND5_5Y_15X_single_002241,2023-09-28,002241,歌尔股份,CORE_ONLY,3.24194613034344,4.639188745066136,15.04,0.25586934331405237,0.25,-0.0058693433140523665,5.869343314052367e-06
ROUND5_5Y_15X_single_002241,2023-10-31,002241,歌尔股份,CORE_ONLY,5.883962911379961,2.9384957485982843,17.29,0.27703893606793806,0.25,-0.027038936067938057,2.7038936067938058e-05
ROUND5_5Y_15X_single_002241,2023-12-29,002241,歌尔股份,CORE_ONLY,6.898087230403228,2.9384957485982843,20.27,0.28098142500693085,0.25,-0.03098142500693085,3.0981425006930853e-05
ROUND5_5Y_15X_single_002241,2024-07-31,002241,歌尔股份,CORE_ONLY,6.300202462865876,3.314179206631714,20.88,0.25560044069041493,0.25,-0.005600440690414932,5.600440690414932e-06
ROUND5_5Y_15X_single_002241,2024-09-30,002241,歌尔股份,CORE_ONLY,5.1189144771476345,4.3134145136770154,22.08,0.2606232294617564,0.25,-0.010623229461756423,1.0623229461756423e-05
ROUND5_5Y_15X_single_002241,2024-10-31,002241,歌尔股份,CORE_ONLY,4.3404709058641116,5.266709648742358,22.86,0.2565656565656568,0.25,-0.0065656565656567745,6.5656565656567745e-06
ROUND5_5Y_15X_single_002241,2024-11-29,002241,歌尔股份,CORE_ONLY,4.744897985019429,5.266709648742358,24.99,0.2670727797370952,0.25,-0.0170727797370952,1.7072779737095202e-05
ROUND5_5Y_15X_single_002241,2024-12-31,002241,歌尔股份,CORE_ONLY,4.8075557015082815,5.266709648742358,25.32,0.2524678432545618,0.25,-0.0024678432545617857,2.4678432545617856e-06
ROUND5_5Y_15X_single_002241,2025-01-27,002241,歌尔股份,CORE_ONLY,5.177805844396952,5.266709648742358,27.27,0.2641673931996513,0.25,-0.014167393199651324,1.4167393199651324e-05
ROUND5_5Y_15X_single_002241,2025-02-28,002241,歌尔股份,CORE_ONLY,5.301222558693176,5.266709648742358,27.92,0.2544427230474801,0.25,-0.004442723047480113,4.442723047480113e-06
ROUND5_5Y_15X_single_002241,2025-08-29,002241,歌尔股份,CORE_ONLY,4.056287615759344,8.968792020234888,36.38,0.30281338438488453,0.25,-0.05281338438488453,5.2813384384884535e-05
ROUND5_5Y_15X_single_002241,2025-09-30,002241,歌尔股份,CORE_ONLY,4.143255849412237,8.968792020234888,37.16,0.2539986329460015,0.25,-0.003998632946001501,3.998632946001502e-06
