date,close,pe_ttm,pb,pe_anchor,pb_anchor,ratio_universal,neutral_universal,report_date,fund_available_date,normalized_eps_round6,eps_growth_3y_round6,revenue_growth_3y_round6,realistic_growth_round6,neutral_value_round6,deduct_factor_round6,cash_conversion,normalized_owner_eps_round5,assumed_growth_round5,neutral_value_round5,quality_factor_round5,ratio_expectation,ratio_round5,market_implied_growth_round6,implied_growth_status,expectation_gap_round6,ret,code
2018-01-02,15.83,28.09705713,3.77351544,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.248997315172641,2.1975527632713425,0.20269804752002674,SOLVED,-0.20269804752002674,0.0,002241
2018-01-03,16.21,28.71350527,3.85630619,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.302984616484429,2.250305135352398,0.20887038841631356,SOLVED,-0.20887038841631356,0.024005053695514977,002241
2018-01-04,16.09,28.51883743,3.83016174,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.2859359950175486,2.233646491537328,0.20693541870150456,SOLVED,-0.20693541870150456,-0.007402837754472591,002241
2018-01-05,15.81,28.06461249,3.76915803,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.2461558782614945,2.1947763226354975,0.20236950785001323,SOLVED,-0.20236950785001323,-0.017402113113735185,002241
2018-01-08,15.34,27.30216348,3.66675894,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.179382110849546,2.129529967693139,0.1945390994906856,SOLVED,-0.1945390994906856,-0.029728020240354258,002241
2018-01-09,15.45,27.480609,3.69072468,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.195010013860853,2.144800391190287,0.19639091117538848,SOLVED,-0.19639091117538848,0.007170795306388422,002241
2018-01-10,15.21,27.09127333,3.63843579,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.1609127709270926,2.1114831035601465,0.1923351181157481,SOLVED,-0.1923351181157481,-0.015533980582524198,002241
2018-01-11,15.53,27.61038755,3.70815432,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.20637576150544,2.155906153733667,0.19773024307221138,SOLVED,-0.19773024307221138,0.02103879026955946,002241
2018-01-12,15.19,27.05882869,3.63407838,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.1580713340159456,2.1087066629243014,0.191994539672887,SOLVED,-0.191994539672887,-0.021893110109465597,002241
2018-01-15,14.85,26.50726983,3.56000244,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.109766906526451,2.061507172114936,0.18614204134619505,SOLVED,-0.18614204134619505,-0.022383146807109955,002241
2018-01-16,14.29,25.59881995,3.43799501,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.030206673014342,1.9837668343112749,0.17623413073260658,SOLVED,-0.17623413073260658,-0.037710437710437694,002241
2018-01-17,14.7,26.26393504,3.52732188,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.0884561296928505,2.040683867346098,0.18352159803102042,SOLVED,-0.18352159803102042,0.028691392582225417,002241
2018-01-18,14.51,25.95571098,3.4859265,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.0614624790369565,2.0143076813055703,0.18016756217266017,SOLVED,-0.18016756217266017,-0.01292517006802718,002241
2018-01-19,14.72,26.29637968,3.53167929,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.0912975666039975,2.043460307981943,0.18387237860654881,SOLVED,-0.18387237860654881,0.01447277739490005,002241
2018-01-22,14.72,26.29637968,3.53167929,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.0912975666039975,2.043460307981943,0.18387237860654881,SOLVED,-0.18387237860654881,0.0,002241
2018-01-23,14.38,25.74482082,3.45760335,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.0429931391145026,1.9962608171725778,0.17784981464141725,SOLVED,-0.17784981464141725,-0.02309782608695654,002241
2018-01-24,14.58,26.06926721,3.50117743,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.07140750822597,2.024025223531028,0.18140783918516507,SOLVED,-0.18140783918516507,0.013908205841446364,002241
2018-01-25,14.67,26.21526809,3.52078577,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.0841939743261304,2.0365192063923305,0.18299462004537476,SOLVED,-0.18299462004537476,0.006172839506172867,002241
2018-01-26,14.27,25.56637531,3.43363761,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,2.0273652361031957,1.9809903936754298,0.17587384447036547,SOLVED,-0.17587384447036547,-0.02726653033401505,002241
2018-01-29,13.41,24.17125585,3.24626906,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,1.9051834489238861,1.8616034463340936,0.15993363381191028,SOLVED,-0.15993363381191028,-0.060266292922214415,002241
2018-01-30,13.27,23.94414338,3.2157672,,,,,2017-09-30,2017-10-20,0.549689719999362,-0.14902954137957392,0.2529276920987127,0.0,7.038692262193667,0.901060986687378,1.6087896976873342,0.549689719999362,0.0,7.20346754106372,0.901060986687378,1.8852933905458589,1.8421683618831783,0.1572518385938247,SOLVED,-0.1572518385938247,-0.01043997017151388,002241
