label,start,end,final_multiple,final_capital_rmb,total_return,cagr,max_drawdown,sharpe,worst_calendar_year,best_calendar_year,trades,avg_cash_weight,total_turnover,group,variant
EXPECTATION_GAP_10Y_growth6,2018-01-02,2026-08-24,1.203168507157154,1203168.507157154,0.203168507157154,0.0216363492677424,-0.2002760721276523,0.3172079933479174,-0.1292217548550294,0.2159139491315647,90.0,0.802075639191618,1.982569892777311,growth6,expectation_gap_10y
ROUND5_5Y_15X_growth6,2018-01-02,2026-08-24,1.190814894536674,1190814.8945366738,0.1908148945366738,0.0204168068229173,-0.0947097372648488,0.4367368690250208,-0.06172314961678005,0.15106578939305249,51.0,0.9061507778529204,1.08652244778258,growth6,round5_5y_15x
UNIVERSAL_GEOMEAN_growth6,2018-01-02,2026-08-24,2.0070795409906865,2007079.5409906865,1.0070795409906863,0.0839678116024238,-0.4300512245030677,0.4897022653203464,-0.2347638142686994,0.2866777532852982,78.0,0.3935013066959214,2.6476227899984317,growth6,universal_geomean
TRUE_BUYHOLD_growth6,2018-01-02,2026-08-24,2.2141683562628582,2214168.3562628585,1.2141683562628582,0.0963567549664414,-0.4959953798008154,0.4575173472664026,-0.33407905786508907,0.6849364165835365,,,,growth6,true_buyhold
EXPECTATION_GAP_10Y_single_002179,2018-01-02,2026-08-24,1.5248396916219558,1524839.6916219555,0.5248396916219558,0.0500376965306101,-0.2793453724604965,0.4029935251032367,-0.07876227208976205,0.4092916124597188,12.0,0.6636971164101882,1.9940370020863936,single_002179,expectation_gap_10y
ROUND5_5Y_15X_single_002179,2018-01-02,2026-08-24,1.0,1000000.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,single_002179,round5_5y_15x
UNIVERSAL_GEOMEAN_single_002179,2018-01-02,2026-08-24,1.9826877556370928,1982687.7556370927,0.9826877556370928,0.082434982282735,-0.3663156991851802,0.4608284084233542,-0.09466732020893165,0.5991326986016023,11.0,0.3778583079310977,1.8878826654427223,single_002179,universal_geomean
TRUE_BUYHOLD_single_002179,2018-01-02,2026-08-24,2.0579800498753116,2057980.049875312,1.0579800498753116,0.0871141617631017,-0.4589608433734941,0.4205907469077408,-0.19090909090909114,1.0135814889336014,,,,single_002179,true_buyhold
EXPECTATION_GAP_10Y_single_002138,2018-01-02,2026-08-24,1.250463075451648,1250463.075451648,0.2504630754516481,0.0262051746635705,-0.269936487312599,0.2760473717183849,-0.025327963163858214,0.1419052781080159,18.0,0.8176026260996127,1.5564057771623712,single_002138,expectation_gap_10y
ROUND5_5Y_15X_single_002138,2018-01-02,2026-08-24,1.0,1000000.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,single_002138,round5_5y_15x
