date,nav,cash_weight,turnover,w_002179,w_002138,w_002241,w_002815,w_603019,w_600570
2025-02-11,1.1645613778130413,0.8356628240622503,0.0,0.03169249008587178,0.04196167680741448,0.043259056318959446,0.04742395272550393,0.0,0.0
2025-02-12,1.166635889253624,0.8341768487849974,0.0,0.03167907172105847,0.042882747781557165,0.0439217082393884,0.04733962347299855,0.0,0.0
2025-02-13,1.160847634354286,0.838336247563098,0.0,0.03129332449239611,0.04250714597068687,0.0417895744563381,0.04607370751748096,0.0,0.0
2025-02-14,1.1604524588652911,0.8386217309829848,0.0,0.03092412021337932,0.04226108882621127,0.04169758873309163,0.046495471244333036,0.0,0.0
2025-02-17,1.1607605363284197,0.8383991523827311,0.0,0.030820972653816496,0.04100239068140241,0.041914068291979245,0.04786341599007071,0.0,0.0
2025-02-18,1.1569635575316224,0.841150651152184,0.0,0.029943629035990026,0.04053179683557795,0.0414124026923286,0.0469615202839194,0.0,0.0
2025-02-19,1.1635847157927426,0.8363642428166909,0.0,0.030031539280630175,0.041586638098958364,0.04244792095099736,0.04956965885272327,0.0,0.0
2025-02-20,1.1660142782439975,0.834621554757176,0.0,0.030544629455217593,0.041745629013633656,0.04394512323345204,0.04914306354052065,0.0,0.0
2025-02-21,1.16895545335105,0.8325215875312018,0.0,0.03079345224723986,0.04232121832993145,0.044376837320575145,0.04998690457105176,0.0,0.0
2025-02-24,1.1659448247467972,0.8346712718489171,0.0,0.031242443990078642,0.04140692485781054,0.043977945608215475,0.048701413694978254,0.0,0.0
2025-02-25,1.1644627009330901,0.8357336383529135,0.0,0.03092086360561287,0.040489412030353715,0.04457829596625209,0.048277790044867874,0.0,0.0
2025-02-26,1.1680817461832798,0.8331443008650301,0.0,0.032180198372927675,0.04135841920610405,0.04377689362066282,0.04954018793527537,0.0,0.0
2025-02-27,1.1680100303049346,0.8331954559696735,0.0,0.0323279889941758,0.04164705220251551,0.044940403761659066,0.04788909907197617,0.0,0.0
2025-02-28,1.1560592068677262,0.8458356978759278,0.004030432490838738,0.03156147117031467,0.03926949762042423,0.041666666666666664,0.041666666666666664,0.0,0.0
2025-03-03,1.1559612632166931,0.8459073648418203,0.0,0.031382144509831074,0.03960319565950481,0.04105827796646328,0.042049017022380515,0.0,0.0
2025-03-04,1.1590794009560854,0.8436317177410544,0.0,0.0326806633883199,0.039771224086375914,0.04111155536846158,0.04280483941578823,0.0,0.0
2025-03-05,1.1600035556569441,0.8429596109928105,0.0,0.032740992325908484,0.039821843921306305,0.04098956542576604,0.043487987334208694,0.0,0.0
2025-03-06,1.1628392106047585,0.8409040021262362,0.0,0.033247001651403846,0.04057314569722186,0.041705621656558695,0.043570228868579426,0.0,0.0
2025-03-07,1.1625291867075238,0.841128254849454,0.0,0.034591618053675846,0.04022808613279399,0.040959876451503306,0.04309216451257286,0.0,0.0
2025-03-10,1.16202564628364,0.8414927408479705,0.0,0.034391070716574566,0.03979362905244029,0.04094793165791257,0.04337462772510203,0.0,0.0
2025-03-11,1.164372376761618,0.8397967570704805,0.0,0.03538006172161347,0.03989108525280546,0.04055424539067723,0.04437785056442341,0.0,0.0
2025-03-12,1.163290051100485,0.8405781044046677,0.0,0.035180452490646906,0.03959991052533543,0.04063646956634834,0.04400506301300162,0.0,0.0
2025-03-13,1.1608049259782909,0.8423776675506129,0.0,0.035359335562745155,0.03999997276278822,0.038880506901452165,0.043382517222401516,0.0,0.0
2025-03-14,1.1651398142613965,0.8392436118464657,0.0,0.035614711094136595,0.04155827953030752,0.039535445740552774,0.04404795178853747,0.0,0.0
2025-03-17,1.1663845812126339,0.8383479701096918,0.0,0.035636827833875916,0.04120015249134642,0.03953762791000583,0.04527742165508008,0.0,0.0
2025-03-18,1.1676805887519321,0.8374174885205624,0.0,0.035013853326926324,0.04123618823978709,0.04054277465472473,0.04578969525799945,0.0,0.0
2025-03-19,1.164926488937478,0.8393972970077561,0.0,0.03489023230503458,0.04019993879522827,0.040742295169976454,0.04477023672200454,0.0,0.0
2025-03-20,1.1637883513425527,0.8402181933672198,0.0,0.03520843133866935,0.03991110384790042,0.040337405129395515,0.04432486631681491,0.0,0.0
2025-03-21,1.1596160491153533,0.843241301095156,0.0,0.03505865085724913,0.03929999061928268,0.03942621425543508,0.04297384317287713,0.0,0.0
2025-03-24,1.1590254656756036,0.8436709761651938,0.0,0.03444551810966355,0.03933374505364849,0.040309657019024586,0.04224010365246958,0.0,0.0
2025-03-25,1.1574794660287528,0.8447978341955005,0.0,0.03501084596462218,0.03927630243896007,0.03918597995231208,0.0417290374486052,0.0,0.0
2025-03-26,1.1584431553522034,0.844095061124999,0.0,0.03517198008368264,0.0390650617043841,0.039406560758260684,0.04226133632867357,0.0,0.0
