date,TRUE_BUYHOLD_single_002138
2018-01-02,0.999
2018-01-03,1.0077690749493586
2018-01-04,1.0293544902093181
2018-01-05,1.0441944632005402
2018-01-08,1.0327272113436865
2018-01-09,1.0293544902093181
2018-01-10,1.0077690749493586
2018-01-11,1.0273308575286968
2018-01-12,0.9915800135043887
2018-01-15,0.9645982444294396
2018-01-16,0.958527346387576
2018-01-17,0.9767400405131668
2018-01-18,0.9504328156650911
2018-01-19,0.9423382849426063
2018-01-22,0.9342437542201214
2018-01-23,0.930196488858879
2018-01-24,0.9524564483457123
2018-01-25,0.9517819041188386
2018-01-26,0.9403146522619851
2018-01-29,0.925474679270763
2018-01-30,0.925474679270763
2018-01-31,0.8816293045239703
2018-02-01,0.8573457123565159
2018-02-02,0.8728602295746116
2018-02-05,0.8735347738014855
2018-02-06,0.8506002700877785
2018-02-07,0.8438548278190412
2018-02-08,0.8438548278190412
2018-02-09,0.8364348413234302
2018-02-12,0.8809547602970965
2018-02-13,0.9072619851451722
2018-02-14,0.9059128966914247
2018-02-22,0.9092856178257934
2018-02-23,0.9214274139095205
2018-02-26,0.968645509790682
2018-02-27,0.9592018906144497
2018-02-28,1.0334017555705606
2018-03-01,1.0529635381498985
2018-03-02,1.0401471978392978
2018-03-05,1.0482417285617824
2018-03-06,1.05498717083052
2018-03-07,1.0327272113436865
2018-03-08,1.0259817690749493
2018-03-09,1.0597089804186361
2018-03-12,1.0725253207292371
2018-03-13,1.0556617150573937
2018-03-14,1.0340762997974342
2018-03-15,1.0199108710330855
2018-03-16,1.0151890614449695
2018-03-19,1.0320526671168129
2018-03-20,1.0165381498987172
2018-03-21,1.0131654287643483
2018-03-22,1.0246326806212018
2018-03-23,0.9578528021607022
2018-03-26,0.9598764348413233
2018-03-27,0.988881836596894
2018-03-28,0.9774145847400405
2018-03-29,0.9780891289669142
2018-03-30,1.031378122889939
2018-04-02,1.1345833896016206
2018-04-03,1.135932478055368
2018-04-04,1.1150216070222823
2018-04-09,1.0941107359891964
2018-04-10,1.0880398379473328
2018-04-11,1.0934361917623228
2018-04-12,1.0887143821742067
2018-04-13,1.0934361917623228
2018-04-16,1.1237906819716408
2018-04-17,1.0907380148548278
2018-04-18,1.1062525320729235
2018-04-19,1.0833180283592165
2018-04-20,1.0563362592842673
2018-04-23,0.9936036461850101
2018-04-24,1.0779216745442268
2018-04-25,1.0435199189736664
