label,start,end,final_multiple,final_capital_rmb,total_return,cagr,max_drawdown,sharpe,worst_calendar_year,best_calendar_year,trades,avg_cash_weight,total_turnover,group,variant
EXPECTATION_GAP_10Y_growth6,2018-01-02,2026-08-24,1.2106897127332477,1210689.7127332476,0.21068971273324766,0.022373426992983392,-0.20235215636643566,0.319269563721389,-0.12970719869563174,0.22572009656504788,90.0,0.8021393046493882,1.9975078496594658,growth6,expectation_gap_10y
ROUND5_5Y_15X_growth6,2018-01-02,2026-08-24,1.2024166256167326,1202416.6256167325,0.20241662561673257,0.02156244107915528,-0.09612523499490377,0.43668522648328023,-0.06227220762362318,0.16074996479851467,51.0,0.9062273736002842,1.0991772664130055,growth6,round5_5y_15x
UNIVERSAL_GEOMEAN_growth6,2018-01-02,2026-08-24,2.011036664927101,2011036.6649271012,1.0110366649271012,0.08421493075830955,-0.43317128930904025,0.4867551215897466,-0.2410160593997539,0.29456820786110693,78.0,0.3924748373310287,2.6431435601006443,growth6,universal_geomean
TRUE_BUYHOLD_growth6,2018-01-02,2026-08-24,2.2114400221154433,2211440.0221154434,1.2114400221154433,0.09620032182379101,-0.49799802627069767,0.45583813419567376,-0.3360754481545071,0.6915023111854603,,,,growth6,true_buyhold
