date,close,pe_ttm,pb,pe_anchor,pb_anchor,ratio_universal,neutral_universal,report_date,fund_available_date,normalized_eps_round6,eps_growth_3y_round6,revenue_growth_3y_round6,realistic_growth_round6,neutral_value_round6,deduct_factor_round6,cash_conversion,normalized_owner_eps_round5,assumed_growth_round5,neutral_value_round5,quality_factor_round5,ratio_expectation,ratio_round5,market_implied_growth_round6,implied_growth_status,expectation_gap_round6,ret,code
2018-01-02,20.05,116.57024538,8.34948395,,,,,2017-09-30,2017-10-24,0.30647177488158306,-0.013874632284336719,0.3169039437111567,0.0,3.924323908481063,0.8797984152060592,-1.0351025337026396,,0.0,,,5.109160321009408,,0.42531584935116573,SOLVED,-0.42531584935116573,0.0,603019
2018-01-03,20.91,121.56285256,8.70708544,,,,,2017-09-30,2017-10-24,0.30647177488158306,-0.013874632284336719,0.3169039437111567,0.0,3.924323908481063,0.8797984152060592,-1.0351025337026396,,0.0,,,5.328306349740983,,0.4372469646357364,SOLVED,-0.4372469646357364,0.04289276807980036,603019
2018-01-04,20.89,121.47726501,8.70095513,,,,,2017-09-30,2017-10-24,0.30647177488158306,-0.013874632284336719,0.3169039437111567,0.0,3.924323908481063,0.8797984152060592,-1.0351025337026396,,0.0,,,5.323209930468155,,0.43697449576750513,SOLVED,-0.43697449576750513,-0.0009564801530368428,603019
2018-01-05,20.9,121.50579419,8.70299857,,,,,2017-09-30,2017-10-24,0.30647177488158306,-0.013874632284336719,0.3169039437111567,0.0,3.924323908481063,0.8797984152060592,-1.0351025337026396,,0.0,,,5.325758140104569,,0.4371107591879425,SOLVED,-0.4371107591879425,0.0004786979415987158,603019
2018-01-08,20.3,117.99670457,8.4516558,,,,,2017-09-30,2017-10-24,0.30647177488158306,-0.013874632284336719,0.3169039437111567,0.0,3.924323908481063,0.8797984152060592,-1.0351025337026396,,0.0,,,5.172865561919749,,0.42883040565657027,SOLVED,-0.42883040565657027,-0.028708133971291794,603019
2018-01-09,20.5,119.16640111,8.53543672,,,,,2017-09-30,2017-10-24,0.30647177488158306,-0.013874632284336719,0.3169039437111567,0.0,3.924323908481063,0.8797984152060592,-1.0351025337026396,,0.0,,,5.223829754648023,,0.4316144341211895,SOLVED,-0.4316144341211895,0.009852216748768461,603019
2018-01-10,19.49,113.31791842,8.11653212,,,,,2017-09-30,2017-10-24,0.30647177488158306,-0.013874632284336719,0.3169039437111567,0.0,3.924323908481063,0.8797984152060592,-1.0351025337026396,,0.0,,,4.966460581370241,,0.4172995374048898,SOLVED,-0.4172995374048898,-0.04926829268292687,603019
2018-01-11,20.09,116.79847885,8.36583145,,,,,2017-09-30,2017-10-24,0.30647177488158306,-0.013874632284336719,0.3169039437111567,0.0,3.924323908481063,0.8797984152060592,-1.0351025337026396,,0.0,,,5.119353159555062,,0.4258807891353852,SOLVED,-0.4258807891353852,0.030785017957927208,603019
2018-01-12,19.39,112.74733474,8.07566338,,,,,2017-09-30,2017-10-24,0.30647177488158306,-0.013874632284336719,0.3169039437111567,0.0,3.924323908481063,0.8797984152060592,-1.0351025337026396,,0.0,,,4.940978485006105,,0.4158465267538076,SOLVED,-0.4158465267538076,-0.03484320557491283,603019
2018-01-15,17.97,104.44534223,7.48102319,,,,,2017-09-30,2017-10-24,0.30647177488158306,-0.013874632284336719,0.3169039437111567,0.0,3.924323908481063,0.8797984152060592,-1.0351025337026396,,0.0,,,4.579132716635364,,0.3944594374998882,SOLVED,-0.3944594374998882,-0.07323362558019608,603019
