,0
2018-01-01,1.0
2018-01-02,1.0
2018-01-03,1.0058697446127747
2018-01-04,1.010131376882278
2018-01-05,1.0125629954095525
2018-01-08,1.0178007981110735
2018-01-09,1.0249295334614832
2018-01-10,1.029459306781987
2018-01-11,1.0289144617814598
2018-01-12,1.0336644239212156
2018-01-15,1.0337226516311955
2018-01-16,1.041853490763446
2018-01-17,1.0393196067623411
2018-01-18,1.0450202952927792
2018-01-19,1.0484400723100085
2018-01-22,1.0609668588915058
2018-01-23,1.0722248685656242
2018-01-24,1.0740039942251813
2018-01-25,1.067935101058105
2018-01-26,1.0719036375437596
2018-01-29,1.0525069598015953
2018-01-30,1.0412734155518384
2018-01-31,1.0461168356126547
2018-02-01,1.0387769636500066
2018-02-02,1.0449752789119542
2018-02-05,1.0456879567236002
2018-02-06,1.0150425661685751
2018-02-07,0.9909712797936879
2018-02-08,0.9815643241267495
2018-02-09,0.93963205469686
2018-02-12,0.951730696352034
2018-02-13,0.9628690701010252
2018-02-14,0.9705338428991919
2018-02-22,0.9915183266824078
2018-02-23,0.9960091999781768
2018-02-26,1.007588685328403
2018-02-27,0.9930469263965048
2018-02-28,0.9844010900814478
2018-03-01,0.9906260726559494
2018-03-02,0.9826442279580594
2018-03-05,0.9830444823006111
2018-03-06,0.9949023841800695
2018-03-07,0.9875845310993465
2018-03-08,0.9976021437583442
2018-03-09,1.0052512586849198
2018-03-12,1.009851003119097
2018-03-13,1.0009424081463991
2018-03-14,0.9965611399517689
2018-03-15,1.0021436604825413
2018-03-16,0.9924211008413415
2018-03-19,0.9967820627337519
2018-03-20,0.9976275877996801
2018-03-21,0.9935531160265412
2018-03-22,0.9835954436572287
2018-03-23,0.9553591634390657
2018-03-26,0.9492322872162531
2018-03-27,0.9573978672510967
2018-03-28,0.9401367764014346
2018-03-29,0.9526958573430893
2018-03-30,0.953784079418682
2018-04-02,0.9509512279318814
2018-04-03,0.9449721228722116
2018-04-04,0.9431085914986076
2018-04-09,0.9426354301914591
2018-04-10,0.9607995398542986
2018-04-11,0.9635323277554613
2018-04-12,0.9538175970500571
2018-04-13,0.9470918072388786
2018-04-16,0.9318544962923873
2018-04-17,0.917120928433496
2018-04-18,0.9214368739450816
