date,nav,cash_weight,turnover,w_601766,w_002444,w_002415,w_600536,w_000895,w_600188,w_600580,w_600809
2024-11-18,14.931184917388675,0.33273749654093343,0.0,0.0,0.18547727184273008,0.023926454524629024,0.0,0.04697754089127477,0.23873281680718794,0.030023863576929082,0.14212455581631567
2024-11-19,15.02731424790863,0.3306089836041778,0.0,0.0,0.19093897199005783,0.02405691061459499,0.0,0.04690593777383992,0.23851889858198658,0.03046923337890557,0.13850106405643725
2024-11-20,15.069012723006537,0.3296941333267661,0.0,0.0,0.19283440859608802,0.023998656667683377,0.0,0.04694216123162124,0.23671296357283403,0.031046014413045504,0.13877166219196171
2024-11-21,15.070642354252428,0.3296584825662592,0.0,0.0,0.1936689219973958,0.02382976875160701,0.0,0.047227588864954095,0.23734210396811783,0.030585026007731705,0.13768810784393443
2024-11-22,14.734545804959886,0.3371780274441366,0.0,0.0,0.19312889936499625,0.02369298417335589,0.0,0.04675553423967684,0.23522209860949467,0.029722440586391778,0.13430001558194807
2024-11-25,14.615233352835597,0.33993060321802837,0.0,0.0,0.1925739762663562,0.02354345438151957,0.0,0.04698744838448404,0.23275395085617762,0.03001751409192239,0.13419305280151184
2024-11-26,14.699632645520804,0.3379788603979519,0.0,0.0,0.1987762452651385,0.023408277473015524,0.0,0.046887857488598986,0.22806126266907709,0.029115327659202123,0.13577216904701594
2024-11-27,14.792380699363695,0.33585973689923754,0.0,0.0,0.19883710383161707,0.02360034991348749,0.0,0.04684755830982115,0.22929953398060451,0.029632134718469472,0.13592358234676266
2024-11-28,14.69152064225533,0.33816547726940915,0.0,0.0,0.1983741616810248,0.0235832574145244,0.0,0.04704146124931907,0.22734764714486463,0.029835564906039818,0.13565243033481805
2024-11-29,14.739000328000234,0.33707612315900715,0.0,0.0,0.19678763029104007,0.023728332171836477,0.0,0.047335483937118186,0.2269500121393679,0.030779294728039912,0.13734312357359038
2024-12-02,14.721543651555198,0.3374758250488773,0.0,0.0,0.19329947193780908,0.023875634395223826,0.0,0.04834751829589609,0.2285596532851164,0.03253356476340099,0.13590833227367627
2024-12-03,14.73143283463723,0.3372492781639185,0.0,0.0,0.19214880589526276,0.023672472556470998,0.0,0.04886699223676535,0.2304156605207638,0.03277181884306743,0.13487497178375116
2024-12-04,14.772638529686834,0.3363085802050675,0.0,0.0,0.1914674036701706,0.02335197115746345,0.0,0.04932341401894709,0.23311267948093578,0.032317291938439525,0.13411865952897606
2024-12-05,14.858026108883841,0.3343758486755595,0.0,0.0,0.19766940427912116,0.02325993785697663,0.0,0.048829485407736586,0.22911658027740647,0.0340140752963795,0.13273466820682017
2024-12-06,14.926864831206114,0.3328337963786746,0.0,0.0,0.19848501391194315,0.02386622139243897,0.0,0.04879284798649145,0.22954730320987357,0.03347217871585128,0.13300263840472695
2024-12-09,14.91261218105462,0.3331519005176937,0.0,0.0,0.19572124743271857,0.024384793930245657,0.0,0.04930082481290741,0.23109004210671544,0.03288752841567858,0.13346366278404068
2024-12-10,14.953679441236698,0.33223696611425946,0.0,0.0,0.19511190059873962,0.024862505099424923,0.0,0.04851714067581428,0.229135684019872,0.033822122257314076,0.1363136812345757
2024-12-11,14.979303121036722,0.33166863969956206,0.0,0.0,0.19391756020052292,0.02446026537406396,0.0,0.04916483454553558,0.23170800474628592,0.03309921222241284,0.13598148321161677
2024-12-12,15.142877120935097,0.3280859410087362,0.0,0.0,0.19969723943333048,0.02425396941896038,0.0,0.049129384534053994,0.22839056806264066,0.03236213286997355,0.1380807646723047
2024-12-13,14.875099746732896,0.3339920521133204,0.0,0.0,0.20278661095800685,0.024084058540283938,0.0,0.0490467383720488,0.22503937362029786,0.03199165440415102,0.1330595119918911
2024-12-16,14.733829429180002,0.33719442142871014,0.0,0.0,0.19795034202821885,0.02399180118062728,0.0,0.05076925812711845,0.22686223518778773,0.032168369766169526,0.13106357228136797
2024-12-17,14.75704906074124,0.33666385937678145,0.0,0.0,0.20142422363307436,0.024030473031816227,0.0,0.05043508019055217,0.22516797593089496,0.03110514909135615,0.13117323874552472
2024-12-18,14.814911483822547,0.3353489553566854,0.0,0.0,0.20310289236363982,0.024334151430123737,0.0,0.05066026537754967,0.22478806909536914,0.03119056466640048,0.1305751017102317
2024-12-19,14.776855308135346,0.3362126099364625,0.0,0.0,0.20660656302982972,0.024422261232780025,0.0,0.05085422377288799,0.2211935234898923,0.03121903369650648,0.12949178484164106
