strategy,date,code,name,action,valuation_confidence,sell_confirmation_count,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
current_v31_baseline,2018-01-31,002444,巨星科技,BUY_STAGED,HIGH,0,0.8226467495766419,13.067577311321372,10.75,0.0,0.0625,0.0625,6.25e-05
current_v31_baseline,2018-01-31,600188,兖矿能源,BUY_FULL_MARGIN,LOW,0,0.08622187844838984,20.180492832124024,1.74,0.0,0.125,0.125,0.000125
current_v31_baseline,2018-01-31,600809,山西汾酒,BUY_STAGED,LOW,0,0.8361752025265102,27.350727372562723,22.87,0.0,0.0625,0.0625,6.25e-05
current_v31_baseline,2018-02-28,600188,兖矿能源,BUY_FULL_MARGIN,LOW,0,0.028740626149463277,20.180492832124024,0.58,0.04656708188794816,0.125,0.07843291811205183,7.843291811205184e-05
current_v31_baseline,2018-02-28,600809,山西汾酒,BUY_FULL_MARGIN,LOW,0,0.5586688716486696,27.350727372562723,15.28,0.04745409565112924,0.125,0.07754590434887076,7.754590434887076e-05
current_v31_baseline,2018-03-30,000895,双汇发展,BUY_STAGED,MEDIUM,0,0.8197305666741742,15.273311145144156,12.52,0.0,0.0625,0.0625,6.25e-05
current_v31_baseline,2018-04-27,000895,双汇发展,BUY_STAGED,MEDIUM,0,0.8359783356305808,15.586528316157182,13.03,0.06033660933506887,0.0625,0.002163390664931132,2.1633906649311322e-06
current_v31_baseline,2018-08-31,000895,双汇发展,BUY_FULL_MARGIN,HIGH,0,0.607320664900647,18.63924719546941,11.32,0.09309628475681395,0.125,0.031903715243186054,3.190371524318605e-05
current_v31_baseline,2018-11-30,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,0,0.036722027277431055,59.36491423881175,2.18,0.07487741636753241,0.125,0.05012258363246759,5.012258363246759e-05
current_v31_baseline,2019-04-30,002444,巨星科技,BUY_A_LEVEL,MEDIUM,0,0.700288410220128,14.037073663563913,9.83,0.0906691976902864,0.09375,0.0030808023097135956,3.0808023097135956e-06
current_v31_baseline,2019-05-31,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,0,0.5471225829593676,14.037073663563913,7.68,0.08896613522311547,0.125,0.03603386477688453,3.603386477688453e-05
current_v31_baseline,2019-06-28,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,0,0.5841673411805747,14.037073663563913,8.2,0.09822634731070802,0.125,0.02677365268929198,2.677365268929198e-05
current_v31_baseline,2019-07-31,000895,双汇发展,BUY_FULL_MARGIN,MEDIUM,0,0.618004495855222,21.812139054661372,13.48,0.10011901941708494,0.125,0.02488098058291506,2.488098058291506e-05
