variant,date,code,name,action,underlying_v31_action,valuation_confidence,sell_confirmation_count,price_to_neutral,neutral_value,normalized_earnings,realistic_growth,market_implied_growth,expectation_gap
current_v31_baseline,2018-01-31,601766,中国中车,REDUCE_50,REDUCE_50,MEDIUM,0,1.639818579593727,5.396938484617384,0.2946454263726599,0.08765907547737362,0.21366050296125738,-0.12600142748388377
current_v31_baseline,2018-01-31,002444,巨星科技,BUY_STAGED,BUY_STAGED,HIGH,0,0.8226467495766419,13.067577311321372,0.58,0.13967608974746581,0.09060124697517907,0.04907484277228674
current_v31_baseline,2018-01-31,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,0,2.996285510691275,10.646515455945428,0.8314442345180199,0.0,0.27835537216111217,-0.27835537216111217
current_v31_baseline,2018-01-31,600536,中国软件,CORE_ONLY,CORE_ONLY,LOW,0,9.998559289228472,0.7901138325509289,0.061704281875676774,0.0,0.6229554687210428,-0.6229554687210428
current_v31_baseline,2018-01-31,000895,双汇发展,HOLD,HOLD,MEDIUM,0,0.9566669234032894,15.480832082407792,1.208982284741026,0.0,0.0,0.0
current_v31_baseline,2018-01-31,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,LOW,0,0.08622187844838984,20.180492832124024,0.7294244441897623,0.19229927014998305,0.0,0.19229927014998305
current_v31_baseline,2018-01-31,600580,卧龙电驱,CORE_ONLY,CORE_ONLY,LOW,0,7.3079273312681385,0.7676595217356248,0.05995070274974458,0.0,0.5288090671629333,-0.5288090671629333
current_v31_baseline,2018-01-31,600809,山西汾酒,BUY_STAGED,BUY_STAGED,LOW,0,0.8361752025265102,27.350727372562723,0.9372176207333156,0.2061503268588642,0.1600010730764419,0.046149253782422295
current_v31_baseline,2018-02-28,601766,中国中车,REDUCE_50,REDUCE_50,MEDIUM,0,1.5064096104064408,5.396938484617384,0.2946454263726599,0.08765907547737362,0.19160760056625492,-0.1039485250888813
current_v31_baseline,2018-02-28,002444,巨星科技,BUY_STAGED,BUY_STAGED,HIGH,0,0.7981586602869185,13.067577311321372,0.58,0.13967608974746581,0.08308458043982825,0.056591509307637566
