,true_buyhold
2018-01-01,1.0
2018-01-02,0.999
2018-01-03,1.0381928123043194
2018-01-04,1.0437656156398019
2018-01-05,1.0132193683566215
2018-01-08,1.143875583607752
2018-01-09,1.1216288283948341
2018-01-10,1.1353610619981807
2018-01-11,1.0725071083970303
2018-01-12,1.081501087419106
2018-01-15,0.9805787526805404
2018-01-16,1.01662331367428
2018-01-17,1.0172562410713966
2018-01-18,1.074012914283831
2018-01-19,1.1017822981486485
2018-02-05,1.2680027680160355
2018-02-06,1.1071131725415497
2018-02-07,0.990966336197917
2018-02-08,0.9037298478856015
2018-02-09,0.7757872497557586
2018-02-12,0.837599813720389
2018-02-13,0.8653406065844867
2018-02-14,0.9281359194661511
2018-02-22,0.9886426252989421
2018-02-23,1.0253370427550519
2018-02-26,1.0422012508648903
2018-02-27,0.9218437613581436
2018-02-28,0.8994648014886956
2018-03-01,0.9130332051893898
2018-03-02,0.8630474912290729
2018-03-05,0.8061863357226579
2018-03-06,0.9055036097372521
2018-03-07,0.8334755551938291
2018-03-08,0.8582301547268621
2018-03-09,0.862799161244998
2018-03-12,0.8886386500986082
2018-03-13,0.8635321873962661
2018-03-14,0.8784509987016952
2018-03-15,0.8787035358239271
2018-03-16,0.809786951702209
2018-03-19,0.7585756511674977
2018-03-20,0.7690257537149758
2018-03-21,0.7521370071480311
2018-03-22,0.7578172318977711
2018-03-23,0.6076746239747813
2018-03-26,0.6419349549550722
2018-03-27,0.6771073051045589
2018-03-28,0.6258772985562047
2018-03-29,0.7016257377974207
2018-03-30,0.7389921862179178
2018-04-02,0.7100245567867954
2018-04-03,0.6811116666373735
2018-04-04,0.6827644133439607
2018-04-09,0.6673933636236231
2018-04-10,0.7536153711266259
2018-04-11,0.730114248602857
2018-04-12,0.7222156449161262
2018-04-13,0.7375083007959952
2018-04-16,0.6563028346034698
2018-04-17,0.6243140882834621
2018-04-18,0.6630163106750013
2018-04-19,0.7541313924434724
2018-04-20,0.7502232472832134
2018-04-23,0.7857825029235537
2018-04-24,0.8603529283882818
2018-04-25,0.8412628342966926
2018-05-02,0.7438928214244265
2018-05-03,0.7804218835031549
2018-05-04,0.7449241278147914
2018-05-07,0.8631543117337203
2018-05-08,0.8741587365396485
2018-05-09,0.8859376143459802
2018-05-10,0.9352973358990482
2018-05-11,0.9658361143651482
2018-05-14,0.9728425973611955
2018-05-15,0.9721885593439429
2018-05-16,0.9369264851783082
2018-05-17,0.9366475466574955
2018-05-18,0.9859076020152419
2018-05-21,0.9806114545440354
2018-05-22,0.9685572176717994
2018-05-23,0.8270803558862282
2018-05-24,0.8146763332461632
2018-05-25,0.7740158243524756
2018-05-28,0.8045195221601298
2018-05-29,0.8129853924477229
2018-05-30,0.7544926633601853
2018-05-31,0.8218964479611989
2018-06-01,0.8220056388383103
2018-06-04,0.8893936123115477
2018-06-05,0.9204330153787784
2018-06-06,0.9226724868697588
2018-06-07,0.9227853155183762
2018-06-08,0.8884669354171689
2018-06-11,0.883610626653421
2018-06-12,0.9534910410591376
2018-06-13,0.910041161646331
2018-06-14,0.9355475257289949
2018-06-15,0.926790864813772
2018-06-19,0.7889095092037332
2018-06-20,0.832741054048694
2018-06-21,0.8246165073709045
2018-06-22,0.8424209608802192
2018-06-25,0.7984234378888287
2018-06-26,0.7621804879831637
2018-06-27,0.7266402321775981
2018-06-28,0.680557771627622
2018-06-29,0.753745698866376
2018-07-02,0.6842030656086567
2018-07-03,0.6819659481278161
2018-07-04,0.6561170232096236
2018-07-05,0.5857617130120856
2018-07-06,0.5475399485723077
2018-07-09,0.6288988655084243
2018-07-10,0.63654504005369
2018-07-11,0.5816625670234504
2018-07-12,0.6501405063911831
2018-07-13,0.6577479143603403
2018-07-16,0.6905110290083653
2018-07-17,0.6558662760796957
2018-07-18,0.6159044741086013
2018-07-19,0.6144119076140627
2018-07-20,0.6392203595746111
2018-07-23,0.6651057212259266
2018-07-24,0.736275597346007
2018-07-25,0.720734098472568
2018-07-26,0.6905411493781971
2018-07-27,0.6853027682615052
2018-07-30,0.6750066382355357
2018-07-31,0.6618033949684378
2018-08-01,0.5897507331345324
2018-08-02,0.5409876497469401
2018-08-03,0.5058749514837189
2018-08-06,0.480384940815695
2018-08-07,0.5568718330562671
2018-08-08,0.4946455881138158
2018-08-09,0.5664579123642252
2018-08-10,0.5789266559863128
2018-08-13,0.5994243528784727
2018-08-14,0.6045927671286669
2018-08-15,0.540154076370615
2018-08-16,0.4991663397407716
2018-08-17,0.47673442962718876
2018-08-20,0.5084909234101527
2018-08-21,0.52613650958104
2018-08-22,0.5161415080072086
2018-08-23,0.5251969276015362
2018-08-24,0.511835953457741
2018-08-27,0.5645300069225951
2018-08-28,0.5766940885572834
2018-08-29,0.5613165684015732
2018-08-30,0.5265581927708138
2018-08-31,0.5087784538823543
2018-09-03,0.4956884871325575
2018-09-04,0.5306913243357446
2018-09-05,0.4937444583567825
2018-09-06,0.4596282202770075
2018-09-07,0.4787151212102321
2018-09-10,0.43919336191985536
2018-09-11,0.42426652310311563
2018-09-12,0.3966684999105938
2018-09-13,0.4237864538623028
2018-09-14,0.41853409474767345
2018-09-17,0.3983571415032205
2018-09-18,0.4414999094434723
2018-09-19,0.46513869081637266
2018-09-20,0.4641425105517693
2018-09-21,0.5409951537856774
2018-09-25,0.5217316749179558
2018-09-26,0.5384775378597337
2018-09-27,0.531771719391959
2018-09-28,0.5555718607498955
2018-10-08,0.4627857911420194
2018-10-09,0.49171444082948457
2018-10-10,0.4938829815457867
2018-10-11,0.4089255831030632
2018-10-12,0.42712407173434086
2018-10-15,0.34446925058322486
2018-10-16,0.3048237661765697
2018-10-17,0.35473046927881785
2018-10-18,0.2859203598200963
2018-10-19,0.32882422533039773
2018-10-22,0.4247219064445493
2018-10-23,0.3368648925133468
2018-10-24,0.35296574768738875
2018-10-25,0.35585373089632616
2018-10-26,0.35943071671416194
2018-10-29,0.21873160574667444
2018-10-30,0.2136499658249385
2018-10-31,0.2518346337973719
2018-11-01,0.26539359935060824
2018-11-02,0.33525325035987114
2018-11-05,0.3187762819544623
2018-11-06,0.30682862999952804
2018-11-07,0.2895391941404361
2018-11-08,0.28948270073079535
2018-11-09,0.2731523491772467
2018-11-12,0.29821571749427833
2018-11-13,0.3158103547023319
2018-11-14,0.30827643971244345
2018-11-15,0.323986005816044
2018-11-16,0.33515702604479225
2018-11-19,0.33749708955520347
2018-11-20,0.2847670337761347
2018-11-21,0.27972015310076326
2018-11-22,0.2792133208234987
2018-11-23,0.22608993213694964
2018-11-26,0.19153533885319493
2018-11-27,0.1913819598166548
2018-11-28,0.21615581241611612
2018-11-29,0.1883280746656932
2018-11-30,0.23114050291173624
2018-12-03,0.3106042250529164
2018-12-04,0.31368308981981063
2018-12-05,0.31269249929297877
2018-12-06,0.27650487554201014
2018-12-07,0.2850899564631194
2018-12-10,0.2647175557141995
2018-12-11,0.262861022793229
2018-12-12,0.27046249723214505
2018-12-13,0.29218102742517366
2018-12-14,0.258274854219819
2018-12-17,0.2569303183654424
2018-12-18,0.23899835478821235
2018-12-19,0.21900233701761324
2018-12-20,0.21608682469087223
2018-12-21,0.19542746252943496
2018-12-24,0.20877500298726281
2018-12-25,0.17851291138238173
2018-12-26,0.16400606418308478
2018-12-27,0.14270000967089636
2018-12-28,0.13302619737327342
2019-01-02,0.11593245226186984
2019-01-03,0.08734535162486529
2019-01-04,0.13884490443068562
2019-01-07,0.16544792020481783
