quant_rank,code,stock_name,industry,industry_source,industry_update_date,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
63,002458,益生股份,A03畜牧业,baostock.query_stock_industry,2026-07-06,2026-07-10,8.84,0.2304,0.432,13.7709,8.4,9.23,9.37,9.05,2.5328,-0.7225,WEAK,0.57,9.1891,-14.9601,449409506.3,61.9915,PRIORITY_RESEARCH,,,
66,000566,海南海药,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,4.95,0.6272,0.152,33.4232,4.72,4.67,5.36,5.99,8.8751,0.1,MEDIUM,0.62,29.296,-12.083,708800608.9,61.2213,PRIORITY_RESEARCH,,,
67,000756,新华制药,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,14.36,0.2584,0.18,20.1674,13.48,13.79,14.68,15.56,3.3938,-0.3552,WEAK,1.06,16.4906,-6.2793,275341755.15,61.0542,PRIORITY_RESEARCH,,,
68,000301,东方盛虹,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,12.55,0.5888,0.84,50.2994,12.17,12.32,12.09,10.74,2.4404,0.9902,MEDIUM,0.81,6.7856,8.0214,478469362.45,60.578,PRIORITY_RESEARCH,,,
69,002675,东诚药业,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,12.83,0.1856,0.18,4.8203,12.66,12.92,13.3,14.37,0.4681,-0.8912,WEAK,0.49,2.9133,-11.7314,123335642.8,60.2953,PRIORITY_RESEARCH,,,
70,002100,天康生物,C13农副食品加工业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.45,0.1464,0.18,10.6346,6.27,6.94,7.12,7.09,0.7711,-1.4731,WEAK,0.29,0.9078,-21.208,156645782.65,60.2905,PRIORITY_RESEARCH,,,
73,002329,皇氏集团,C14食品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,3.25,0.1104,0.076,22.6415,2.99,3.8,3.85,3.84,-0.1836,-1.6398,WEAK,0.19,3.5278,-29.7211,151527002.0,59.5403,PRIORITY_RESEARCH,,,
74,002127,南极电商,L72商务服务业,baostock.query_stock_industry,2026-07-06,2026-07-10,2.82,0.1032,0.188,7.6336,2.72,2.91,3.0,3.33,-0.0734,-0.0114,WEAK,0.12,2.7482,-4.4338,86749801.55,59.3959,PRIORITY_RESEARCH,,,
78,000848,承德露露,C15酒、饮料和精制茶制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,7.93,0.1136,0.108,8.4815,7.75,8.24,8.27,8.53,0.8592,-0.004,WEAK,0.22,1.9443,-8.7763,93526234.6,59.218,PRIORITY_RESEARCH,,,
79,000516,国际医学,Q84卫生,baostock.query_stock_industry,2026-07-06,2026-07-10,4.1,0.02,0.092,6.2176,4.0,4.29,4.65,4.84,0.0125,-1.5939,WEAK,0.14,4.9067,-17.753,105945691.85,59.1847,PRIORITY_RESEARCH,,,
80,000800,一汽解放,C36汽车制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.14,0.0216,0.108,4.9573,6.12,6.36,6.59,6.83,0.807,-0.8445,WEAK,0.19,0.6825,-18.7992,117599640.7,59.1419,PRIORITY_RESEARCH,,,
81,002152,广电运通,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,10.27,0.2576,0.1,12.1179,9.78,10.81,11.83,12.55,0.0819,-1.3952,WEAK,0.4,6.1159,-18.4204,280052919.3,58.8893,PRIORITY_RESEARCH,,,
82,002728,特一药业,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,9.56,0.3072,0.444,19.5,8.8,9.31,10.47,10.39,2.9056,-1.5915,WEAK,0.66,15.5595,-16.7273,223977657.75,58.8709,PRIORITY_RESEARCH,,,
83,002698,博实股份,C34通用设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,12.49,0.2224,0.08,11.9176,12.16,13.1,14.31,15.4,0.629,-0.637,WEAK,0.72,7.2035,-14.513,251957523.1,58.8508,PRIORITY_RESEARCH,,,
84,003020,立方制药,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,18.74,0.1256,0.12,27.8308,15.77,19.14,22.34,25.43,1.7976,-3.1973,WEAK,0.97,21.0928,-26.1874,82183834.1,58.8158,PRIORITY_RESEARCH,,,
85,002737,葵花药业,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,12.53,0.036,0.18,11.7752,12.18,12.64,13.11,14.33,-0.0123,0.1465,WEAK,0.55,1.7319,-1.3062,69961720.6,58.6707,PRIORITY_RESEARCH,,,
86,000989,九芝堂,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,8.16,0.1872,0.108,7.6517,8.05,8.61,8.82,9.61,0.9785,-1.2819,WEAK,0.33,3.4388,-17.7175,97423920.15,58.6581,PRIORITY_RESEARCH,,,
87,002019,亿帆医药,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,9.87,0.012,0.056,5.5615,9.83,10.56,11.71,12.77,-0.1117,-2.2453,WEAK,0.42,-1.3109,-25.0291,122765148.45,58.5213,SECONDARY_RESEARCH,,falling_knife,falling_knife
88,002567,唐人神,C13农副食品加工业,baostock.query_stock_industry,2026-07-06,2026-07-10,3.61,0.0208,0.104,13.1661,3.42,3.77,4.03,4.41,1.3938,-1.1201,WEAK,0.16,5.8108,-16.8124,86140703.8,58.433,PRIORITY_RESEARCH,,,
89,000545,金浦钛业,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,2.68,0.2864,0.22,15.5172,2.58,2.71,2.98,2.96,2.9976,-1.1776,WEAK,0.19,14.2064,-16.5649,209742075.45,58.4228,PRIORITY_RESEARCH,,,
91,002601,龙佰集团,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,16.0,0.052,0.084,14.86,16.39,16.33,18.18,18.23,2.7751,-0.7316,NONE,0.85,9.7231,-13.0574,835288364.7,58.2666,PRIORITY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
92,000650,仁和药业,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,5.26,0.0208,0.076,5.4108,5.21,5.43,5.67,5.86,0.3657,-0.8882,WEAK,0.17,1.2232,-14.3653,85794026.1,58.201,PRIORITY_RESEARCH,,,
93,002867,周大生,F51批发业,baostock.query_stock_industry,2026-07-06,2026-07-10,11.86,0.088,0.084,6.3677,11.83,12.31,12.31,12.76,-0.1857,0.1586,WEAK,0.3,-2.3125,-3.6691,71517732.2,58.1238,PRIORITY_RESEARCH,,,
94,002840,华统股份,C13农副食品加工业,baostock.query_stock_industry,2026-07-06,2026-07-10,7.85,0.0104,0.052,9.0278,7.81,9.81,10.05,10.33,-0.1087,-4.0868,WEAK,0.46,-3.7953,-42.9134,172018508.85,58.1063,SECONDARY_RESEARCH,,falling_knife,falling_knife
95,002262,恩华药业,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,19.94,0.3064,0.1,9.3801,19.3,20.45,21.83,23.25,0.8253,-1.0372,WEAK,0.76,3.8025,-14.0849,222046034.75,57.9159,SECONDARY_RESEARCH,,,
96,000788,北大医药,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,5.23,0.068,0.072,8.7318,5.17,5.62,5.96,6.22,-0.1833,-2.0139,WEAK,0.24,1.8449,-19.2546,88211949.45,57.8979,SECONDARY_RESEARCH,,,
98,002500,山西证券,J67资本市场服务,baostock.query_stock_industry,2026-07-06,2026-07-10,5.3,0.2056,0.116,7.7236,5.28,5.36,5.62,5.97,1.6766,-0.4336,WEAK,0.17,5.9766,-11.1239,195505900.55,57.7939,SECONDARY_RESEARCH,,,
99,002032,苏 泊 尔,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,42.45,0.02,0.064,7.197,41.6,45.09,44.73,47.29,-0.0348,-0.4573,WEAK,1.28,-0.7661,-10.8903,75110948.7,57.7671,SECONDARY_RESEARCH,,,
100,000799,酒鬼酒,C15酒、饮料和精制茶制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,39.66,0.036,0.04,5.2269,40.43,41.95,45.88,52.27,-1.2904,-0.7785,NONE,2.28,3.916,-12.8614,625367260.8,57.7055,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
105,000050,深天马Ａ,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,7.75,0.1016,0.056,5.4422,9.02,8.34,8.81,9.1,-0.1162,-0.0679,NONE,0.78,-0.1359,-10.9476,913701902.55,57.4916,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
106,002511,中顺洁柔,C22造纸和纸制品业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.98,0.1384,0.104,6.079,6.88,7.56,8.02,8.08,0.5041,-1.5556,WEAK,0.2,1.9436,-19.725,78880944.6,57.3673,SECONDARY_RESEARCH,,,
107,000012,南  玻Ａ,C30非金属矿物制品业,baostock.query_stock_industry,2026-07-06,2026-07-10,4.17,0.0184,0.092,14.5604,4.59,4.33,4.49,4.62,0.1199,-0.3107,NONE,0.34,0.895,-12.5835,493382521.0,57.1897,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
111,000576,甘化科工,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,7.13,0.144,0.064,9.5238,7.1,8.04,9.25,10.02,0.233,-2.1619,WEAK,0.43,-0.3194,-30.0079,94389384.65,56.91,SECONDARY_RESEARCH,,,
112,002920,德赛西威,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,88.98,0.0584,0.08,13.2061,84.82,97.29,108.2,113.08,-1.5718,-1.616,NONE,3.79,2.7837,-20.2919,821920588.1,56.8492,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
114,000001,平安银行,J66货币金融服务,baostock.query_stock_industry,2026-07-06,2026-07-10,10.45,0.1352,0.036,3.9801,10.53,10.89,10.94,11.42,-1.5198,-0.4572,NONE,0.23,-8.833,-10.0345,1181144218.1,56.7133,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
115,002594,比亚迪,C36汽车制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,90.0,0.02,0.1,15.0895,85.72,93.81,95.27,117.24,-1.0236,-1.1534,NONE,3.38,-1.0882,-18.1028,4353500681.0,56.6809,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
