actionability_rank,quant_rank,proximity_rank,code,stock_name,industry,classification,tomorrow_status,tier,actionability_score,latest_trade_date,latest_close,price_percentile_5y,pullback_entry_low,pullback_entry_high,pullback_stop_price,pullback_logic_invalidation_price,pullback_target_1,pullback_target_2,pullback_real_reward_risk,pullback_status,breakout_trigger_price,breakout_required_volume,breakout_max_chase_price,breakout_stop_price,breakout_logic_invalidation_price,breakout_target_1,breakout_target_2,breakout_real_reward_risk,breakout_status,theoretical_target_1,theoretical_target_2,real_resistance_target_1,real_resistance_target_2,real_reward_risk_ratio,preferred_plan,pullback_initial_position_pct,pullback_max_position_pct,breakout_initial_position_pct,breakout_max_position_pct,max_loss_pct_of_risk_capital,industry_evidence_status,company_evidence_status,exit_profile_status,hard_logic_level,main_logic,top_risks,missing_conditions,upgrade_conditions,cancel_conditions,evidence_urls,data_warnings,disclaimer
1,89,17,000545,金浦钛业,化工,DEEP_WATCH,WATCH_ONLY,TIER_C,62.6156,2026-07-10,2.68,0.2980849292256453,2.65,2.68,2.57,2.51,2.89,2.91,1.91,READY,2.93,964991.0,2.97,2.7,2.7,3.09,3.15,0.7,REAL_RR_BELOW_1_8,3.28,3.51,3.09,3.15,1.91,pullback,0.0,0.0,0.0,0.0,0.0,STALE,PARTIALLY_VERIFIED,NOT_AVAILABLE,NONE,TIER_C：5年价格分位约 0.2981，趋势 MEDIUM，硬逻辑 NONE，行业证据 STALE，公司证据 PARTIALLY_VERIFIED。仅作为人工复核研究对象。,valuation_failed;balanced_exit_profile_not_available;industry_evidence_stale,industry_evidence_medium;hard_logic_medium;valuation_not_failed;financial_passed;exit_profile_passed,补齐非过期且无冲突的行业证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,高开超过最高追价；低开跌破对应止损；新增重大负面公告；行业或公司证据被证伪；停牌或流动性异常；价格数据不一致,https://www.ndrc.gov.cn/fgsj/tjsj/cyfz/zzyfz/202405/t20240510_1377050.html;http://static.cninfo.com.cn/finalpage/2026-04-28/1225202546.PDF,,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
2,59,1,000567,海德股份,UNRESOLVED,DEEP_WATCH,WATCH_ONLY,TIER_C,60.1656,2026-07-10,5.97,0.17423616845582163,5.9,5.97,5.78,5.7,6.11,6.33,0.74,REAL_RR_BELOW_1_8,6.36,285363.0,6.45,6.03,6.03,6.6,6.84,0.73,REAL_RR_BELOW_1_8,6.84,7.16,6.6,6.84,0.74,pullback,0.0,0.0,0.0,0.0,0.0,MISSING,PARTIALLY_VERIFIED,NOT_AVAILABLE,WEAK,TIER_C：5年价格分位约 0.1742，趋势 MEDIUM，硬逻辑 WEAK，行业证据 MISSING，公司证据 PARTIALLY_VERIFIED。仅作为人工复核研究对象。,balanced_exit_profile_not_available;industry_evidence_missing;industry_alias_unresolved,industry_evidence_medium;hard_logic_medium;exit_profile_passed,补齐非过期且无冲突的行业证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,高开超过最高追价；低开跌破对应止损；新增重大负面公告；行业或公司证据被证伪；停牌或流动性异常；价格数据不一致,http://static.cninfo.com.cn/finalpage/2026-04-29/1225249165.PDF,,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
3,13,4,000963,华东医药,UNRESOLVED,DEEP_WATCH,WATCH_ONLY,TIER_C,58.1523,2026-07-10,29.38,0.07349298100743187,29.17,29.38,28.5,28.05,30.01,31.06,0.72,REAL_RR_BELOW_1_8,31.28,272094.0,31.75,29.49,29.49,33.73,35.23,1.37,REAL_RR_BELOW_1_8,33.97,35.76,33.73,35.23,1.37,breakout,0.0,0.0,0.0,0.0,0.0,MISSING,PARTIALLY_VERIFIED,NOT_AVAILABLE,WEAK,TIER_C：5年价格分位约 0.0735，趋势 WEAK，硬逻辑 WEAK，行业证据 MISSING，公司证据 PARTIALLY_VERIFIED。仅作为人工复核研究对象。,balanced_exit_profile_not_available;industry_evidence_missing;below_ma250_deep_risk,trend_medium;industry_evidence_medium;hard_logic_medium;exit_profile_passed,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,高开超过最高追价；低开跌破对应止损；新增重大负面公告；行业或公司证据被证伪；停牌或流动性异常；价格数据不一致,http://static.cninfo.com.cn/finalpage/2026-04-24/1225168701.PDF,,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
4,80,19,000800,一汽解放,汽车,DEEP_WATCH,WATCH_ONLY,TIER_C,57.9409,2026-07-10,6.14,0.022295623451692816,6.07,6.14,5.98,5.93,6.21,6.39,0.44,REAL_RR_BELOW_1_8,6.43,229354.0,6.53,6.2,6.2,6.53,6.75,0.43,REAL_RR_BELOW_1_8,6.76,6.99,6.53,6.75,0.44,pullback,0.0,0.0,0.0,0.0,0.0,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,NOT_AVAILABLE,NONE,TIER_C：5年价格分位约 0.0223，趋势 WEAK，硬逻辑 NONE，行业证据 PARTIALLY_VERIFIED，公司证据 PARTIALLY_VERIFIED。仅作为人工复核研究对象。,valuation_failed;balanced_exit_profile_not_available;missing_financial_uncertain,trend_medium;hard_logic_medium;valuation_not_failed;financial_passed;exit_profile_passed,趋势企稳达到 MEDIUM 且不再持续创新低；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,高开超过最高追价；低开跌破对应止损；新增重大负面公告；行业或公司证据被证伪；停牌或流动性异常；价格数据不一致,https://www.miit.gov.cn/gxsj/tjfx/zbgy/qc/art/2026/art_fef11dfd78f644a98c67eb4df5b5469f.html;http://static.cninfo.com.cn/finalpage/2026-03-28/1225044034.PDF,,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
