code,stock_name,exchange,board,security_type,listing_status,listing_date,is_st,is_suspended,latest_trade_date,latest_close,avg_turnover_20d,industry,industry_source,industry_update_date,universe_source,exclusion_reason
000999,华润三九,SZSE,主板,A_SHARE,listed,2000-03-09,False,False,2026-07-10,23.76,264810824.9,C27医药制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001201,东瑞股份,SZSE,主板,A_SHARE,listed,2021-04-28,False,False,2026-07-10,11.75,33572753.25,A03畜牧业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001202,炬申股份,SZSE,主板,A_SHARE,listed,2021-04-29,False,False,2026-07-10,14.19,27224798.0,G58多式联运和运输代理业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001203,大中矿业,SZSE,主板,A_SHARE,listed,2021-05-10,False,False,2026-07-10,28.9,1207889163.2,B08黑色金属矿采选业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001205,盛航股份,SZSE,主板,A_SHARE,listed,2021-05-13,False,False,2026-07-10,13.31,91558870.8,G55水上运输业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001206,依依股份,SZSE,主板,A_SHARE,listed,2021-05-18,False,False,2026-07-10,20.07,166212753.8,C41其他制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001207,联科科技,SZSE,主板,A_SHARE,listed,2021-06-23,False,False,2026-07-10,15.49,95064889.45,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001208,华菱线缆,SZSE,主板,A_SHARE,listed,2021-06-24,False,False,2026-07-10,15.99,253050389.85,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001209,洪兴股份,SZSE,主板,A_SHARE,listed,2021-07-23,False,False,2026-07-10,16.29,33736736.05,C18纺织服装、服饰业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001210,金房能源,SZSE,主板,A_SHARE,listed,2021-07-29,False,False,2026-07-10,20.34,198921239.15,D44电力、热力生产和供应业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001211,双枪科技,SZSE,主板,A_SHARE,listed,2021-08-05,False,False,2026-07-10,21.41,186761394.95,C20木材加工和木、竹、藤、棕、草制品业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001212,中旗新材,SZSE,主板,A_SHARE,listed,2021-08-23,False,False,2026-07-10,39.07,355531055.75,C30非金属矿物制品业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001213,中铁特货,SZSE,主板,A_SHARE,listed,2021-09-08,False,False,2026-07-10,3.45,34845372.05,G53铁路运输业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001215,千味央厨,SZSE,主板,A_SHARE,listed,2021-09-06,False,False,2026-07-10,34.73,206355918.3,C14食品制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001216,华瓷股份,SZSE,主板,A_SHARE,listed,2021-10-19,False,False,2026-07-10,13.94,93241077.1,C30非金属矿物制品业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001217,华尔泰,SZSE,主板,A_SHARE,listed,2021-09-29,False,False,2026-07-10,8.59,41105022.75,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001218,丽臣实业,SZSE,主板,A_SHARE,listed,2021-10-15,False,False,2026-07-10,23.74,88010364.0,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001219,青岛食品,SZSE,主板,A_SHARE,listed,2021-10-21,False,False,2026-07-10,11.94,27750881.85,C14食品制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001220,世盟股份,SZSE,主板,A_SHARE,listed,2026-02-03,False,,2026-07-10,28.15,24433274.4,G54道路运输业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001221,悍高集团,SZSE,主板,A_SHARE,listed,2025-07-30,False,,2026-07-10,37.25,66250037.45,C33金属制品业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001222,源飞宠物,SZSE,主板,A_SHARE,listed,2022-08-18,False,False,2026-07-10,13.45,33731385.65,C41其他制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001223,欧克科技,SZSE,主板,A_SHARE,listed,2022-12-12,False,False,2026-07-10,37.31,192478458.7,C35专用设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001225,和泰机电,SZSE,主板,A_SHARE,listed,2023-02-22,False,False,2026-07-10,40.15,56199244.1,C34通用设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001226,拓山重工,SZSE,主板,A_SHARE,listed,2022-06-22,False,False,2026-07-10,45.43,86717572.1,C34通用设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001227,兰州银行,SZSE,主板,A_SHARE,listed,2022-01-17,False,False,2026-07-10,2.03,93096098.15,J66货币金融服务,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001228,永泰运,SZSE,主板,A_SHARE,listed,2022-04-29,False,False,2026-07-10,26.9,38053280.8,L72商务服务业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001229,魅视科技,SZSE,主板,A_SHARE,listed,2022-08-08,False,False,2026-07-10,47.56,241668767.6,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001230,劲旅环境,SZSE,主板,A_SHARE,listed,2022-07-15,False,False,2026-07-10,17.6,91444814.6,N78公共设施管理业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001231,农心科技,SZSE,主板,A_SHARE,listed,2022-08-19,False,False,2026-07-10,18.74,25755238.95,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001233,海安集团,SZSE,主板,A_SHARE,listed,2025-11-25,False,,2026-07-10,41.55,81360857.25,C29橡胶和塑料制品业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001234,泰慕士,SZSE,主板,A_SHARE,listed,2022-01-11,False,False,2026-07-10,20.03,40039587.25,C18纺织服装、服饰业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001236,弘业期货,SZSE,主板,A_SHARE,listed,2022-08-05,False,False,2026-07-10,6.99,98603046.75,J67资本市场服务,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001237,惠康科技,SZSE,主板,A_SHARE,listed,2026-05-22,False,,2026-07-10,59.16,356848789.7,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001238,浙江正特,SZSE,主板,A_SHARE,listed,2022-09-19,False,,2026-07-10,26.71,17569175.35,C21家具制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_liquidity
001239,永达股份,SZSE,主板,A_SHARE,listed,2023-12-12,False,,2026-07-10,12.76,43674799.3,C33金属制品业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001248,华润新能源,SZSE,主板,A_SHARE,listed,2026-07-02,False,,2026-07-10,14.5,7336959839.71,D44电力、热力生产和供应业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001255,博菲电气,SZSE,主板,A_SHARE,listed,2022-09-30,False,False,2026-07-10,24.39,38082193.6,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001256,炜冈科技,SZSE,主板,A_SHARE,listed,2022-12-05,False,False,2026-07-10,27.71,197439663.55,C35专用设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001257,盛龙股份,SZSE,主板,A_SHARE,listed,2026-03-31,False,,2026-07-10,25.16,1035712517.3,B09有色金属矿采选业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001258,立新能源,SZSE,主板,A_SHARE,listed,2022-07-27,False,False,2026-07-10,6.68,134110696.2,D44电力、热力生产和供应业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001259,利仁科技,SZSE,主板,A_SHARE,listed,2022-08-31,False,False,2026-07-10,59.81,216186923.45,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001260,坤泰股份,SZSE,主板,A_SHARE,listed,2023-02-16,False,False,2026-07-10,16.26,22055661.35,C36汽车制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001266,宏英智能,SZSE,主板,A_SHARE,listed,2022-02-28,False,False,2026-07-10,40.4,212237487.75,C40仪器仪表制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001267,汇绿生态,SZSE,主板,A_SHARE,listed,2021-11-17,False,False,2026-07-10,43.39,2275935975.7,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001268,联合精密,SZSE,主板,A_SHARE,listed,2022-06-30,False,False,2026-07-10,25.6,120838806.9,C34通用设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001269,欧晶科技,SZSE,主板,A_SHARE,listed,2022-09-30,False,False,2026-07-10,19.79,184304072.85,C42废弃资源综合利用业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001270,铖昌科技,SZSE,主板,A_SHARE,listed,2022-06-06,False,False,2026-07-10,166.3,1971964811.25,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001277,速达股份,SZSE,主板,A_SHARE,listed,2024-09-03,False,,2026-07-10,27.0,29660153.25,C43金属制品、机械和设备修理业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001278,一彬科技,SZSE,主板,A_SHARE,listed,2023-03-08,False,False,2026-07-10,15.02,44898489.35,C36汽车制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001279,强邦新材,SZSE,主板,A_SHARE,listed,2024-10-11,False,,2026-07-10,26.88,38585263.0,C23印刷和记录媒介复制业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
