quant_rank,code,stock_name,industry,industry_source,industry_update_date,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
715,001207,联科科技,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,15.49,0.2132,0.032,4.6622,16.07,18.09,22.77,23.35,-3.7487,-3.2342,NONE,0.87,-11.0428,-28.3158,95064889.45,41.139,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
716,001332,锡装股份,C33金属制品业,baostock.query_stock_industry,2026-07-06,2026-07-10,31.89,0.2022,0.004,0.0,39.82,52.38,54.68,51.86,-7.3734,-3.2746,NONE,1.7,-32.1202,-45.4983,118799938.25,41.1011,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
717,000550,江铃汽车,C36汽车制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,16.28,0.2848,0.016,0.618,16.86,17.69,17.88,19.09,-0.3575,-0.9378,NONE,0.52,-3.1203,-19.0193,63247543.4,41.0897,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
718,000910,大亚圣象,C20木材加工和木、竹、藤、棕、草制品业,baostock.query_stock_industry,2026-07-06,2026-07-10,5.37,0.0064,0.032,4.6784,5.46,6.25,6.87,7.37,-2.9568,-2.0877,NONE,0.21,-8.884,-27.8289,22730591.35,41.083,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
719,002942,新农股份,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,14.47,0.1536,0.012,2.1893,15.13,17.42,19.09,19.34,-2.4558,-2.203,NONE,0.63,-11.8242,-29.9229,26338283.6,41.0232,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
720,000528,柳    工,C35专用设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,7.9,0.4616,0.032,4.6358,8.0,8.89,9.85,10.65,-1.4361,-1.3844,NONE,0.3,-5.0868,-22.1421,289149015.4,40.9603,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
721,002732,燕塘乳业,C14食品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,12.75,0.0064,0.032,2.8226,13.04,14.64,15.92,16.68,-2.3774,-1.9002,NONE,0.46,-8.9196,-25.7301,20178954.2,40.9524,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
722,002331,皖通科技,I65软件和信息技术服务业,baostock.query_stock_industry,2026-07-06,2026-07-10,7.02,0.26,0.016,3.2353,7.58,8.56,8.79,8.7,-5.1499,-1.3156,NONE,0.35,-17.3396,-20.2611,86382666.95,40.8855,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
723,002300,太阳电缆,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.38,0.3168,0.116,4.7619,6.95,8.6,9.13,8.2,-4.7958,-2.866,NONE,0.27,-16.1306,-36.9205,112689207.85,40.8548,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
724,002617,露笑科技,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,8.44,0.5456,0.536,18.3731,9.34,8.81,8.64,8.48,2.3676,1.6591,NONE,0.7,2.5022,6.7652,2469215014.2,40.8267,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
725,001318,阳光乳业,C14食品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,10.18,0.0418,0.02,2.7245,10.42,11.93,13.28,14.01,-2.2648,-2.2609,NONE,0.37,-8.3428,-29.5257,21558100.2,40.8152,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
