date,BUYHOLD_semiconductor
2018-01-02,0.999
2018-01-03,0.9860171846462321
2018-01-04,1.0425087036375116
2018-01-05,1.0260280931332937
2018-01-08,1.0417914492825295
2018-01-09,1.0212414084159767
2018-01-10,1.0227622263487726
2018-01-11,1.0127428655632182
2018-01-12,1.0051692313232097
2018-01-15,0.9626215768948132
2018-01-16,0.9656650174222653
2018-01-17,0.9947981498193549
2018-01-18,0.9760317695991191
2018-01-19,0.9568723353340955
2018-01-22,0.9418427966418387
2018-01-23,0.9455348191673608
2018-01-24,0.9610206596437603
2018-01-25,0.9410750795565656
2018-01-26,0.9158563366811379
2018-01-29,0.9062918289824343
2018-01-30,0.9007398251889126
2018-01-31,0.8535999086581776
2018-02-01,0.8561073348803535
2018-02-02,0.8350972115240727
2018-02-05,0.8194871079585926
2018-02-06,0.7983220384518445
2018-02-07,0.8235346533666205
2018-02-08,0.8589426650331079
2018-02-09,0.8335974933895156
2018-02-12,0.8703144461345865
2018-02-13,0.8620909226904429
2018-02-14,0.8511373847331168
2018-02-22,0.885377828743701
2018-02-23,0.8876321241427471
2018-02-26,0.9381464595967577
2018-02-27,0.9399787855396976
2018-02-28,0.9384352448556859
2018-03-01,0.9561253247011129
2018-03-02,0.9294763869957048
2018-03-05,0.9866128421482679
2018-03-06,1.0065431067065063
2018-03-07,1.0301916506920905
2018-03-08,1.0187305571797258
2018-03-09,1.045215969976071
2018-03-12,1.1029198767009418
2018-03-13,1.0923564716914527
2018-03-14,1.0663170094681977
2018-03-15,1.0699273330961574
2018-03-16,1.0394813243880021
2018-03-19,1.0720565221701415
2018-03-20,1.069203003358386
2018-03-21,1.0464391358236662
2018-03-22,1.04057758112655
2018-03-23,1.0050781852439503
2018-03-26,1.0711469881004176
2018-03-27,1.1053679909837906
2018-03-28,1.0625297315560025
2018-03-29,1.0450830289626616
2018-03-30,1.0980151121327355
2018-04-02,1.1151709745091296
2018-04-03,1.0956321507321976
2018-04-04,1.081300240700945
2018-04-09,1.0559270638021627
2018-04-10,1.0703702976474887
2018-04-11,1.0587173302842383
2018-04-12,1.0368381283603607
2018-04-13,1.0451035536338746
2018-04-16,1.0490053429222106
2018-04-17,1.0399966245923977
2018-04-18,1.1276894783408415
2018-04-19,1.1022840621224106
2018-04-20,1.1146561209109744
2018-04-23,1.0532220189706851
2018-04-24,1.078288878859486
2018-04-25,1.0682342550947395
2018-04-26,1.063083478144568
2018-04-27,1.0255770452387973
2018-05-02,1.0222756681734935
2018-05-03,1.0054910633210603
2018-05-04,1.025753014414765
2018-05-07,1.031169912185379
2018-05-08,1.0205805669637988
2018-05-09,1.0159038345251357
2018-05-10,0.996380187316202
2018-05-11,0.9834200834122648
2018-05-14,0.9827102001875898
2018-05-15,0.9893291075486118
2018-05-16,0.9944003159852345
2018-05-17,0.9925722938341284
2018-05-18,0.9814907565801104
2018-05-21,1.0238974328987338
2018-05-22,1.0153687108701248
2018-05-23,1.0149512055379755
2018-05-24,0.9939754246463133
2018-05-25,0.9770451197115261
2018-05-28,0.9579025175716644
2018-05-29,0.9508650337573313
2018-05-30,0.9390220569862802
