date,BUYHOLD_combined
2018-01-02,0.999
2018-01-03,1.0011042265273182
2018-01-04,1.022711702370866
2018-01-05,1.0123098150095509
2018-01-08,1.0256559790106476
2018-01-09,1.018201849804671
2018-01-10,1.0092539883355285
2018-01-11,1.0157401495316811
2018-01-12,1.0027557471198096
2018-01-15,0.9711147747289383
2018-01-16,0.9782751877654036
2018-01-17,0.9787285286216993
2018-01-18,0.9801026090737542
2018-01-19,0.9765442141263284
2018-01-22,0.9834565909772952
2018-01-23,0.9908145497562181
2018-01-24,0.9920410173385577
2018-01-25,0.9986117857026544
2018-01-26,0.9820932914681867
2018-01-29,0.9799304423529316
2018-01-30,0.9764468830441198
2018-01-31,0.9488253942650714
2018-02-01,0.9296590340826125
2018-02-02,0.9364627877187303
2018-02-05,0.9250454088405636
2018-02-06,0.8837780651305989
2018-02-07,0.8906719258443497
2018-02-08,0.8986736762799067
2018-02-09,0.8534526427747854
2018-02-12,0.8769849720230395
2018-02-13,0.8762767307995152
2018-02-14,0.8843815512431505
2018-02-22,0.9174862238715977
2018-02-23,0.9272654864186566
2018-02-26,0.9593753052220341
2018-02-27,0.9504234415683426
2018-02-28,0.9541969736255737
2018-03-01,0.966123310322064
2018-03-02,0.9528943754796784
2018-03-05,0.9796957959422966
2018-03-06,0.990946043634543
2018-03-07,0.9886807708611091
2018-03-08,0.9874069531925935
2018-03-09,1.0036652721590114
2018-03-12,1.0352757718672307
2018-03-13,1.0319692908035936
2018-03-14,1.0249003589517982
2018-03-15,1.022328946427737
2018-03-16,1.0059881701912725
2018-03-19,1.0134079124109987
2018-03-20,1.0143390848960527
2018-03-21,1.010377789260985
2018-03-22,1.0134338319939862
2018-03-23,0.9734123552307963
2018-03-26,0.9959617642563464
2018-03-27,1.0185337348066346
2018-03-28,0.9908661774970664
2018-03-29,0.9912885060404905
2018-03-30,1.0064677063148588
2018-04-02,1.0071180415085343
2018-04-03,0.999124754895997
2018-04-04,0.9860765420847535
2018-04-09,0.9862669724934062
2018-04-10,1.00108605254492
2018-04-11,1.0032097414187944
2018-04-12,0.9887260156336537
2018-04-13,0.9893183108916651
2018-04-16,0.9916764914160163
2018-04-17,0.9651633048715804
2018-04-18,0.9859903930133829
2018-04-19,0.9889254522996478
2018-04-20,0.9793864347608677
2018-04-23,0.9579507169428599
2018-04-24,0.9757833393084214
2018-04-25,0.9690439520868228
2018-04-26,0.9460945728953198
2018-04-27,0.933266647076837
2018-05-02,0.9277737152319941
2018-05-03,0.9242210813718374
2018-05-04,0.9268704026080143
2018-05-07,0.9384713497414656
2018-05-08,0.9394939018671513
2018-05-09,0.9372850813207754
2018-05-10,0.9350508516352696
2018-05-11,0.9383232065743755
2018-05-14,0.9373855110642931
2018-05-15,0.9382621756647146
2018-05-16,0.9338486005309137
2018-05-17,0.9280517509813713
2018-05-18,0.928104533008911
2018-05-21,0.9479283176478218
2018-05-22,0.9402129725489139
2018-05-23,0.929806681181603
2018-05-24,0.9247294923643765
2018-05-25,0.9140658630414534
2018-05-28,0.8971753260719763
2018-05-29,0.8917704784488358
2018-05-30,0.8663281942197953
2018-05-31,0.8670893169953942
2018-06-01,0.8564424203386302
2018-06-04,0.8542438197058639
2018-06-05,0.8694062708598453
2018-06-06,0.8768963497173125
2018-06-07,0.8691797372142039
2018-06-08,0.8563385890049138
2018-06-11,0.8546961237469819
2018-06-12,0.8571892705747924
2018-06-13,0.8567080217645996
2018-06-14,0.8577656242217995
2018-06-15,0.851103911939133
2018-06-19,0.8137515101080698
2018-06-20,0.8077367951146694
2018-06-21,0.7816879071966369
2018-06-22,0.7878679345190547
2018-06-25,0.7792999309542553
2018-06-26,0.7895379494855191
2018-06-27,0.7909931363953006
2018-06-28,0.7820396316326094
2018-06-29,0.8094742220229394
2018-07-02,0.7980185726333721
2018-07-03,0.8071504658228136
2018-07-04,0.7929626566031447
2018-07-05,0.7739332464031635
2018-07-06,0.7749194030837351
2018-07-09,0.7864595915906164
2018-07-10,0.7956927909694913
2018-07-11,0.7764979479668646
2018-07-12,0.7968780413790373
2018-07-13,0.8077983847906998
2018-07-16,0.8081147301508614
2018-07-17,0.8131249294828922
2018-07-18,0.8004986607643676
2018-07-19,0.7908607940921055
2018-07-20,0.8001806506476563
2018-07-23,0.8179008584903824
2018-07-24,0.8360196858955488
2018-07-25,0.8388360844472537
2018-07-26,0.8270201255563193
2018-07-27,0.8216982480445952
2018-07-30,0.8085771867553845
2018-07-31,0.813498198656897
2018-08-01,0.8010689204045107
2018-08-02,0.7813709767024799
2018-08-03,0.7636538415566665
2018-08-06,0.7449694589550158
2018-08-07,0.7617283637314631
2018-08-08,0.7504047049562692
2018-08-09,0.7726675372947918
2018-08-10,0.7760629535879701
2018-08-13,0.77692666226475
2018-08-14,0.7726553937329738
2018-08-15,0.7664231062914493
2018-08-16,0.7606105265069915
2018-08-17,0.7505093973184568
2018-08-20,0.7596482126310221
2018-08-21,0.7643047770312081
2018-08-22,0.7518205720549082
2018-08-23,0.7569660460138335
2018-08-24,0.75550819146071
2018-08-27,0.7699281409691673
2018-08-28,0.7798816961729164
2018-08-29,0.7762788873668447
2018-08-30,0.7656165328995974
2018-08-31,0.7575695968943739
2018-09-03,0.7563723314904567
2018-09-04,0.7642712134747027
2018-09-05,0.7487266623757932
2018-09-06,0.746343120549226
2018-09-07,0.7406926936650307
2018-09-10,0.7362334778477855
2018-09-11,0.7412735526383084
2018-09-12,0.7502611829987913
2018-09-13,0.7701385537651788
2018-09-14,0.7666731679389369
2018-09-17,0.754949247072721
2018-09-18,0.7696019519762024
2018-09-19,0.7866148168036089
2018-09-20,0.7779326141661026
2018-09-21,0.7828383075675294
2018-09-25,0.7794605981411634
2018-09-26,0.7891768061308141
2018-09-27,0.7694999284122586
2018-09-28,0.784901708893308
2018-10-08,0.7515173937452718
2018-10-09,0.7537215693832217
2018-10-10,0.764315744085002
2018-10-11,0.7142027606369474
2018-10-12,0.7162669798983268
2018-10-15,0.7029308498013342
2018-10-16,0.6879071218098375
2018-10-17,0.6936009504716636
2018-10-18,0.6731536995438442
2018-10-19,0.6935218129952971
2018-10-22,0.7289610194922292
2018-10-23,0.7138784518396819
2018-10-24,0.7104146810021643
2018-10-25,0.7020528732870776
2018-10-26,0.7012779823896808
2018-10-29,0.6964721171844727
2018-10-30,0.7030704353662022
2018-10-31,0.7211829234150222
2018-11-01,0.7226617017922051
2018-11-02,0.7547937966003551
2018-11-05,0.751781314625075
2018-11-06,0.7466516401289752
2018-11-07,0.7500788441852678
2018-11-08,0.7359410266296058
2018-11-09,0.7299381687729232
2018-11-12,0.7471175663706117
2018-11-13,0.7484067957424966
2018-11-14,0.7593385006530877
2018-11-15,0.7673165479084297
2018-11-16,0.7846915014307343
2018-11-19,0.7848213839756877
2018-11-20,0.7629056231578255
2018-11-21,0.7621590158887929
2018-11-22,0.7574818143412105
2018-11-23,0.7276265685703182
2018-11-26,0.727576585262572
2018-11-27,0.7337244584057807
2018-11-28,0.7445225315999657
2018-11-29,0.7385814358286478
