date,BUYHOLD_grid_equipment
2018-01-02,0.999
2018-01-03,1.0096132103263054
2018-01-04,1.0027830501436346
2018-01-05,0.9990229353527037
2018-01-08,0.9940013533555513
2018-01-09,0.9901687618824715
2018-01-10,0.9756144169094153
2018-01-11,0.9819465718443253
2018-01-12,0.9714809563928882
2018-01-15,0.93718842071721
2018-01-16,0.929748006095319
2018-01-17,0.9297465024103506
2018-01-18,0.9458486516890608
2018-01-19,0.953466427702873
2018-01-22,0.9613365731015179
2018-01-23,0.962187188759454
2018-01-24,0.9665126554784457
2018-01-25,0.9690141342952586
2018-01-26,0.9597229237645086
2018-01-29,0.9527377930042688
2018-01-30,0.9679358665747929
2018-01-31,0.9271889036877389
2018-02-01,0.8993638336295959
2018-02-02,0.8947474779973768
2018-02-05,0.8778281774536922
2018-02-06,0.8427478583197786
2018-02-07,0.8435991697823663
2018-02-08,0.8535941555652248
2018-02-09,0.8263298631537631
2018-02-12,0.8372423929333065
2018-02-13,0.834982738481256
2018-02-14,0.8455369678825537
2018-02-22,0.8554382737114062
2018-02-23,0.8564649229362092
2018-02-26,0.8714116486392841
2018-02-27,0.8762379850704674
2018-02-28,0.8696715983531665
2018-03-01,0.8870102007552613
2018-03-02,0.878671256157481
2018-03-05,0.8805859708243227
2018-03-06,0.8857326980072127
2018-03-07,0.8785686037751301
2018-03-08,0.8818926384811415
2018-03-09,0.9047285585877513
2018-03-12,0.9200347065625339
2018-03-13,0.9157461215097022
2018-03-14,0.9073732618529128
2018-03-15,0.8936298902493598
2018-03-16,0.8967345786230341
2018-03-19,0.8926962202171456
2018-03-20,0.9068163659273043
2018-03-21,0.9208735463867029
2018-03-22,0.93978381662811
2018-03-23,0.9029455907631513
2018-03-26,0.8877274707679051
2018-03-27,0.9023201707514346
2018-03-28,0.8809595952051169
2018-03-29,0.8916046931257918
2018-03-30,0.8926199833623183
2018-04-02,0.8859533874522357
2018-04-03,0.8790895609529822
2018-04-04,0.8721793716765638
2018-04-09,0.8700773473108225
2018-04-10,0.8718469587364793
2018-04-11,0.8790121893059973
2018-04-12,0.8779077594785719
2018-04-13,0.8791027504776728
2018-04-16,0.8660173019013633
2018-04-17,0.8522930161894064
2018-04-18,0.8604857970566346
2018-04-19,0.8665009624560971
2018-04-20,0.851070428451011
2018-04-23,0.8495431285955374
2018-04-24,0.8618380121878069
2018-04-25,0.8611314902723148
2018-04-26,0.812987792964656
2018-04-27,0.8046366048342796
2018-05-02,0.8022737718921756
2018-05-03,0.8124072095663842
2018-05-04,0.8109593997552854
2018-05-07,0.8222640399330937
2018-05-08,0.8205348041483281
2018-05-09,0.8216869211457607
2018-05-10,0.8275647178763037
2018-05-11,0.8173681614418119
2018-05-14,0.8116296356478973
2018-05-15,0.8129295050357545
2018-05-16,0.8150213168052298
2018-05-17,0.8061947219971664
2018-05-18,0.8083359576879134
2018-05-21,0.82006191548378
2018-05-22,0.8138377656558182
2018-05-23,0.8072675546813595
2018-05-24,0.8029436074608748
2018-05-25,0.7998405149554432
2018-05-28,0.7839007203226382
2018-05-29,0.7805444643117211
2018-05-30,0.7500535590851001
2018-05-31,0.7593730390819229
2018-06-01,0.7520758274786439
2018-06-04,0.7460073708924047
2018-06-05,0.760265945137151
2018-06-06,0.76268486813498
2018-06-07,0.7587192109570476
2018-06-08,0.7406474021398076
2018-06-11,0.7410755285029782
2018-06-12,0.7426429641953701
2018-06-13,0.7343623037841506
