date,BUYHOLD_strategic_resources
2018-01-02,0.999
2018-01-03,1.0060377700888927
2018-01-04,1.0221982349524292
2018-01-05,1.0112009069428989
2018-01-08,1.0366901942619757
2018-01-09,1.0361893408163563
2018-01-10,1.0236902936095063
2018-01-11,1.0426758391027056
2018-01-12,1.0235367874681573
2018-01-15,1.0023864421998874
2018-01-16,1.0244555695931337
2018-01-17,1.0024635775922974
2018-01-18,1.0071441794397906
2018-01-19,1.0067467900594147
2018-01-22,1.0301894319494536
2018-01-23,1.0457460256302609
2018-01-24,1.032611044617723
2018-01-25,1.063778895766602
2018-01-26,1.0488178477876602
2018-01-29,1.0569833426574755
2018-01-30,1.039800268631873
2018-01-31,1.039908598899658
2018-02-01,1.0085078015599225
2018-02-02,1.0494049581822427
2018-02-05,1.047013930583594
2018-02-06,0.9819048396608872
2018-02-07,0.9770512637988615
2018-02-08,0.9588072480611262
2018-02-09,0.8823774809400267
2018-02-12,0.9053134993509572
2018-02-13,0.9117339016787107
2018-02-14,0.9328607667779206
2018-02-22,0.9838202230837145
2018-02-23,1.0072717222212315
2018-02-26,1.0382964085256348
2018-02-27,1.0082418079620763
2018-02-28,1.0251579670230322
2018-03-01,1.0273685931043302
2018-03-02,1.0209195288935873
2018-03-05,1.0439695958865793
2018-03-06,1.0535475009552187
2018-03-07,1.03535295498364
2018-03-08,1.0377190478461205
2018-03-09,1.0400483959977889
2018-03-12,1.0656787930712017
2018-03-13,1.068550487921584
2018-03-14,1.0766831805673946
2018-03-15,1.0794266296069688
2018-03-16,1.0565176815576989
2018-03-19,1.054735380960821
2018-03-20,1.0467514181827948
2018-03-21,1.0410763191037995
2018-03-22,1.0372882048675602
2018-03-23,0.9919150138045499
2018-03-26,1.012995643701376
2018-03-27,1.03362938155479
2018-03-28,1.0118306630773488
2018-03-29,1.016199631040965
2018-03-30,1.015631506995282
2018-04-02,1.0110596362586868
2018-04-03,1.010159038587323
2018-04-04,0.9930439849029037
2018-04-09,1.0127950676679502
2018-04-10,1.0389044008391382
2018-04-11,1.0464933553717912
2018-04-12,1.0259278689028728
2018-04-13,1.0202831280763707
2018-04-16,1.034896447803601
2018-04-17,0.9846908140793776
2018-04-18,0.9684407944023322
2018-04-19,0.9869337859816488
2018-04-20,0.9680076359658385
2018-04-23,0.9563575156869097
2018-04-24,0.9734132711448711
2018-04-25,0.9640117430428317
2018-04-26,0.9508440186775792
2018-04-27,0.9510985714192934
2018-05-02,0.9414947702002382
2018-05-03,0.9351565966521417
2018-05-04,0.9289747257038925
2018-05-07,0.944651257323733
2018-05-08,0.9559900827172959
2018-05-09,0.952649902749519
2018-05-10,0.9555928257902248
2018-05-11,0.9821061272809595
2018-05-14,0.985355536111947
2018-05-15,0.981498235104014
2018-05-16,0.9642883645382427
2018-05-17,0.9584857108807501
2018-05-18,0.9647384393926138
2018-05-21,0.9744958641922002
2018-05-22,0.9663020356383109
2018-05-23,0.945713224350547
2018-05-24,0.9512608749254863
2018-05-25,0.9387462052236177
2018-05-28,0.9232049080721717
2018-05-29,0.9173522040765436
2018-05-30,0.8873673886144493
2018-05-31,0.8872337896221524
2018-06-01,0.8859980809550145
2018-06-04,0.8807241541425953
2018-06-05,0.8905353293152294
2018-06-06,0.9116797360122261
2018-06-07,0.9042628299373552
2018-06-08,0.8919132162235902
2018-06-11,0.9017526297460753
2018-06-12,0.9067602800319292
2018-06-13,0.8960507656625784
2018-06-14,0.9000021826116387
2018-06-15,0.8938723440135866
2018-06-19,0.8538642331611261
2018-06-20,0.8426400268705012
2018-06-21,0.8245004519185839
2018-06-22,0.8295100284301004
2018-06-25,0.8232393349769909
2018-06-26,0.828684281203579
2018-06-27,0.8271409797600705
2018-06-28,0.8197580430874611
2018-06-29,0.8379617708710111
2018-07-02,0.817162356470662
2018-07-03,0.8157995494234254
2018-07-04,0.8093498428843933
2018-07-05,0.7853700567305604
2018-07-06,0.7814019160036737
2018-07-09,0.7956982180855975
2018-07-10,0.8196356120976728
2018-07-11,0.8004535313393506
2018-07-12,0.8122412070633859
2018-07-13,0.8218062278564282
2018-07-16,0.8224932620590122
2018-07-17,0.8124821577517666
2018-07-18,0.7988638530153279
2018-07-19,0.7847504313463665
2018-07-20,0.790519424265338
2018-07-23,0.8091604449721278
2018-07-24,0.8309108796055219
2018-07-25,0.8314421891217785
2018-07-26,0.817662668231132
2018-07-27,0.8116298419523669
2018-07-30,0.809239092471003
2018-07-31,0.8172258636975509
2018-08-01,0.794353028919574
2018-08-02,0.7658347698194103
2018-08-03,0.7516385477001508
2018-08-06,0.7216865548036995
2018-08-07,0.7428450151881156
2018-08-08,0.7343040671713745
2018-08-09,0.7557538962369098
2018-08-10,0.7543775980425951
2018-08-13,0.7520727512797928
2018-08-14,0.7544971709060824
2018-08-15,0.7571290492185008
2018-08-16,0.7556261134931781
2018-08-17,0.7378934177773048
2018-08-20,0.7468964515711704
2018-08-21,0.7526916835069533
2018-08-22,0.7355285654320063
2018-08-23,0.7364191805192882
2018-08-24,0.7341650780185441
2018-08-27,0.7519700188033448
2018-08-28,0.762516207943364
2018-08-29,0.7548820651104813
2018-08-30,0.7419792634193557
2018-08-31,0.734602967846978
2018-09-03,0.7332044636040701
2018-09-04,0.7398945848303048
2018-09-05,0.7216023043496211
2018-09-06,0.7211826253643208
2018-09-07,0.7219011616106242
2018-09-10,0.694094876932947
2018-09-11,0.6916479600593155
2018-09-12,0.694480375376066
2018-09-13,0.7055986094951298
2018-09-14,0.7130557159918427
2018-09-17,0.6946981698634486
2018-09-18,0.7068037341613594
2018-09-19,0.7220161132213203
2018-09-20,0.7247126025179552
2018-09-21,0.7371245652000407
2018-09-25,0.7356160425197391
2018-09-26,0.7350130785504607
2018-09-27,0.7264538416176584
2018-09-28,0.7363605646165418
2018-10-08,0.7132516921073855
2018-10-09,0.7276193655179946
2018-10-10,0.7294849903727307
2018-10-11,0.6795069429645453
2018-10-12,0.671713845595299
2018-10-15,0.6566543762374676
2018-10-16,0.6373084402301945
2018-10-17,0.6385199758845606
2018-10-18,0.6203349092390391
2018-10-19,0.6337575720989689
2018-10-22,0.663673110670638
2018-10-23,0.6495067770647432
2018-10-24,0.6556816469861954
2018-10-25,0.654927124624654
2018-10-26,0.6578659300015968
2018-10-29,0.6452656611982631
2018-10-30,0.6533670251561345
2018-10-31,0.6782086197758425
2018-11-01,0.6776806141250248
2018-11-02,0.69461200167153
