date,nav,cash_weight,turnover,w_601100,w_002747,w_002050,w_600845,w_002027,w_600489,w_600089,w_600887
2023-05-19,2.3027294901761284,0.37542829121702503,0.0,0.12744089488481894,0.0,0.02203879081258226,0.031388145017283015,0.06622313077379188,0.17610392733937683,0.13691608835774408,0.06446073159737803
2023-05-22,2.3130732971662566,0.3737494175783296,0.0,0.12988269730555818,0.0,0.022147900569957343,0.031094472702378393,0.0658062428851997,0.17531641012717533,0.13655560757222873,0.06544725125917267
2023-05-23,2.2831722037809556,0.37864414966170234,0.0,0.12891692948274017,0.0,0.022190982959859835,0.031154518590884993,0.06605642717390912,0.17146914814508224,0.1347727155079604,0.06679512847786087
2023-05-24,2.2808228647767703,0.379034168318234,0.0,0.13176731473909878,0.0,0.021801794879779443,0.031442686722038767,0.06538975163207016,0.1712840279516737,0.1338901245428136,0.06539013121429162
2023-05-25,2.28078048053204,0.3790412119934532,0.0,0.13314061145879028,0.0,0.02245232862956603,0.03178166574277724,0.06490114680827856,0.1691167288785307,0.13474380535840325,0.06482250113020079
2023-05-26,2.2753678801768276,0.3799428677725252,0.0,0.12759928007290422,0.0,0.02288205722007747,0.033104055360996816,0.06517827866716179,0.1724198806691302,0.1344670790175609,0.06440650121964354
2023-05-29,2.2679230971734037,0.3811900847561127,0.0,0.1269539453448487,0.0,0.02237702574448258,0.031170845256802616,0.06502278806024879,0.17389536827285584,0.13542209748908093,0.0639678450755679
2023-05-30,2.2779147692819457,0.3795180615578475,0.0,0.1261322017740667,0.0,0.022141348953983484,0.03191322148525038,0.06559584037975644,0.17530581949254523,0.13568035584122262,0.06371315051532772
2023-05-31,2.2894300197556485,0.41079548379072683,0.03319883770338444,0.12520612280373494,0.0,0.022567441003468684,0.03125,0.03125,0.18450859916584458,0.1318560261319668,0.06256632710425816
2023-06-01,2.2891629639591082,0.4108434075588754,0.0,0.12593956258164007,0.0,0.02177638076818057,0.03183158073578153,0.031372480807492956,0.18308848250930396,0.1319562133381332,0.0631918917005924
2023-06-02,2.3194353363506965,0.4054812383992815,0.0,0.1275120268685069,0.0,0.021699252172567678,0.03121114260264406,0.031138945575290945,0.18692374556852143,0.132242722117913,0.06379092669527446
2023-06-05,2.295518066218842,0.4097059946557935,0.0,0.12745469298095013,0.0,0.022307440555857212,0.031212146650902585,0.03175965128028211,0.18078454215321524,0.13285944458989768,0.06391608713310143
2023-06-06,2.289095890621773,0.4108554457782351,0.0,0.12893847852663384,0.0,0.02154893946680137,0.03073982290813787,0.03202701256118396,0.18291363674845718,0.1289070188455333,0.06406964516501742
2023-06-07,2.2813700668185324,0.412246801275027,0.0,0.12610528513251143,0.0,0.021411370988567494,0.031097633127895978,0.031837368830441755,0.1829906086201814,0.1300243160160037,0.06428661600937122
2023-06-08,2.285536505962337,0.41149529229441817,0.0,0.12803532145323038,0.0,0.02115304174594463,0.032153424784265965,0.03249347287619114,0.1803106395602775,0.12995716567820229,0.06440164160747
2023-06-09,2.3104853051640917,0.4070519342704675,0.0,0.1262017265452496,0.0,0.02092462956351423,0.032432512616391296,0.03261355977217409,0.18229155913148923,0.13426738383719125,0.06421669426352283
2023-06-12,2.311541211472164,0.4068659939536883,0.0,0.12932378190415053,0.0,0.023101441543043732,0.03231932658063285,0.032598661978736,0.17863907648085509,0.13286231064483628,0.06428940691405713
2023-06-13,2.3115231078073353,0.4068691804957393,0.0,0.12979938116048814,0.0,0.023770187220580965,0.03223015087152682,0.03336387383173895,0.17739124147299024,0.13210749143885536,0.06446849350808026
2023-06-14,2.318378994258227,0.40566599115148005,0.0,0.13480982552194543,0.0,0.02362783073553729,0.03243799907160787,0.03461459296579644,0.17455351644538636,0.12970715905491342,0.06458308505333321
2023-06-15,2.34180458016371,0.4016080250832833,0.0,0.1425726380762952,0.0,0.02492534365343097,0.035476694702676885,0.03502340060599824,0.16646586258643362,0.1294873494402043,0.06444068585167755
