date,close,pe_ttm,pb,pe_anchor,pb_anchor,ratio_universal,neutral_universal,report_date,fund_available_date,normalized_eps_round6,eps_growth_3y_round6,revenue_growth_3y_round6,realistic_growth_round6,neutral_value_round6,deduct_factor_round6,cash_conversion,normalized_owner_eps_round5,assumed_growth_round5,neutral_value_round5,quality_factor_round5,ratio_expectation,ratio_round5,market_implied_growth_round6,implied_growth_status,expectation_gap_round6,ret,code
2018-01-02,8.48,32.98799227,16.60344434,,,,,2017-09-30,2017-10-28,0.2974285084028991,1.2631275281655991,0.6255534621815073,0.3,12.368464023194718,0.8619536849415709,0.8103605235077823,0.2974285084028991,0.15,5.772820581224229,0.8103605235077823,0.6856146393034221,1.4689526342773789,0.20009619303322024,SOLVED,0.09990380696677975,0.0,002027
2018-01-03,8.31,32.30855209,16.26146999,,,,,2017-09-30,2017-10-28,0.2974285084028991,1.2631275281655991,0.6255534621815073,0.3,12.368464023194718,0.8619536849415709,0.8103605235077823,0.2974285084028991,0.15,5.772820581224229,0.8103605235077823,0.671870006204179,1.4395042913732332,0.19484376442980245,SOLVED,0.10515623557019754,-0.02004716981132071,002027
2018-01-04,8.23,32.00397545,16.10817114,,,,,2017-09-30,2017-10-28,0.2974285084028991,1.2631275281655991,0.6255534621815073,0.3,12.368464023194718,0.8619536849415709,0.8103605235077823,0.2974285084028991,0.15,5.772820581224229,0.8103605235077823,0.6654019435692411,1.4256462476536353,0.1923384816429492,SOLVED,0.10766151835705079,-0.00962695547533099,002027
2018-01-05,8.31,32.30855209,16.26146999,,,,,2017-09-30,2017-10-28,0.2974285084028991,1.2631275281655991,0.6255534621815073,0.3,12.368464023194718,0.8619536849415709,0.8103605235077823,0.2974285084028991,0.15,5.772820581224229,0.8103605235077823,0.671870006204179,1.4395042913732332,0.19484376442980245,SOLVED,0.10515623557019754,0.009720534629404698,002027
2018-01-08,8.14,31.65254088,15.93128786,,,,,2017-09-30,2017-10-28,0.2974285084028991,1.2631275281655991,0.6255534621815073,0.3,12.368464023194718,0.8619536849415709,0.8103605235077823,0.2974285084028991,0.15,5.772820581224229,0.8103605235077823,0.6581253731049359,1.4100559484690878,0.18949369049634962,SOLVED,0.11050630950365037,-0.020457280385078214,002027
2018-01-09,8.1,31.48853808,15.84874233,,,,,2017-09-30,2017-10-28,0.2974285084028991,1.2631275281655991,0.6255534621815073,0.3,12.368464023194718,0.8619536849415709,0.8103605235077823,0.2974285084028991,0.15,5.772820581224229,0.8103605235077823,0.6548913417874669,1.4031269266092885,0.18822023615459849,SOLVED,0.1117797638454015,-0.004914004914005066,002027
2018-01-10,8.18,31.79311471,16.00204117,,,,,2017-09-30,2017-10-28,0.2974285084028991,1.2631275281655991,0.6255534621815073,0.3,12.368464023194718,0.8619536849415709,0.8103605235077823,0.2974285084028991,0.15,5.772820581224229,0.8103605235077823,0.6613594044224048,1.4169849703288866,0.1907615212496233,SOLVED,0.10923847875037668,0.009876543209876631,002027
2018-01-11,8.04,31.25424836,15.73082014,,,,,2017-09-30,2017-10-28,0.2974285084028991,1.2631275281655991,0.6255534621815073,0.3,12.368464023194718,0.8619536849415709,0.8103605235077823,0.2974285084028991,0.15,5.772820581224229,0.8103605235077823,0.6500402948112634,1.39273339381959,0.18629939337846213,SOLVED,0.11370060662153786,-0.017114914425427896,002027
2018-01-12,8.16,31.74625676,15.97845673,,,,,2017-09-30,2017-10-28,0.2974285084028991,1.2631275281655991,0.6255534621815073,0.3,12.368464023194718,0.8619536849415709,0.8103605235077823,0.2974285084028991,0.15,5.772820581224229,0.8103605235077823,0.6597423887636703,1.4135204593989872,0.19012830551377796,SOLVED,0.10987169448622203,0.014925373134328401,002027
2018-01-15,8.24,32.0508334,16.13175558,,,,,2017-09-30,2017-10-28,0.2974285084028991,1.2631275281655991,0.6255534621815073,0.3,12.368464023194718,0.8619536849415709,0.8103605235077823,0.2974285084028991,0.15,5.772820581224229,0.8103605235077823,0.6662104513986082,1.427378503118585,0.19265283809703693,SOLVED,0.10734716190296306,0.009803921568627416,002027
