code,name,report_date,profit_notice_date,cash_notice_date,available_date,p_PARENT_NETPROFIT,p_DEDUCT_PARENT_NETPROFIT,p_BASIC_EPS,p_TOTAL_OPERATE_INCOME,p_RESEARCH_EXPENSE,c_NETCASH_OPERATE,ttm_parent_netprofit,ttm_deduct_netprofit,ttm_basic_eps_approx,ttm_revenue,ttm_research_expense,ttm_operating_cashflow,cash_conversion,deduct_quality,rd_intensity,normalized_eps_4q_median,normalized_deduct_np_4q_median,normalized_cfo_4q_median,deduct_factor_round6,clean_eps_round6,normalized_eps_round6,eps_growth_3y_round6,revenue_growth_3y_round6,realistic_growth_round6,neutral_value_round6,quality_factor_round5,quality_adjusted_eps_round5,normalized_owner_eps_round5,historical_growth_round5,assumed_growth_round5,neutral_value_round5
600489,中金黄金,2000-12-31,2003-07-25,,2003-07-25,30445474.18,33633855.04,,586867822.79,,,30445474.18,33633855.04,,586867822.79,,,,1.1047242963321782,,,,,,,,,,,,,,,,0.0,
600489,中金黄金,2001-12-31,2003-07-25,,2003-07-25,34916150.67,34766069.42,0.194,584499074.65,,,34916150.67,34766069.42,0.194,584499074.65,,,,0.99570166678972,,,34199962.230000004,,0.99570166678972,0.1931661233572057,,,,,,,,,,0.0,
600489,中金黄金,2002-06-30,2003-08-29,,2003-08-29,17295289.88,,,323034698.76,,,,,,,,,,,,,34199962.230000004,,,,,,,,,,,,,0.0,
600489,中金黄金,2002-09-30,2003-10-31,,2003-10-31,25225201.03,,,507934150.81,,,,,,,,,,,,,34199962.230000004,,,,,,,,,,,,,0.0,
600489,中金黄金,2002-12-31,2004-03-31,2003-07-25,2004-03-31,36414212.5,36722315.45,0.2023,878100962.38,,117437954.97,36414212.5,36722315.45,0.2023,878100962.38,,117437954.97,3.2250582096207627,1.0084610631082576,,0.19815,35744192.435,,1.0,0.2023,0.19773306167860286,,,,,1.0,0.2023,,,0.0,
600489,中金黄金,2003-03-31,2004-04-29,2003-07-25,2004-04-29,9884849.42,9987550.07,0.0549,382147238.09,,-19998324.2,,,,,,,,,,,,,,,,,,,,,,,,0.0,
600489,中金黄金,2003-06-30,2004-08-31,2003-08-29,2004-08-31,19128170.27,19697968.58,0.1063,909652862.6,,-1414111.99,38247092.89,,,1464719126.22,,,,,,,,,,,,,,,,,,,,0.0,
600489,中金黄金,2003-09-30,2004-10-27,2003-10-31,2004-10-27,30128060.17,26180932.54,,1520378796.7,,7468781.5,41317071.64,,,1890545608.27,,,,,,,,,,,,,,,,,,,,0.0,
600489,中金黄金,2003-12-31,2005-03-31,2004-03-31,2005-03-31,39789149.26,37377606.48,0.1865,2184274158.44,,72962736.14,39789149.26,37377606.48,0.1865,2184274158.44,,72962736.14,1.8337345104623632,0.9393919491909237,,,,,0.9393919491909237,0.17519659852410727,,,,,,0.9393919491909237,0.17519659852410727,,,0.0,
600489,中金黄金,2004-03-31,2005-04-29,2004-04-29,2005-04-29,6136147.96,6279234.12,,577900739.03,,-33908885.46,36040447.8,33669290.529999994,,2380027659.38,,59052174.879999995,1.6384972575174275,0.9342084403845836,,,35523448.504999995,66007455.51,,,,,,,,,,,,0.0,
